curul,asambleista,voto
1,ABAD VELEZ RAUL,AUSENTE
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,AUSENTE
10,VITERI LOPEZ CHRISTIAN HUMBERTO,AUSENTE
12,ARREGUI RUEDA MARCIA CECILIA,AUSENTE
15,BORJA PEREZ GALO,AUSENTE
21,CARRION MARIA JOSE,AUSENTE
23,CRUZ SALAZAR FRANCISCA GABRIELA,AUSENTE
35,GAGLIARDO LOOR GASTON,AUSENTE
39,MACAS JOSE LUIS,AUSENTE
43,GUDIÑO MENA ZOBEIDA GUISELA,AUSENTE
48,ISSA WAGNER NICOLAS JOSE,AUSENTE
53,LARRIVA ALVARADO OSCAR OSWALDO,AUSENTE
55,AGUIÑAGA VALLEJO PAOLA MARCELA,AUSENTE
59,CABRERA FAJARDO SEGUNDO CESAR,AUSENTE
72,MEDINA MERA VICTOR CLEMENTE,AUSENTE
75,ARIAS FERNANDEZ VERONICA ELIZABETH,AUSENTE
77,SAENZ DE VITERI LAUTARO ENRIQUE,AUSENTE
79,CANTOS MENDOZA ALBA JANET,AUSENTE
81,MATIAS APOLINARIO RITA AZUCENA,AUSENTE
83,ACACHO GONZALEZ PEPE LUIS,AUSENTE
90,GUALAN JAPA MILTON RODRIGO,AUSENTE
91,ORELLANA MARQUINEZ MAGALI MARGOT,AUSENTE
95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,AUSENTE
97,VASCONEZ ARTEAGA ANNY MARLLELY,AUSENTE
99,PACHECO ORDOÑEZ BAYRON EDUARDO,AUSENTE
101,AUQUILLA ORTEGA RAUL VICENTE,AUSENTE
106,VELA CHERONI MARIA SOLEDAD,AUSENTE
109,VELIZ BRIONES JOSE FELIX,AUSENTE
113,POSSO SALGADO LUIS ANTONIO,AUSENTE
118,SALGADO RIVADENEIRA DIEGO,AUSENTE
119,MEDINA TAMBACO EMILY JESUS,AUSENTE
120,TORRES TORRES LUIS FERNANDO,AUSENTE
125,ZAMBRANO CABANILLA EDUARDO ALFONSO,AUSENTE
128,ZAPATA MANTILLA JOSE LEONIDAS,AUSENTE
129,URIBE LOPEZ FANNY ESTHER,AUSENTE
130,TAPIA LOMBEYDA LUIS FERNANDO,AUSENTE
137,KRONFLE GOMEZ MARIA CRISTINA,AUSENTE
2,MORALES POZO LENIN ALBERTO,SI
3,AGUILAR PLACIDO ARMANDO,SI
4,MACHUCA MOSCOSO LINDA MARICELA,SI
5,AGUIRRE HIDALGO DORA ANDELA,SI
6,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,SI
8,MUÑOZ VICUÑA MARIANGEL,SI
9,ANDINO REINOSO MAURO EDMUNDO,SI
11,ARIAS RAMIREZ ALBERTO JESUS,SI
13,MARQUEZ LOPEZ JOSE LENIN,SI
14,BERGMANN REYNA CARLOS ALBERTO,SI
16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI
17,BUSTAMANTE PONCE FERNANDO XAVIER,SI
18,CALDERON SALTOS RICHARD OSWALDO,SI
19,CALLE ANDRADE MARIA AUGUSTA,SI
20,CARRILLO BETTY,SI
22,CARVAJAL AGUIRRE MIGUEL ANGEL,SI
24,CONSTANTE NIETO MARIANA DE LAS MERCEDES,SI
25,OLAYA LIDER,SI
26,CHAVEZ CANALES HOLGER EZEQUIEL,SI
27,CHICA AREVALO VINICIO VETHOWEN,SI
28,CORDOVA ENCALADA EDGAR EDUARDO,SI
29,CUESTA RIOS LIUBA ELISA,SI
30,DE LA CRUZ BERNARDO HERMAN ULISES,SI
31,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI
32,PIÑAN CAJAS MARIA ALEGRIA,SI
33,FAJARDO MOSQUERA LETTY VANESSA,SI
34,FALCONI LOQUI EVELYN PAMELA,SI
36,DE LA TORRE RAMIREZ PABLO ANTONIO,SI
37,LARREA VITERI LIDICE VANESSA,SI
38,GARZON RICAURTE WILLIAM ANTONIO,SI
40,GONZALEZ SERRANO MIRYAM CATARINA,SI
41,GUAMAN CASTRO ALEX FRANCISCO,SI
42,GUAMANGATE ANTE LUIS GILBERTO,SI
44,TORRES PINEDA CLINTON ELIUD,SI
45,GUZMAN OCHOA LILIANA MAURA,SI
46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI
47,MOSQUERA YANEZ ISABEL PIEDAD,SI
49,JEREZ PILLA BETTY MARICELA,SI
50,ARANA COELLO YIMABEL MARIA,SI
51,ORTIZ GASPAR ESTHER FLAVIA,SI
52,BUENDIA HERDOIZA MARIA SOLEDAD,SI
54,LEDESMA ZAMORA OSCAR ALFONSO,SI
56,MELO GARZON ESTEBAN ANDRES,SI
57,TOBAR NUÑEZ RAUL IGNACIO,SI
58,MUÑOZ AVENDAÑO ROSA ELVIRA,SI
60,OCLES PADILLA ALEXANDRA,SI
61,CAZA TIPANTA HUGO RENE,SI
62,PADRON SAETEROS GLADYS PAULINA,SI
63,BRITO MENDOZA MONICA CRISTINA,SI
64,PEÑA CARRASCO DIANA LUCIA,SI
65,PEÑA PACHECO XIMENA DEL ROCIO,SI
67,CAMPOVERDE CALVA SEGUNDO MODESTO,SI
68,PROAÑO CIFUENTES ROBERTH MAURICIO,SI
69,FARES GUAILLAS MARIA SEBASTIANA,SI
70,RIVERA LOPEZ JOSE GABRIEL,SI
71,RIVERO DOGUER ANGEL ARMANDO,SI
73,REINOSO LESCANO MARIA ELIZABETH,SI
