70,asambleista,curul,total si,voto
,ABAD VELEZ RAUL,1.0,,AUSENTE
,AGUILAR PLACIDO ARMANDO,3.0,,AUSENTE
,MORAN AMALIA,7.0,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,CARRILLO BETTY,20.0,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,AUSENTE
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29.0,,AUSENTE
,MENDOZA DANIEL ISAAC,37.0,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40.0,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,AUSENTE
,ARANA COELLO YIMABEL MARIA,50.0,,AUSENTE
,BRITO MENDOZA MONICA CRISTINA,63.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,ACACHO GONZALEZ PEPE LUIS,83.0,,AUSENTE
,MOYA DUQUE HERMAN ANIBAL,85.0,,AUSENTE
,GOMEZ IRMA,86.0,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,AUSENTE
,UMAJINGA GUAMAN CESAR,92.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,,AUSENTE
,PONCE RUBIO ELVIA AZUCENA,122.0,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,AUSENTE
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128.0,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132.0,,AUSENTE
,HAGO CELI FRANCISCO WAIKING,4.0,,SI
,AGUIRRE HIDALGO DORA ANADELA,5.0,,SI
,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6.0,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,SI
,ARREGUI RUEDA MARCIA CECILIA,12.0,,SI
,MARQUEZ LOPEZ JOSE LENIN,13.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,14.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,CALDERON SALTOS RICHARD OSWALDO,18.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,CARRION MARIA JOSE,21.0,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,SI
,MONGE ESPINEL LUIS HUMBERTO,23.0,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35.0,,SI
,BAZURTO ROLDAN NANCIS CELESTE,36.0,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,SI
,MACAS JOSE LUIS,39.0,,SI
,BOMBON LOPEZ BLANCA CECILIA,42.0,,SI
