asambleista,curul,voto
BERGMANN REYNA CARLOS ALBERTO,9,AUSENTE
BONILLA SALCEDO VIVIANA,10,AUSENTE
BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,AUSENTE
CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,AUSENTE
ALEAGA SANTOS RONNY XAVIER,29,AUSENTE
MARÍN AGUIRRE ANA BELÉN,40,AUSENTE
BUSTAMANTE GARCÍA JUAN FRANCISCO,47,AUSENTE
YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,AUSENTE
VERA FLORES WENDY VANESSA,64,AUSENTE
VERA RODRÍGUEZ CARLOS ALFREDO,65,AUSENTE
YAR ARAUJO JUAN CARLOS,68,AUSENTE
BURBANO MONTENEGRO FÉLIX FERNANDO,75,AUSENTE
ZAMBRANO VERA MARIANO,106,AUSENTE
ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,AUSENTE
PALACIOS MUÑOZ JUAN SEBASTIÁN,130,AUSENTE
SUQUILANDA VALDIVIESO BYRON VINICIO,134,AUSENTE
CADENA VÉLEZ KARLA GABRIELA,14,ABSTENCION
ASTUDILLO LOOR LINA GLORIA,74,ABSTENCION
CALLEJAS BARONA FERNANDO,80,ABSTENCION
CELI SANTOS GUILLERMO ALEJANDRO,90,ABSTENCION
CRUZ VACA JEANNINE DEL CISNE,92,ABSTENCION
GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,ABSTENCION
CANDELL SOTO JAIME ENRIQUE JIMMY,107,ABSTENCION
MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,ABSTENCION
VERA MENDOZA TANLLY JANELA,135,ABSTENCION
BENAVIDES ZAMBRANO ZOILA TERESA,8,BLANCO
AGUIÑAGA VALLEJO PAOLA MARCELA,1,NO
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,NO
CALLE VERZOZI HERMUY,15,NO
CÁRDENAS ESPINOZA JUAN JORGE,17,NO
CHALÁ CRUZ JOSÉ FRANKLIN,22,NO
CUESTA SANTANA ESTHER ADELINA,26,NO
DURÁN AGUILAR LILIANA ELIZABETH,28,NO
ESPINOSA ANDRADE AUGUSTO XAVIER,30,NO
GARCÍA GAIBOR CARMEN MERCEDES,32,NO
GARCÍA POZO DIEGO OSWALDO,33,NO
GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,NO
HOLGUÍN NARANJO MARCELA PRISCILA,37,NO
LLORET VALDIVIESO JUAN CRISTÓBAL,39,NO
MELO GARZÓN ESTEBAN ANDRÉS,41,NO
MUÑOZ LÓPEZ CHRISTIAN PABEL,43,NO
NARANJO ALVARADO PRISCILA AMAPOLA,44,NO
POMA HERRERA YOFRE MARTÍN,50,NO
PROAÑO CIFUENTES ROBERTH MAURICIO,51,NO
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,NO
RIVADENEIRA BUSTOS CARMEN MERCEDES,55,NO
SAMANIEGO MAIGUA FRANKLIN OMAR,58,NO
ALEMÁN MARMOL MÓNICA ROCÍO,60,NO
SOLIZ CARRIÓN DORIS JOSEFINA,61,NO
VALLE PINARGOTE BAIRON LEONARDO,62,NO
VILLALVA MIRANDA LIRA DE LA PAZ,66,NO
VITERI GUALINGA CARLOS ELOY,67,NO
GUAMBA DÍAZ NANCY JEANNETH,69,NO
LOOR ALCÍVAR LEXI LIDUVINA,70,NO
