voto,curul,asambleista
AUSENTE,12,ARREGUI RUEDA MARCIA CECILIA
AUSENTE,20,TOALOMBO CHIMBORAZO JOSE SEGUNDO
AUSENTE,35,GAGLIARDO LOOR GASTON
AUSENTE,44,GUEVARA VILLACRES VERONICA MARGARITA
AUSENTE,53,LARRIVA ALVARADO OSCAR OSWALDO
AUSENTE,60,OCLES PADILLA ALEXANDRA
AUSENTE,64,PEÑA CARRASCO DIANA LUCIA
AUSENTE,67,PONCE LEON XIMENA MERCEDES
AUSENTE,68,PROAÑO CIFUENTES ROBERTH MAURICIO
AUSENTE,69,FARFAN APONTE RICHARD WILSON
AUSENTE,81,CISNEROS SORIA OSWALDO DANIEL
AUSENTE,82,YANDUN POZO CASTULO RENE
AUSENTE,83,ACACHO GONZALEZ PEPE LUIS
AUSENTE,85,SANMIGUEL PALACIOS GINA ZITA
AUSENTE,91,ORELLANA MARQUINEZ MAGALI MARGOT
AUSENTE,92,UMAGINGA GUAMAN CESAR
AUSENTE,105,BUCARAM PULLEY ABDALA JAIME
AUSENTE,109,VELIZ BRIONES JOSE FELIX
AUSENTE,119,CHICA PAVEL
AUSENTE,124,ZAMBRANO ARTEAGA JOSE RICARDO
AUSENTE,125,ZAMBRANO CABANILLA EDUARDO ALFONSO
SI,1,ABAD VELEZ RAUL
SI,2,ACERO LANCHIMBA ESTHELA LILIANA
SI,3,LANDAZURI OLMEDO LUDIS CUAUDINA
SI,4,HAGO CELI FRANCISCO WAIKING
SI,5,AGUIRRE HIDALGO DORA ANDELA
SI,6,ALBAN TORRES MARIANA DEL ROCIO
SI,7,ALCIVAR MERA FELIX ANDRES
SI,8,MUÑOZ VICUÑA MARIANGEL
SI,9,ANDINO REINOSO MAURO EDMUNDO
SI,10,ARCE PLUAS ALEXANDRA MANUELA
SI,11,RIVAS ALAVA ELIANA LISSET
SI,13,BENAVIDES ZAMBRANO ZOILA TERESA
SI,14,BERGMANN REYNA CARLOS ALBERTO
SI,15,LOPEZ SIGUENZA ROSITA PAULINA
SI,16,BUENDIA HERDOIZA MARIA SOLEDAD
SI,17,BUSTAMANTE PONCE FERNANDO XAVIER
SI,18,CALDERON SALTOS RICHARD OSWALDO
SI,19,CALLE ANDRADE MARIA AUGUSTA
SI,21,ANRRANGO ZAMBRANO GERARDO ELIAS
SI,22,CARVAJAL AGUIRRE MIGUEL ANGEL
SI,23,CASSINELLI CALI JUAN CARLOS
SI,24,CAYAMBE TIPAN FAUSTO HERIBERTO
SI,25,OLAYA LIDER
SI,26,CHAVEZ CANALES HOLGER EZEQUIEL
SI,27,DELGADO GUTIERREZ ALEXANDRA ELIZABETH
SI,28,CORDOVA ENCALADA EDGAR EDUARDO
SI,29,CUESTA RIOS LIUBA ELISA
SI,30,DE LA CRUZ BERNARDO HERMAN ULISES
SI,31,DE LA CRUZ GASPAR ADRIANA MIOSOTI
SI,32,DELGADO CHALA AGUSTIN JAVIER
SI,33,PALACIOS CESAR
SI,34,CAMACHO COLOMA CARLOS MANUEL
SI,36,GALVAN GRACIA MARIA ESPERANZA
SI,37,LARREA VITERI LIDICE VANESSA
SI,38,GARZON RECAURTE WILLIAM ANTONIO
SI,39,GODOY ANDRADE GINA JAKELINE
SI,40,GONZALEZ SERRANO MIRYAM CATARINA
SI,41,GUAMAN CASTRO ALEX FRANCISCO
SI,42,GUAMANGATE ANTE LUIS GILBERTO
SI,43,GUDIÑO MENA ZOBEIDA GUISELA
SI,45,GUZMAN OCHOA LILIANA MAURA
SI,46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO
SI,47,HURTADO ANGULO IVAN JACINTO
SI,48,ISSA WAGNER NICOLAS JOSE
SI,49,JEREZ PILLA BETTY MARICELA
SI,50,SILVA MALDONADO SOFIA IRENE
SI,51,ORTIZ GASPAR ESTHER FLAVIA
SI,52,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
SI,54,LEDESMA ZAMORA OSCAR ALFONSO
SI,55,AGUIÑAGA VALLEJO PAOLA MARCELA
SI,56,MELO GARZON ESTEBAN ANDRES
SI,57,MOROCHO VELAÑA NANCY BEATRIZ
SI,58,MUÑOZ AVENDAÑO ROSA ELVIRA
SI,59,ALVARADO CARRION ROSANA
SI,61,PABON CARANQUI PAOLA VERENICE
SI,62,PADRON SAETEROS GLADYS PAULINA
SI,63,BRITO MENDOZA MONICA CRISTINA
SI,65,PEÑA PACHECO XIMENA DEL ROCIO
SI,66,PEÑAFIEL MONTESDEOCA JUANA MARISOL
SI,70,RIVERA LOPEZ JOSE GABRIEL
SI,71,BARAHONA REVELO ANITA PATRICIA
SI,72,ROBLES ANDRADE DENISSE PRISCILA
SI,73,SANCHEZ MIÑO ALEXIS REYNALDO
SI,75,CASTILLO VIVANCO JOSE BOLIVAR
SI,76,RODRIGUEZ DELGADO MARIA VERONICA
SI,77,SAENZ DE VITERI LAUTARO ENRIQUE
SI,78,SALAZAR CEDEÑO GUADALUPE DOLORES
SI,79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ
SI,84,SANCHEZ ORDOÑEZ MONTGOMERY LUIS
SI,86,SERRRANO REYES NELSON ALCIDES
SI,87,SOLANO MORENO ALEX FABIAN
SI,88,LEDESMA ZAMORA DARWIN GERMAN
SI,94,TERAN SARZOSA SEGUNDO FAUSTO
SI,95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN
SI,96,VALLE PINARGOTE BAIRON LEONARDO
SI,97,VASCONEZ ARTEAGA ANNY MARLLELY
SI,98,INTRIAGO MACIAS CARMEN ELENA
SI,99,PACHECO ORDOÑEZ BAYRON EDUARDO
SI,106,VELA CHERONI MARIA SOLEDAD
SI,107,ARGUELLO TROYA BLANCA AZUCENA
SI,108,VELASCO ENRIQUEZ CARLOS ALBERTO
SI,110,VERDUGA CEDEÑO MARY
SI,111,VICUÑA MUÑOZ MARIA ALEJANDRA
SI,112,ANDINO ROBALINO ANGELICA MARIA
SI,113,POSSO SALGADO LUIS ANTONIO
SI,121,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE
SI,122,VINTIMILLA JARRIN DIEGO ARMANDO
SI,123,VITERI GUALINGA CARLOS ELOY
SI,126,ZAMBRANO CASTRO NORALMA ELIZABETH
SI,127,ZAMBRANO CHACHA ALBERTO ALEXANDER
SI,128,ZAPATA MANTILLA JOSE LEONIDAS
SI,129,URIBE LOPEZ FANNY ESTHER
NO,74,AGUILAR TORRES MANUEL RAMIRO
NO,80,CASTRO AJILA GLADYS LUCIA
NO,89,FIERRO OVIEDO PACO
NO,100,GUTIERREZ BORBUA FAUSTO GILMAR
NO,102,CHICAIZA TOAPANTA WILSON ALFONSO
NO,103,DONOSO CHIRIBOGA PATRICIO
NO,104,MONCAYO CEVALLOS JOSE RICARDO
NO,114,SOLORZANO SARRIA CESAR FAUSTO
NO,115,MONTAÑO VALENCIA MAE
NO,116,MORETA PANCHEZ MIGUEL ANGEL
NO,117,PAEZ BENALCAZAR ANDRES TARQUINO
NO,118,SALGADO RIVADENEIRA DIEGO
NO,120,TORRES TORRES LUIS FERNANDO
NO,130,TAPIA LOMBEYDA LUIS FERNANDO
NO,134,ROMERO LOAYZA FRANCO SEGUNDO
NO,135,TERAN SALCEDO JONNY ENRIQUE
NO,136,OÑATE LOMBEIBA WIMPER BOLIVAR
ABSTENCION,90,JIMENEZ CABRERA JOSE CLEVER
ABSTENCION,93,TIBAN GUALA LOURDES LICENIA
ABSTENCION,101,AUQUILLA ORTEGA RAUL VICENTE
ABSTENCION,131,CUCALON CAMACHO HENRY EDUARDO
ABSTENCION,132,REYES HIDALGO CRISTINA EUGENIA
ABSTENCION,133,TACLE GALARRAGA MOISES FERNANDO
ABSTENCION,137,MARTILLO GUERRERO PEDRO ANDRES
