voto,curul,asambleista
AUSENTE,1,AGUIÑAGA VALLEJO PAOLA MARCELA
AUSENTE,4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH
AUSENTE,11,BUENDÍA HERDOÍZA MARÍA SOLEDAD
AUSENTE,13,CABEZAS GUERRERO ELIZABETH ENRIQUETA
AUSENTE,14,CADENA VÉLEZ KARLA GABRIELA
AUSENTE,15,CALLE VERZOZI HERMUY
AUSENTE,17,CÁRDENAS ESPINOZA JUAN JORGE
AUSENTE,21,CERDA MIRANDA GABRIELA PAMELA
AUSENTE,22,CHALÁ CRUZ JOSÉ FRANKLIN
AUSENTE,25,CUESTA RÍOS LIUBA ELISA
AUSENTE,26,CUESTA SANTANA ESTHER ADELINA
AUSENTE,28,DURÁN AGUILAR LILIANA ELIZABETH
AUSENTE,29,ALEAGA SANTOS RONNY XAVIER
AUSENTE,30,ESPINOSA ANDRADE AUGUSTO XAVIER
AUSENTE,31,FLOR GIL BRENDA AZUCENA
AUSENTE,32,GARCÍA GAIBOR CARMEN MERCEDES
AUSENTE,33,GARCÍA POZO DIEGO OSWALDO
AUSENTE,36,GUEVARA VILLACRÉS VERÓNICA MARGARITA
AUSENTE,37,HOLGUÍN NARANJO MARCELA PRISCILA
AUSENTE,39,LLORET VALDIVIESO JUAN CRISTÓBAL
AUSENTE,41,MELO GARZÓN ESTEBAN ANDRÉS
AUSENTE,42,MENDOZA ARÉVALO DANIEL ISAAC
AUSENTE,43,MUÑOZ LÓPEZ CHRISTIAN PABEL
AUSENTE,44,NARANJO ALVARADO PRISCILA AMAPOLA
AUSENTE,51,PROAÑO CIFUENTES ROBERTH MAURICIO
AUSENTE,54,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
AUSENTE,55,RIVADENEIRA BUSTOS CARMEN MERCEDES
AUSENTE,58,SAMANIEGO MAIGUA FRANKLIN OMAR
AUSENTE,59,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA
AUSENTE,60,ALEMÁN MARMOL MÓNICA ROCÍO
AUSENTE,61,SOLIZ CARRIÓN DORIS JOSEFINA
AUSENTE,62,VALLE PINARGOTE BAIRON LEONARDO
AUSENTE,63,VELIN CORTÉS JUAN PABLO
AUSENTE,64,VERA FLORES WENDY VANESSA
AUSENTE,66,VILLALVA MIRANDA LIRA DE LA PAZ
AUSENTE,67,VITERI GUALINGA CARLOS ELOY
AUSENTE,68,YAR ARAUJO JUAN CARLOS
AUSENTE,69,GUAMBA DÍAZ NANCY JEANNETH
AUSENTE,70,LOOR ALCÍVAR LEXI LIDUVINA
AUSENTE,71,ANDRADE MUÑOZ WILMA PIEDAD
AUSENTE,81,CAMPAIN BRAMBILLA RINA ASUNCIÓN
AUSENTE,86,YANDÚN POZO CÁSTULO RENÉ
AUSENTE,88,KRONFLE KOZHAYA HENRY FABIÁN
AUSENTE,89,CASTANIER JARAMILLO XAVIER HOMERO
AUSENTE,90,CELI SANTOS GUILLERMO ALEJANDRO
AUSENTE,94,ZAMBRANO VALLE EDUARDO MAURICIO
AUSENTE,95,CADENA HUERTAS FRANCISCO JAVIER
AUSENTE,97,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR
AUSENTE,101,DONOSO CHIRIBOGA PATRICIO
AUSENTE,102,FLORES VÁSQUEZ FERNANDO PATRICIO
AUSENTE,103,GALARZA AÑAZCO ANA MERCEDES
AUSENTE,105,GÓMEZ ALCÍVAR ROBERTO ANDRÉS
AUSENTE,112,TERÁN SALCEDO RAMÓN FORTUNATO
AUSENTE,122,CUESTA CONCARI MARÍA MERCEDES
AUSENTE,127,ALMEYDA JALIL VICENTE FERNANDO
AUSENTE,129,ESTUPIÑÁN ORTIZ BORIS EFRÉN
AUSENTE,131,PAREDES TORRES WASHINGTON ARTURO
AUSENTE,133,SIMBAÑA VILLARREAL ABDÓN MARCELO
AUSENTE,135,VERA MENDOZA TANLLY JANELA
AUSENTE,136,VILLAMAR JÁCOME PEDRO FABRICIO
SI,2,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN
SI,3,SERRANO SALGADO JOSÉ RICARDO
SI,5,ARIAS RAMÍREZ ALBERTO JESÚS
SI,6,ARREGUI RUEDA MARCIA CECILIA
SI,7,ARTEAGA MUÑOZ KARINA CECILIA
SI,8,BENAVIDES ZAMBRANO ZOILA TERESA
SI,12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO
SI,16,CAMBALA MONTECE CARLOS ALBERTO
SI,18,CARRIÓN CEVALLOS MARÍA JOSÉ
SI,19,TERAN SARZOSA SEGUNDO FAUSTO
SI,20,TENORIO VALENCIA CALLETANO
SI,23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO
SI,24,COROZO AYOVÍ JORGE WILBER
SI,27,DOUMET CHEDRAUI MICHEL ANDRÉS
SI,34,GARZÓN RICAURTE WILLIAM ANTONIO
SI,35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN
SI,38,LITARDO CAICEDO CÉSAR ERNESTO
SI,40,MARÍN AGUIRRE ANA BELÉN
SI,45,OCHOA MORANTE MANUEL ALFREDO
SI,46,ORELLANA ROMÁN ROSA GINA
SI,47,BUSTAMANTE GARCÍA JUAN FRANCISCO
SI,48,PEÑA PACHECO XIMENA DEL ROCÍO
SI,49,PLAZA CASTILLO LENIN
SI,52,QUIJIJE DELGADO LUIS RAFAEL
SI,53,QUIÑONEZ OCAMPO JULIO CÉSAR
SI,56,SALAZAR CEDEÑO GUADALUPE DOLORES
SI,57,SALGADO ANDRADE SILVIA BETZABETH
SI,65,VERA RODRÍGUEZ CARLOS ALFREDO
SI,72,ZAMBRANO ALCÍVAR MAGDA XIOMARA
SI,73,AUQUILLA ORTEGA RAÚL VICENTE
SI,74,ASTUDILLO LOOR LINA GLORIA
SI,75,BURBANO MONTENEGRO FÉLIX FERNANDO
SI,76,ZAMBRANO CASTRO NORALMA ELIZABETH
SI,78,CUCALÓN CAMACHO HENRY EDUARDO
SI,79,SERRANO VITERI MERCEDES MARITZA
SI,80,CALLEJAS BARONA FERNANDO
SI,82,CAMPOVERDE ROBLES EMILIO ABSALÓN
SI,83,CARRIÓN MORENO CÉSAR ATAULFO
SI,84,ZAMBRANO CHACHA ALBERTO ALEXANDER
SI,87,HENRÍQUEZ JAIME PATRICIA IVONNE
SI,92,CRUZ VACA JEANNINE DEL CISNE
SI,93,MEDINA RAMÍREZ JOSÉ ALFREDO
SI,98,CALDERÓN CHANCAY DORIS DAISY
SI,99,LLANES SUAREZ HENRY MANUEL
SI,100,CURICHUMBI YUPANQUI PEDRO
SI,106,CEDEÑO ZAMBRANO FELISITA MONCERRATE
SI,107,CANDELL SOTO JAIME ENRIQUE JIMMY
SI,110,ROHON HERVAS CÉSAR EDUARDO
SI,111,TACLE GARCÍA SAMIA
SI,113,TORRES COBO LUIS ESTEBAN
SI,114,LARREÁTEGUI FABARA MARÍA GABRIELA
SI,116,VERA CALDERÓN SILVIA LORENA
SI,118,VARGAS SÁNCHEZ GRETTY LEILA
SI,119,MUÑOZ ALARCÓN HÉCTOR PATRICIO
SI,120,PACHALA POMA LUIS ALBERTO
SI,123,PEÑAFIEL IZQUIERDO EDDY COLÓN
SI,126,SOLORZANO SARRIA CESAR FAUSTO
SI,128,MARÍN LAVAYEN DENNIS GUSTAVO
SI,130,PALACIOS MUÑOZ JUAN SEBASTIÁN
SI,134,SUQUILANDA VALDIVIESO BYRON VINICIO
SI,137,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ
NO,125,ALARCÓN GUILLÍN FREDY OSCAR
ABSTENCION,9,BERGMANN REYNA CARLOS ALBERTO
ABSTENCION,10,BONILLA SALCEDO VIVIANA
ABSTENCION,50,POMA HERRERA YOFRE MARTÍN
ABSTENCION,77,AZUERO RODAS ELISEO ALEXIS
ABSTENCION,85,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO
ABSTENCION,91,CRUZ PROAÑO LUDOVICO ISRAEL
ABSTENCION,96,SUQUILANDA LIMA CARMEN MARGARITA
ABSTENCION,104,GENDE CALAZACÓN ANGEL MESÍAS
ABSTENCION,108,DUCHI GUAMÁN MARÍA ENCARNACIÓN
ABSTENCION,109,OLIVO PALLO JAIME FERNANDO
ABSTENCION,115,CARBO AGUIRRE JONATHAN ALEXI
ABSTENCION,117,MONTAÑO VALENCIA MAE
ABSTENCION,121,TELLO BENALCÁZAR RAÚL ESTUPIÑAN
ABSTENCION,124,PUANCHIR PAYASHÑA TITO PEDRO
ABSTENCION,132,ROMERO LOAYZA FRANCO SEGUNDO
