102,asambleista,curul,total no,voto
,AGUILAR TORRES MANUEL RAMIRO,74,,SI
,CASTRO AJILA GLADYS LUCIA,80,,SI
,YANDUN POZO CASTULO RENE,82,,SI
,ACACHO GONZALEZ PEPE LUIS,83,,SI
,DIAZ COKA MARIA GABRIELA,88,,SI
,FIERRO OVIEDO PACO,89,,SI
,JIMENEZ CABRERA JOSE CLEVER,90,,SI
,ORELLANA MARQUINEZ MAGALI MARGOT,91,,SI
,TIBAN GUALA LOURDES LICENIA,93,,SI
,ALBAN GALLO MARINA ELIZABETH,100,,SI
,AUQUILLA ORTEGA RAUL VICENTE,101,,SI
,CHICAIZA TOAPANTA WILSON ALFONSO,102,,SI
,DONOSO CHIRIBOGA PATRICIO,103,,SI
,MONCAYO CEVALLOS JOSE RICARDO,104,,SI
,GARCIA CANO LUIGI FRANCISCO,105,,SI
,SOLORZANO SARRIA CESAR FAUSTO,114,,SI
,MONTAÑO VALENCIA MAE,115,,SI
,MORETA PANCHEZ MIGUEL ANGEL,116,,SI
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,SI
,SALGADO RIVADENEIRA DIEGO,118,,SI
,MEDINA TAMBACO EMILY JESUS,119,,SI
,TORRES TORRES LUIS FERNANDO,120,,SI
,MERA RODRIGUEZ MARIA PAULINA,130,,SI
,CUCALON CAMACHO HENRY EDUARDO,131,,SI
,TACLE GALARRAGA MOISES FERNANDO,133,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,134,,SI
,TERAN SALCEDO RAMON FORTUNATO,135,,SI
,VITERI JIMENEZ CYNTHIA,136,,SI
,ABAD VELEZ RAUL,1,,NO
,ACERO LANCHIMBA ESTHELA LILIANA,2,,NO
,AGUILAR PLACIDO ARMANDO,3,,NO
,MACHUCA MOSCOSO LINDA MARICELA,4,,NO
,AGUIRRE HIDALGO DORA ANDELA,5,,NO
,ALBAN TORRES MARIANA DEL ROCIO,6,,NO
,TORRES CEDEÑO KERLLY ANABEL,7,,NO
,MUÑOZ VICUÑA MARIANGEL,8,,NO
,ANDINO REINOSO MAURO EDMUNDO,9,,NO
,ARIAS RAMIREZ ALBERTO JESUS,11,,NO
,VILLAMAR CASAL JOSE LEONIDAS,12,,NO
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,NO
,BERGMANN REYNA CARLOS ALBERTO,14,,NO
,BORJA PEREZ GALO,15,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,NO
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,NO
,QUIMBIULCO BEDON LORENA GABRIELA,18,,NO
,CALLE ANDRADE MARIA AUGUSTA,19,,NO
,CARRILLO BETTY,20,,NO
,CARRION MARIA JOSE,21,,NO
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,NO
,CASSINELLI CALI JUAN CARLOS,23,,NO
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,NO
,OLAYA LIDER,25,,NO
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,NO
,DELGADO GUTIERREZ ALEXANDRA ISABEL,27,,NO
,CORDOVA ENCALADA EDGAR EDUARDO,28,,NO
,CUESTA RIOS LIUBA ELISA,29,,NO
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,NO
,DELGADO CHALA AGUSTIN JAVIER,32,,NO
,FAJARDO MOSQUERA LETTY VANESSA,33,,NO
,FALCONI LOQUI EVELYN PAMELA,34,,NO
,GAGLIARDO LOOR GASTON,35,,NO
,GALVAN GRACIA MARIA ESPERANZA,36,,NO
,LARREA VITERI LIDICE VANESSA,37,,NO
,GARZON RICAURTE WILLIAM ANTONIO,38,,NO
,GODOY ANDRADE GINA JAKELINE,39,,NO
,GONZALEZ SERRANO MIRYAM CATARINA,40,,NO
,GUAMAN CASTRO ALEX FRANCISCO,41,,NO
,GUAMANGATE ANTE LUIS GILBERTO,42,,NO
,GUDIÑO MENA ZOBEIDA GUISELA,43,,NO
,GUEVARA VILLACRES VERONICA MARGARITA,44,,NO
,RODAS MARCA CARLOS EDUARDO,45,,NO
,GUTIERREZ MOSCOSO MARIA EUGENIA,46,,NO
,ISSA WAGNER NICOLAS JOSE,48,,NO
,JEREZ PILLA BETTY MARICELA,49,,NO
,JUEZ JUEZ OMAR JUSEPH,50,,NO
,ORTIZ GASPAR ESTHER FLAVIA,51,,NO
,BUENDIA HERDOIZA MARIA SOLEDAD,52,,NO
,JAIGUA ALVARADO CELIA MARIA,53,,NO
,LEDESMA ZAMORA OSCAR ALFONSO,54,,NO
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,NO
,MELO GARZON ESTEBAN ANDRES,56,,NO
,TOBAR NUÑEZ RAUL IGNACIO,57,,NO
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,NO
,ALVARADO CARRION ROSANA,59,,NO
,OCLES PADILLA ALEXANDRA,60,,NO
,PABON CARANQUI PAOLA VERENICE,61,,NO
,PADRON SAETEROS GLADYS PAULINA,62,,NO
,BRITO MENDOZA MONICA CRISTINA,63,,NO
,PEÑA PACHECO XIMENA DEL ROCIO,65,,NO
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,,NO
,PONCE LEON XIMENA MERCEDES,67,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,NO
,FARFAN APONTE RICHARD WILSON,69,,NO
,RIVERA LOPEZ JOSE GABRIEL,70,,NO
,RIVERO DOGUER ANGEL ARMANDO,71,,NO
