voto,curul,asambleista
AUSENTE,1,ABAD VELEZ RAUL
AUSENTE,8,MUÑOZ VICUÑA MARIANGEL
AUSENTE,10,VITERI LOPEZ CHRISTIAN HUMBERTO
AUSENTE,18,CALDERON SALTOS RICHARD OSWALDO
AUSENTE,21,CARRION MARIA JOSE
AUSENTE,23,CASSINELLI CALI JUAN CARLOS
AUSENTE,24,CAYAMBE TIPAN FAUSTO HERIBERTO
AUSENTE,26,CHAVEZ CANALES HOLGER EZEQUIEL
AUSENTE,28,CORDOVA ENCALADA EDGAR EDUARDO
AUSENTE,29,CUESTA RIOS LIUBA ELISA
AUSENTE,37,MENDOZA DANIEL ISAAC
AUSENTE,40,GONZALEZ SERRANO MIRYAM CATARINA
AUSENTE,43,GUDIÑO MENA ZOBEIDA GUISELA
AUSENTE,72,MEDINA MERA VICTOR CLEMENTE
AUSENTE,75,ARIAS FERNANDEZ VERONICA ELIZABETH
AUSENTE,84,SANCHEZ ORDOÑEZ MONTGOMERY LUIS
AUSENTE,85,MOYA DUQUE HERMAN ANIBAL
AUSENTE,87,SOLANO MORENO ALEX FABIAN
AUSENTE,93,TIBAN GUALA LOURDES LICENIA
AUSENTE,94,TERAN SARZOSA SEGUNDO FAUSTO
AUSENTE,100,ALBAN GALLO MARINA ELIZABETH
AUSENTE,111,VICUÑA MUÑOZ MARIA ALEJANDRA
AUSENTE,127,ZAMBRANO CHACHA ALBERTO ALEXANDER
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
SI,2,MORALES POZO LENIN ALBERTO
SI,3,LANDAZURI OLMEDO LUDIS CLAUDINA
SI,4,MACHUCA MOSCOSO LINDA MARICELA
SI,5,AGUIRRE HIDALGO DORA ANDELA
SI,6,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO
SI,7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO
SI,9,ANDINO REINOSO MAURO EDMUNDO
SI,11,ARIAS RAMIREZ ALBERTO JESUS
SI,12,ARREGUI RUEDA MARCIA CECILIA
SI,13,BENAVIDES ZAMBRANO ZOILA TERESA
SI,14,BERGMANN REYNA CARLOS ALBERTO
SI,15,BORJA PEREZ GALO
SI,16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
SI,17,BUSTAMANTE PONCE FERNANDO XAVIER
SI,19,CALLE ANDRADE MARIA AUGUSTA
SI,20,CARRILLO BETTY
SI,22,CARVAJAL AGUIRRE MIGUEL ANGEL
SI,25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH
SI,27,CHICA AREVALO VINICIO VETHOWEN
SI,30,DE LA CRUZ BERNARDO HERMAN ULISES
SI,31,DE LA CRUZ GASPAR ADRIANA MIOSOTI
SI,32,DELGADO CHALA AGUSTIN JAVIER
SI,33,FAJARDO MOSQUERA LETTY VANESSA
SI,34,FALCONI LOQUI EVELYN PAMELA
