asambleista,curul,voto
ABAD VELEZ RAUL,1,AUSENTE
BORJA PEREZ GALO,15,AUSENTE
CORDOVA ENCALADA EDGAR EDUARDO,28,AUSENTE
MACAS JOSE LUIS,31,AUSENTE
GODOY ANDRADE GINA JAKELINE,39,AUSENTE
HURTADO ANGULO IVAN JACINTO,47,AUSENTE
JUEZ JUEZ OMAR JUSEPH,50,AUSENTE
PABON CARANQUI PAOLA VERENICE,61,AUSENTE
BRITO MENDOZA MONICA CRISTINA,63,AUSENTE
FARFAN APONTE RICHARD WILSON,69,AUSENTE
BARAHONA REVELO ANITA PATRICIA,71,AUSENTE
RODRIGUEZ DELGADO MARIA VERONICA,76,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
SALAZAR CEDEÑO GUADALUPE DOLORES,78,AUSENTE
ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,AUSENTE
CISNEROS SORIA OSWALDO DANIEL,81,AUSENTE
SANMIGUEL PALACIOS GINA ZITA,85,AUSENTE
LEDESMA ZAMORA DARWIN GERMAN,88,AUSENTE
JIMENEZ CABRERA JOSE CLEVER,90,AUSENTE
VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,AUSENTE
VASCONEZ ARTEAGA ANNY MARLLELY,97,AUSENTE
PACHECO ORDOÑEZ BAYRON EDUARDO,99,AUSENTE
GUTIERREZ BORBUA FAUSTO GILMAR,100,AUSENTE
BUCARAM PULLEY ABDALA JAIME,105,AUSENTE
VERDUGA CEDEÑO MARY,110,AUSENTE
VILEMA FREIRE ANGEL RAMIRO,112,AUSENTE
PAEZ BENALCAZAR ANDRES TARQUINO,117,AUSENTE
VITERI GUALINGA CARLOS ELOY,123,AUSENTE
URIBE LOPEZ FANNY ESTHER,129,AUSENTE
VITERI JIMENEZ CYNTHIA,136,AUSENTE
ACERO LANCHIMBA ESTHELA LILIANA,2,SI
AGUILAR PLACIDO ARMANDO,3,SI
MACHUCA MOSCOSO LINDA MARICELA,4,SI
AGUIRRE HIDALGO DORA ANDELA,5,SI
QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6,SI
TORRES CEDEÑO KERLLY ANABEL,7,SI
MUÑOZ VICUÑA MARIANGEL,8,SI
ANDINO REINOSO MAURO EDMUNDO,9,SI
ARCE PLUAS ALEXANDRA MANUELA,10,SI
RIVAS ALAVA ELIANA LISSET,11,SI
ARREGUI RUEDA MARCIA CECILIA,12,SI
BENAVIDES ZAMBRANO ZOILA TERESA,13,SI
BERGMANN REYNA CARLOS ALBERTO,14,SI
BUENDIA HERDOIZA MARIA SOLEDAD,16,SI
BUSTAMANTE PONCE FERNANDO XAVIER,17,SI
QUIMBIULCO BEDON LORENA GABRIELA,18,SI
CALLE ANDRADE MARIA AUGUSTA,19,SI
TOALOMBO CHIMBORAZO JOSE SEGUNDO,20,SI
CARRION MARIA JOSE,21,SI
CAJAS LARA SUSANA VALERIA,22,SI
BRAVO RAMIREZ MARIA LORENA,23,SI
CAYAMBE TIPAN FAUSTO HERIBERTO,24,SI
OLAYA LIDER,25,SI
CHAVEZ CANALES HOLGER EZEQUIEL,26,SI
CHICA AREVALO VINICIO VETHOWEN,27,SI
CUESTA RIOS LIUBA ELISA,29,SI
POZO CASTILLO RITA DEL CARMEN,30,SI
PIÑAN CAJAS MARIA ALEGRIA,32,SI
FAJARDO MOSQUERA LETTY VANESSA,33,SI
FALCONI LOQUI EVELYN PAMELA,34,SI
GAGLIARDO LOOR GASTON,35,SI
GALVAN GRACIA MARIA ESPERANZA,36,SI
LARREA VITERI LIDICE VANESSA,37,SI
CALAZACON AGUAVIL MARIA ALBERTINA,38,SI
GONZALEZ SERRANO MIRYAM CATARINA,40,SI
GUAMAN CASTRO ALEX FRANCISCO,41,SI
GUAMANGATE ANTE LUIS GILBERTO,42,SI
JARAMILLO RODRIGUEZ VICTOR HUGO,43,SI
GUEVARA VILLACRES VERONICA MARGARITA,44,SI
GUZMAN OCHOA LILIANA MAURA,45,SI
HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,SI
ALMAN COROZO MARIA DEL CARMEN,48,SI
CARRILLO CRESPO HUGO FERNANDO,49,SI
BAZURTO ROLDAN NANCIS CELESTE,51,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,52,SI
LARRIVA ALVARADO OSCAR OSWALDO,53,SI
SALAZAR MARTINEZ KARINA MARITZA,54,SI
AGUIÑAGA VALLEJO PAOLA MARCELA,55,SI
MELO GARZON ESTEBAN ANDRES,56,SI
MOROCHO VELAÑA NANCY BEATRIZ,57,SI
MUÑOZ AVENDAÑO ROSA ELVIRA,58,SI
ALVARADO CARRION ROSANA,59,SI
QUIROZ VALLEJO HECTOR HUGO,60,SI
PADRON SAETEROS GLADYS PAULINA,62,SI
PEÑA CARRASCO DIANA LUCIA,64,SI
PEÑA PACHECO XIMENA DEL ROCIO,65,SI
QUINCHIGUANGO GISELA,66,SI
CAMPOVERDE CALVA SEGUNDO MODESTO,67,SI
PROAÑO CIFUENTES ROBERTH MAURICIO,68,SI
