curul,asambleista,voto
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,AUSENTE
10,VITERI LOPEZ CHRISTIAN HUMBERTO,AUSENTE
11,ARIAS RAMIREZ ALBERTO JESUS,AUSENTE
16,SOLORZANO AVILES FRANCISCO MARCELO,AUSENTE
19,CASANOVA CEPEDA XAVIER IVAN,AUSENTE
22,CARVAJAL AGUIRRE MIGUEL ANGEL,AUSENTE
23,CRUZ SALAZAR FRANCISCA GABRIELA,AUSENTE
25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,AUSENTE
29,AGUALSACA GUAMAN JOSE CLEMENTE,AUSENTE
38,GARZON RICAURTE WILLIAM ANTONIO,AUSENTE
40,GONZALEZ SERRANO MIRYAM CATARINA,AUSENTE
43,JARAMILLO RODRIGUEZ VICTOR HUGO,AUSENTE
44,GUEVARA VILLACRES VERONICA MARGARITA,AUSENTE
47,MOSQUERA YANEZ ISABEL PIEDAD,AUSENTE
51,ORTIZ GASPAR ESTHER FLAVIA,AUSENTE
54,LEDESMA ZAMORA OSCAR ALFONSO,AUSENTE
55,AGUIÑAGA VALLEJO PAOLA MARCELA,AUSENTE
57,TOBAR NUÑEZ RAUL IGNACIO,AUSENTE
65,PEÑA PACHECO XIMENA DEL ROCIO,AUSENTE
68,PROAÑO CIFUENTES ROBERTH MAURICIO,AUSENTE
72,MEDINA MERA VICTOR CLEMENTE,AUSENTE
75,ARIAS FERNANDEZ VERONICA ELIZABETH,AUSENTE
77,SAENZ DE VITERI LAUTARO ENRIQUE,AUSENTE
79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,AUSENTE
85,MORAN AMALIA,AUSENTE
104,MONCAYO CEVALLOS JOSE RICARDO,AUSENTE
112,VILEMA FREIRE ANGEL RAMIRO,AUSENTE
114,SOLORZANO SARRIA CESAR FAUSTO,AUSENTE
122,VINTIMILLA JARRIN DIEGO ARMANDO,AUSENTE
124,ZAMBRANO ARTEAGA JOSE RICARDO,AUSENTE
126,VILLON POZO LUIS MARIANO,AUSENTE
127,ZAMBRANO CHACHA ALBERTO ALEXANDER,AUSENTE
129,URIBE LOPEZ FANNY ESTHER,AUSENTE
1,ABAD VELEZ RAUL,SI
3,AGUILAR PLACIDO ARMANDO,SI
4,HAGO CELI FRANCISCO WAIKING,SI
