curul,asambleista,voto
5,AGUIRRE HIDALGO DORA ANDELA,AUSENTE
29,MACIAS GARCIA PEDRO ROBERTO GEOVANNY,AUSENTE
35,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,AUSENTE
47,MOSQUERA YANEZ ISABEL PIEDAD,AUSENTE
56,QUIROZ VALLEJO HECTOR HUGO,AUSENTE
68,PILLAJO TUQUERES JENNY ELIZABETH,AUSENTE
71,RIVERO DOGUER ANGEL ARMANDO,AUSENTE
72,MEDINA MERA VICTOR CLEMENTE,AUSENTE
77,SAENZ DE VITERI LAUTARO ENRIQUE,AUSENTE
79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,AUSENTE
92,SALAZAR CHICAIZA ABRAHAN ELIO,AUSENTE
93,TIBAN GUALA LOURDES LICENIA,AUSENTE
105,MOREIRA MACIAS GRACE HOLANDA,AUSENTE
113,POSSO SALGADO LUIS ANTONIO,AUSENTE
118,SALGADO RIVADENEIRA DIEGO,AUSENTE
119,CHICA ARTEAGA GUNTARD PAVEL,AUSENTE
123,VITERI GUALINGA CARLOS ELOY,AUSENTE
124,ZAMBRANO ARTEAGA JOSE RICARDO,AUSENTE
125,ZAMBRANO CABANILLA EDUARDO ALFONSO,AUSENTE
128,SERRANO SEGURA GRACE MARISOL,AUSENTE
129,URIBE LOPEZ FANNY ESTHER,AUSENTE
131,CUCALON CAMACHO HENRY EDUARDO,AUSENTE
132,REYES HIDALGO CRISTINA EUGENIA,AUSENTE
74,AGUILAR TORRES MANUEL RAMIRO,SI
80,BUSTOS CHILIQUINGA ARCADIO,SI
82,YANDUN POZO CASTULO RENE,SI
83,CARDENAS SAQUICELA ULBIO EFREN,SI
87,SOLANO MORENO ALEX FABIAN,SI
88,DIAZ COKA MARIA GABRIELA,SI
89,FIERRO OVIEDO PACO,SI
90,GUALAN JAPA MILTON RODRIGO,SI
91,ORELLANA MARQUINEZ MAGALI MARGOT,SI
99,PACHECO ORDOÑEZ BAYRON EDUARDO,SI
100,GUTIERREZ BORBUA FAUSTO GILMAR,SI
101,AUQUILLA ORTEGA RAUL VICENTE,SI
102,CHICAIZA TOAPANTA WILSON ALFONSO,SI
103,DONOSO CHIRIBOGA PATRICIO,SI
104,MONCAYO CEVALLOS JOSE RICARDO,SI
110,OCHOA MORANTE MANUEL ALFREDO,SI
111,VICUÑA MUÑOZ MARIA ALEJANDRA,SI
112,VILEMA FREIRE ANGEL RAMIRO,SI
114,SOLORZANO SARRIA CESAR FAUSTO,SI
115,MONTAÑO VALENCIA MAE,SI
116,MORETA PANCHEZ MIGUEL ANGEL,SI
117,PAEZ BENALCAZAR ANDRES TARQUINO,SI
120,TORRES TORRES LUIS FERNANDO,SI
130,TAPIA LOMBEYDA LUIS FERNANDO,SI
133,TACLE GALARRAGA MOISES FERNANDO,SI
134,ROMERO LOAYZA FRANCO SEGUNDO,SI
135,TERAN SALCEDO RAMON FORTUNATO,SI
136,VITERI JIMENEZ CYNTHIA,SI
137,KRONFLE GOMEZ MARIA CRISTINA,SI
1,ABAD VELEZ RAUL,NO
2,MORALES POZO LENIN ALBERTO,NO
3,AGUILAR PLACIDO ARMANDO,NO
4,MACHUCA MOSCOSO LINDA MARICELA,NO
6,ALBAN TORRES MARIANA DEL ROCIO,NO
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,NO
