curul,asambleista,voto
1,GUAMAN MAYANCELA MARIA MERCEDES,AUSENTE
9,ANDINO REINOSO MAURO EDMUNDO,AUSENTE
11,RIVAS ALAVA ELIANA LISSET,AUSENTE
19,CASANOVA CEPEDA XAVIER IVAN,AUSENTE
21,CARRION MARIA JOSE,AUSENTE
23,BRAVO RAMIREZ MARIA LORENA,AUSENTE
24,CONSTANTE NIETO MARIANA DE LAS MERCEDES,AUSENTE
26,CHAVEZ CANALES HOLGER EZEQUIEL,AUSENTE
28,CORDOVA ENCALADA EDGAR EDUARDO,AUSENTE
29,CUESTA RIOS LIUBA ELISA,AUSENTE
30,DE LA CRUZ BERNARDO HERMAN ULISES,AUSENTE
31,ESTARELLAS SOLIS FRANCISCO JOSE,AUSENTE
34,FALCONI LOQUI EVELYN PAMELA,AUSENTE
36,DE LA TORRE RAMIREZ PABLO ANTONIO,AUSENTE
37,LARREA VITERI LIDICE VANESSA,AUSENTE
40,GONZALEZ SERRANO MIRYAM CATARINA,AUSENTE
43,GUDIÑO MENA ZOBEIDA GUISELA,AUSENTE
48,CRUZ SALAZAR FRANCISCA GABRIELA,AUSENTE
50,SILVA MALDONADO SOFIA IRENE,AUSENTE
52,REYES MACHUCA EFREN RODRIGO,AUSENTE
53,JAIGUA ALVARADO CELIA MARIA,AUSENTE
56,MELO GARZON ESTEBAN ANDRES,AUSENTE
61,CAZA TIPANTA HUGO RENE,AUSENTE
71,RIVERO DOGUER ANGEL ARMANDO,AUSENTE
79,ANDRADE SOLORZANO LUIS ALBERTO,AUSENTE
82,YANDUN POZO CASTULO RENE,AUSENTE
85,MOYA DUQUE HERMAN ANIBAL,AUSENTE
90,GUALAN JAPA MILTON RODRIGO,AUSENTE
92,UMAJINGA GUAMAN CESAR,AUSENTE
94,TERAN SARZOSA SEGUNDO FAUSTO,AUSENTE
99,PACHECO ORDOÑEZ BAYRON EDUARDO,AUSENTE
102,CHICAIZA TOAPANTA WILSON ALFONSO,AUSENTE
103,DONOSO CHIRIBOGA PATRICIO,AUSENTE
114,SOLORZANO SARRIA CESAR FAUSTO,AUSENTE
118,SALGADO RIVADENEIRA DIEGO,AUSENTE
119,CHICA ARTEAGA GUNTARD PAVEL,AUSENTE
125,ZAMBRANO CABANILLA EDUARDO ALFONSO,AUSENTE
126,ZAMBRANO CASTRO NORALMA ELIZABETH,AUSENTE
128,SERRANO SEGURA GRACE MARISOL,AUSENTE
135,TERAN SALCEDO RAMON FORTUNATO,AUSENTE
136,OÑATE LOMBEIDA WIMPER BOLIVAR,AUSENTE
137,KRONFLE GOMEZ MARIA CRISTINA,AUSENTE
2,ACERO LANCHIMBA ESTHELA LILIANA,SI
3,ALMEIDA MANOSALVAS MARIA DEL PILAR,SI
4,HAGO CELI FRANCISCO WAIKING,SI
5,AGUIRRE HIDALGO DORA ANDELA,SI
6,ALBAN TORRES MARIANA DEL ROCIO,SI
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,SI
8,MUÑOZ VICUÑA MARIANGEL,SI
10,MONGE ESPINEL LUIS HUMBERTO,SI
12,ARREGUI RUEDA MARCIA CECILIA,SI
13,MARQUEZ LOPEZ JOSE LENIN,SI
14,BERGMANN REYNA CARLOS ALBERTO,SI
15,BORJA PEREZ GALO,SI
16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI
17,BUSTAMANTE PONCE FERNANDO XAVIER,SI
18,CALDERON SALTOS RICHARD OSWALDO,SI
20,CARRILLO BETTY,SI
22,CARVAJAL AGUIRRE MIGUEL ANGEL,SI
25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI
27,CHICA AREVALO VINICIO VETHOWEN,SI
32,DELGADO CHALA AGUSTIN JAVIER,SI
33,FAJARDO MOSQUERA LETTY VANESSA,SI
35,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,SI
38,GARZON RICAURTE WILLIAM ANTONIO,SI
39,GODOY ANDRADE GINA JAKELINE,SI
41,GUAMAN CASTRO ALEX FRANCISCO,SI
42,GUAMANGATE ANTE LUIS GILBERTO,SI
44,GUEVARA VILLACRES VERONICA MARGARITA,SI
45,GUZMAN OCHOA LILIANA MAURA,SI
46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI
47,GOMEZ IRMA,SI
49,JEREZ PILLA BETTY MARICELA,SI
51,ORTIZ GASPAR ESTHER FLAVIA,SI
54,LEDESMA ZAMORA OSCAR ALFONSO,SI
55,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
57,TOBAR NUÑEZ RAUL IGNACIO,SI
58,MUÑOZ AVENDAÑO ROSA ELVIRA,SI
59,ALVARADO CARRION ROSANA,SI
60,OCLES PADILLA ALEXANDRA,SI
62,PADRON SAETEROS GLADYS PAULINA,SI
63,MACAS JOSE LUIS,SI
64,TORRES LARA JOSE EDUARDO,SI
65,ASTUDILLO BANEGAS HERNAN VINICIO,SI
66,PEÑAFIEL MONTESDEOCA JUANA MARISOL,SI
67,CAMPOVERDE CALVA SEGUNDO MODESTO,SI
68,PILLAJO TUQUERES JENNY ELIZABETH,SI
69,FARFAN APONTE RICHARD WILSON,SI
70,RIVERA LOPEZ JOSE GABRIEL,SI
72,MEDINA MERA VICTOR CLEMENTE,SI
73,REINOSO LESCANO MARIA ELIZABETH,SI
74,AGUILAR TORRES MANUEL RAMIRO,SI
75,ARIAS FERNANDEZ VERONICA ELIZABETH,SI
76,RODRIGUEZ DELGADO MARIA VERONICA,SI
77,GARCIA PLUAS BEATRIZ CANDELARIA,SI
78,SALAZAR CEDEÑO GUADALUPE DOLORES,SI
80,BUSTOS CHILIQUINGA ARCADIO,SI
81,MATIAS APOLINARIO RITA AZUCENA,SI
83,ACACHO GONZALEZ PEPE LUIS,SI
84,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,SI
86,ALEMAN MARMOL MONICA ROCIO,SI
87,DAHIK ASTUDILLO REYTA GIOMAR,SI
88,DIAZ COKA MARIA GABRIELA,SI
89,FIERRO OVIEDO PACO,SI
91,ORELLANA MARQUINEZ MAGALI MARGOT,SI
93,TIBAN GUALA LOURDES LICENIA,SI
95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,SI
96,MEJIA PLUAS NILDA CECIBEL,SI
97,VASCONEZ ARTEAGA ANNY MARLLELY,SI
98,VELA CAIZAPANTA ANGEL RAMIRO,SI
100,GUTIERREZ BORBUA FAUSTO GILMAR,SI
101,AUQUILLA ORTEGA RAUL VICENTE,SI
104,MONCAYO CEVALLOS JOSE RICARDO,SI
105,AGUIRRE RODRIGUEZ FRANCISCO XAVIER,SI
106,VELA CHERONI MARIA SOLEDAD,SI
107,TUPIZA OBANDO CARLOS ROGELIO,SI
108,VELASCO ENRIQUEZ CARLOS ALBERTO,SI
109,VELEZ MARLENE MARGARITA,SI
110,VERDUGA CEDEÑO MARY,SI
111,JONIAUX BLUM ENRIQUE ALEJANDRO,SI
112,VILEMA FREIRE ANGEL RAMIRO,SI
113,POSSO SALGADO LUIS ANTONIO,SI
115,MONTAÑO VALENCIA MAE,SI
116,MORETA PANCHEZ MIGUEL ANGEL,SI
117,PAEZ BENALCAZAR ANDRES TARQUINO,SI
120,TORRES TORRES LUIS FERNANDO,SI
121,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,SI
122,PONCE RUBIO ELVIA AZUCENA,SI
123,VITERI GUALINGA CARLOS ELOY,SI
124,MERA RIVADENEIRA MARIA CECILIA,SI
127,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI
129,URIBE LOPEZ FANNY ESTHER,SI
130,TAPIA LOMBEYDA LUIS FERNANDO,SI
131,CUCALON CAMACHO HENRY EDUARDO,SI
132,REYES HIDALGO CRISTINA EUGENIA,SI
133,TACLE GALARRAGA MOISES FERNANDO,SI
134,ROMERO LOAYZA FRANCO SEGUNDO,SI
