104,asambleista,curul,total si,voto
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,AUSENTE
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40,,AUSENTE
,ORTEGA ALVAREZ CARLOS UREL,48,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,AUSENTE
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88,,AUSENTE
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110,,AUSENTE
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,AUSENTE
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,126,,AUSENTE
,ALMEYDA JALIL VICENTE FERNANDO,127,,AUSENTE
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,AUSENTE
,VERA MENDOZA TANLLY JANELA,135,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,AUSENTE
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,AUSENTE
,REYES LAINEZ ÁNGELA MARÍA,16,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,ABSTENCION
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,ABSTENCION
,CARRIÓN MORENO CÉSAR ATAULFO,83,,ABSTENCION
,YANDÚN POZO CÁSTULO RENÉ,86,,ABSTENCION
,CRUZ VACA JEANNINE DEL CISNE,92,,ABSTENCION
,CUESTA ORELLANA MARÍA DE LOURDES,93,,ABSTENCION
,DONOSO CHIRIBOGA PATRICIO,101,,ABSTENCION
,PACHALA POMA LUIS ALBERTO,120,,ABSTENCION
,ALARCÓN GUILLÍN FREDY OSCAR,125,,ABSTENCION
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,BLANCO
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,SI
,SERRANO SALGADO JOSÉ RICARDO,3,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,SI
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,SI
,ARREGUI RUEDA MARCIA CECILIA,6,,SI
,ARTEAGA MUÑOZ KARINA CECILIA,7,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,SI
,BERGMANN REYNA CARLOS ALBERTO,9,,SI
,BONILLA SALCEDO VIVIANA,10,,SI
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,SI
,CADENA VÉLEZ KARLA GABRIELA,14,,SI
,CALLE VERZOZI HERMUY,15,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,19,,SI
,TENORIO VALENCIA CALLETANO,20,,SI
,CERDA MIRANDA GABRIELA PAMELA,21,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,SI
,COROZO AYOVÍ JORGE WILBER,24,,SI
,CUESTA RÍOS LIUBA ELISA,25,,SI
,CUESTA SANTANA ESTHER ADELINA,26,,SI
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,SI
,DURÁN AGUILAR LILIANA ELIZABETH,28,,SI
,ALEAGA SANTOS RONNY XAVIER,29,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,SI
,FLOR GIL BRENDA AZUCENA,31,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32,,SI
,GARCÍA POZO DIEGO OSWALDO,33,,SI
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,SI
,LITARDO CAICEDO CÉSAR ERNESTO,38,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41,,SI
,MENDOZA ARÉVALO DANIEL ISAAC,42,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,SI
,OCHOA MORANTE MANUEL ALFREDO,45,,SI
,ORELLANA ROMÁN ROSA GINA,46,,SI
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,SI
,PLAZA CASTILLO LENIN,49,,SI
,POMA HERRERA YOFRE MARTÍN,50,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,SI
,QUIJIJE DELGADO LUIS RAFAEL,52,,SI
,QUIÑONEZ OCAMPO JULIO CÉSAR,53,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,SI
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,SI
,SALGADO ANDRADE SILVIA BETZABETH,57,,SI
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,SI
