69,asambleista,curul,total no,voto
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,6,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9,,AUSENTE
,CASANOVA CEPEDA XAVIER IVAN,11,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14,,AUSENTE
,EGAS LEDESMA JOSÉ ANTONIO,18,,AUSENTE
,TERÁN SARZOSA SEGUNDO FAUSTO,19,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,AUSENTE
,GREFA AVILEZ FLAVIO PATRICIO,21,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,AUSENTE
,CUESTA SANTANA ESTHER ADELINA,26,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40,,AUSENTE
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,AUSENTE
,ANDRADE VILLAPRADO NELLY LISSETH,50,,AUSENTE
,QUIÑONEZ OCAMPO JULIO CÉSAR,53,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,AUSENTE
,VELIN CORTÉS JUAN PABLO,63,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73,,AUSENTE
,CARRIÓN MORENO CÉSAR ATAULFO,83,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,AUSENTE
,YANDÚN POZO CÁSTULO RENÉ,86,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101,,AUSENTE
,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,AUSENTE
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,AUSENTE
,CASTRO MAYANCELA MANUEL MARÍA,108,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110,,AUSENTE
,TAIANO BASANTE VICENTE GIOVANNY,111,,AUSENTE
,SALTOS MOREIRA DIANA GABRIELA,115,,AUSENTE
,VERA CALDERÓN SILVIA LORENA,116,,AUSENTE
,PACHALA POMA LUIS ALBERTO,120,,AUSENTE
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,AUSENTE
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,AUSENTE
,PUANCHIR PAYASHÑA TITO PEDRO,124,,AUSENTE
,ALMEYDA JALIL VICENTE FERNANDO,127,,AUSENTE
,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,132,,AUSENTE
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,AUSENTE
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,AUSENTE
,VERA MENDOZA TANLLY JANELA,135,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,AUSENTE
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,SI
,CUESTA ORELLANA MARÍA DE LOURDES,93,,SI
,NUÑEZ MANSSUR LUIS ANTONIO,112,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,NO
,SERRANO SALGADO JOSÉ RICARDO,3,,NO
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,NO
,COLLAGUAZO RODRIGO,10,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,NO
,CALLE VERZOZI HERMUY,15,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,NO
,COROZO AYOVÍ JORGE WILBER,24,,NO
,SUAREZ HUAYAMAVE CARLOS ALBERTO,25,,NO
,DURÁN AGUILAR LILIANA ELIZABETH,28,,NO
,ALEAGA SANTOS RONNY XAVIER,29,,NO
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,NO
,GARCÍA GAIBOR CARMEN MERCEDES,32,,NO
,GARCÍA POZO DIEGO OSWALDO,33,,NO
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,NO
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,NO
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,NO
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,NO
,LITARDO CAICEDO CÉSAR ERNESTO,38,,NO
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,NO
,MELO GARZÓN ESTEBAN ANDRÉS,41,,NO
,COLAMARCO VERA PINUCCIA MAGALY,42,,NO
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,NO
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,NO
,OCHOA MORANTE MANUEL ALFREDO,45,,NO
,ORELLANA ROMÁN ROSA GINA,46,,NO
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,NO
,PLAZA CASTILLO LENIN,49,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,NO
,QUIJIJE DELGADO LUIS RAFAEL,52,,NO
,AGUALSACA GUAMAN JOSE CLEMENTE,54,,NO
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,NO
,SALGADO ANDRADE SILVIA BETZABETH,57,,NO
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,NO
,ALEMÁN MARMOL MÓNICA ROCÍO,60,,NO
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,NO
,VALLE PINARGOTE BAIRON LEONARDO,62,,NO
