asambleista,curul,voto
VITERI LOPEZ CHRISTIAN HUMBERTO,10,AUSENTE
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,AUSENTE
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,AUSENTE
JARAMILLO RODRIGUEZ VICTOR HUGO,43,AUSENTE
GUEVARA VILLACRES VERONICA MARGARITA,44,AUSENTE
GUZMAN OCHOA LILIANA MAURA,45,AUSENTE
ISSA WAGNER NICOLAS JOSE,48,AUSENTE
BUENDIA HERDOIZA MARIA SOLEDAD,52,AUSENTE
BRITO MENDOZA MONICA CRISTINA,63,AUSENTE
JIJON BUENDIA ITALIA LUISA,70,AUSENTE
MEDINA MERA VICTOR CLEMENTE,72,AUSENTE
REINOSO LESCANO MARIA ELIZABETH,73,AUSENTE
GUZMAN SEGOVIA JOSE FRANCISCO,74,AUSENTE
ARIAS FERNANDEZ VERONICA ELIZABETH,75,AUSENTE
RODRIGUEZ DELGADO MARIA VERONICA,76,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
ACACHO GONZALEZ PEPE LUIS,83,AUSENTE
DIAZ COKA MARIA GABRIELA,88,AUSENTE
FIERRO OVIEDO PACO,89,AUSENTE
GUALAN JAPA MILTON RODRIGO,90,AUSENTE
UMAJINGA GUAMAN CESAR,92,AUSENTE
TIBAN GUALA LOURDES LICENIA,93,AUSENTE
ANDINO ROBALINO ANGELICA MARIA,112,AUSENTE
POSSO SALGADO LUIS ANTONIO,113,AUSENTE
SOLORZANO SARRIA CESAR FAUSTO,114,AUSENTE
ZAMBRANO CABANILLA EDUARDO ALFONSO,125,AUSENTE
ZAMBRANO CASTRO NORALMA ELIZABETH,126,AUSENTE
SERRANO SEGURA GRACE MARISOL,128,AUSENTE
TACLE GALARRAGA MOISES FERNANDO,133,AUSENTE
TERAN SALCEDO RAMON FORTUNATO,135,AUSENTE
KRONFLE GOMEZ MARIA CRISTINA,137,AUSENTE
