34,asambleista,curul,total no,voto
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,AUSENTE
,SARZOSA MONTENEGRO JOHANNA MARCELA,22,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,AUSENTE
,MELO GARZÓN ESTEBAN ANDRÉS,41,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,AUSENTE
,VERA FLORES WENDY VANESSA,64,,AUSENTE
,VITERI GUALINGA CARLOS ELOY,67,,AUSENTE
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,AUSENTE
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,AUSENTE
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,AUSENTE
,CADENA HUERTAS FRANCISCO JAVIER,95,,AUSENTE
,CURICHUMBI YUPANQUI PEDRO,100,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101,,AUSENTE
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,AUSENTE
,ZAMBRANO VERA MARIANO,106,,AUSENTE
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,AUSENTE
,CUESTA CONCARI MARÍA MERCEDES,122,,AUSENTE
,PAREDES TORRES WASHINGTON ARTURO,131,,AUSENTE
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,SI
,SERRANO SALGADO JOSÉ RICARDO,3,,SI
,ARREGUI RUEDA MARCIA CECILIA,6,,SI
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,SI
,CAMBALA MONTECE CARLOS ALBERTO,16,,SI
,CUESTA RÍOS LIUBA ELISA,25,,SI
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,SI
,LITARDO CAICEDO CÉSAR ERNESTO,38,,SI
,MARÍN AGUIRRE ANA BELÉN,40,,SI
,COLAMARCO VERA PINUCCIA MAGALY,42,,SI
,ORELLANA ROMÁN ROSA GINA,46,,SI
,QUIJIJE DELGADO LUIS RAFAEL,52,,SI
