33,asambleista,curul,total ausente,voto
,GUAMAN MAYANCELA MARIA MERCEDES,1,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,SOLORZANO AVILES FRANCISCO MARCELO,16,,AUSENTE
,CARRILLO BETTY,20,,AUSENTE
,CORDOVA ENCALADA EDGAR EDUARDO,28,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29,,AUSENTE
,DELGADO CHALA AGUSTIN JAVIER,32,,AUSENTE
,CAMACHO COLOMA CARLOS MANUEL,34,,AUSENTE
,JARAMILLO RODRIGUEZ VICTOR HUGO,43,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48,,AUSENTE
,JUEZ JUEZ OMAR JUSEPH,50,,AUSENTE
,REYES MACHUCA EFREN RODRIGO,52,,AUSENTE
,LARRIVA ALVARADO OSCAR OSWALDO,53,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,AUSENTE
,JIJON BUENDIA ITALIA LUISA,70,,AUSENTE
,RIVERO DOGUER ANGEL ARMANDO,71,,AUSENTE
,REINOSO LESCANO MARIA ELIZABETH,73,,AUSENTE
,AGUILAR TORRES MANUEL RAMIRO,74,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,AUSENTE
,ANDRADE SOLORZANO LUIS ALBERTO,79,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80,,AUSENTE
,YANDUN POZO CASTULO RENE,82,,AUSENTE
,ALEMAN MARMOL MONICA ROCIO,86,,AUSENTE
,FIERRO OVIEDO PACO,89,,AUSENTE
,TIBAN GUALA LOURDES LICENIA,93,,AUSENTE
,COLLAGUAZO RODRIGO,97,,AUSENTE
,MONCAYO CEVALLOS JOSE RICARDO,104,,AUSENTE
,AGUIRRE RODRIGUEZ FRANCISCO XAVIER,105,,AUSENTE
,VELEZ MARLENE MARGARITA,109,,AUSENTE
,POSSO SALGADO LUIS ANTONIO,113,,AUSENTE
,CHICA ARTEAGA GUNTARD PAVEL,119,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137,,AUSENTE
,ACERO LANCHIMBA ESTHELA LILIANA,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,HAGO CELI FRANCISCO WAIKING,4,,SI
,AGUIRRE HIDALGO DORA ANDELA,5,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,MARQUEZ LOPEZ JOSE LENIN,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CALLE ANDRADE MARIA AUGUSTA,19,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,CASSINELLI CALI JUAN CARLOS,23,,SI
,CONSTANTE NIETO MARIANA DE LAS MERCEDES,24,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,SALAZAR PAUCAR MARGOD ELISAVED,26,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,FAJARDO MOSQUERA LETTY VANESSA,33,,SI
,GAGLIARDO LOOR GASTON,35,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36,,SI
,LARREA VITERI LIDICE VANESSA,37,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38,,SI
,GODOY ANDRADE GINA JAKELINE,39,,SI
,GRANDA NIXON ARLIG,40,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41,,SI
,BOMBON LOPEZ BLANCA CECILIA,42,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44,,SI
,GUZMAN OCHOA LILIANA MAURA,45,,SI
,GUTIERREZ MOSCOSO MARIA EUGENIA,46,,SI
,GOMEZ IRMA,47,,SI
,CARRILLO CRESPO HUGO FERNANDO,49,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,SI
,MELO GARZON ESTEBAN ANDRES,56,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,SI
,ALVARADO CARRION ROSANA,59,,SI
,OCLES PADILLA ALEXANDRA,60,,SI
,CAZA TIPANTA HUGO RENE,61,,SI
,PADRON SAETEROS GLADYS PAULINA,62,,SI
,MACAS JOSE LUIS,63,,SI
,PEÑA CARRASCO DIANA LUCIA,64,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65,,SI
,QUINCHIGUANGO GISELA,66,,SI
,PONCE LEON XIMENA MERCEDES,67,,SI
