asambleista,curul,voto
ACERO LANCHIMBA ESTHELA LILIANA,2,AUSENTE
CALLE ANDRADE MARIA AUGUSTA,19,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,AUSENTE
PALACIOS CESAR,33,AUSENTE
MENDOZA DANIEL ISAAC,37,AUSENTE
GONZALEZ SERRANO MIRYAM CATARINA,40,AUSENTE
MOSQUERA YANEZ ISABEL PIEDAD,47,AUSENTE
ISSA WAGNER NICOLAS JOSE,48,AUSENTE
BRITO MENDOZA MONICA CRISTINA,63,AUSENTE
JIJON BUENDIA ITALIA LUISA,70,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
SUBIA BARREIRO BOLIVAR STALIN,78,AUSENTE
ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,AUSENTE
MORAN AMALIA,85,AUSENTE
ORELLANA MARQUINEZ MAGALI MARGOT,91,AUSENTE
GUTIERREZ BORBUA FAUSTO GILMAR,100,AUSENTE
MONCAYO CEVALLOS JOSE RICARDO,104,AUSENTE
VELEZ MARLENE MARGARITA,109,AUSENTE
VILEMA FREIRE ANGEL RAMIRO,112,AUSENTE
SOLORZANO SARRIA CESAR FAUSTO,114,AUSENTE
ZAMBRANO ARTEAGA JOSE RICARDO,124,AUSENTE
ZAMBRANO CASTRO NORALMA ELIZABETH,126,AUSENTE
ABAD VELEZ RAUL,1,SI
AGUILAR PLACIDO ARMANDO,3,SI
HAGO CELI FRANCISCO WAIKING,4,SI
AGUIRRE HIDALGO DORA ANADELA,5,SI
QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6,SI
MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,SI
MUÑOZ VICUÑA MARIANGEL,8,SI
ANDINO REINOSO MAURO EDMUNDO,9,SI
VITERI LOPEZ CHRISTIAN HUMBERTO,10,SI
RIVAS ALAVA ELIANA LISSET,11,SI
VILLAMAR CASAL JOSE LEONIDAS,12,SI
BENAVIDES ZAMBRANO ZOILA TERESA,13,SI
BERGMANN REYNA CARLOS ALBERTO,14,SI
BORJA PEREZ GALO,15,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,SI
CALDERON SALTOS RICHARD OSWALDO,18,SI
CARRILLO BETTY,20,SI
ANRRANGO ZAMBRANO GERARDO ELIAS,21,SI
CARVAJAL AGUIRRE MIGUEL ANGEL,22,SI
BRAVO RAMIREZ MARIA LORENA,23,SI
CONSTANTE NIETO MARIANA DE LAS MERCEDES,24,SI
CHAVEZ CANALES HOLGER EZEQUIEL,26,SI
DELGADO GUTIERREZ ALEXANDRA ISABEL,27,SI
CORDOVA ENCALADA EDGAR EDUARDO,28,SI
CUESTA RIOS LIUBA ELISA,29,SI
DE LA CRUZ BERNARDO HERMAN ULISES,30,SI
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,SI
DELGADO CHALA AGUSTIN JAVIER,32,SI
FALCONI LOQUI EVELYN PAMELA,34,SI
GAGLIARDO LOOR GASTON,35,SI
DE LA TORRE RAMIREZ PABLO ANTONIO,36,SI
GARZON RICAURTE WILLIAM ANTONIO,38,SI
GODOY ANDRADE GINA JAKELINE,39,SI
GUAMAN CASTRO ALEX FRANCISCO,41,SI
GUAMANGATE ANTE LUIS GILBERTO,42,SI
JARAMILLO RODRIGUEZ VICTOR HUGO,43,SI
GUEVARA VILLACRES VERONICA MARGARITA,44,SI
GUZMAN OCHOA LILIANA MAURA,45,SI
HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,SI
CARRILLO CRESPO HUGO FERNANDO,49,SI
SILVA MALDONADO SOFIA IRENE,50,SI
BAZURTO ROLDAN NANCIS CELESTE,51,SI
BUENDIA HERDOIZA MARIA SOLEDAD,52,SI
LARRIVA ALVARADO OSCAR OSWALDO,53,SI
LEDESMA ZAMORA OSCAR ALFONSO,54,SI
AGUIÑAGA VALLEJO PAOLA MARCELA,55,SI
MELO GARZON ESTEBAN ANDRES,56,SI
TOBAR NUÑEZ RAUL IGNACIO,57,SI
MUÑOZ AVENDAÑO ROSA ELVIRA,58,SI
ALVARADO CARRION ROSANA,59,SI
OCLES PADILLA ALEXANDRA,60,SI
CAZA TIPANTA HUGO RENE,61,SI
SANANGO AUCACAMA LUIS LORENZO,62,SI
TORRES LARA JOSE EDUARDO,64,SI
PEÑA PACHECO XIMENA DEL ROCIO,65,SI
PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,SI
PONCE LEON XIMENA MERCEDES,67,SI
PILLAJO TUQUERES JENNY ELIZABETH,68,SI
FARFAN APONTE RICHARD WILSON,69,SI
GOMEZ IRMA,71,SI
MEDINA MERA VICTOR CLEMENTE,72,SI
REINOSO LESCANO MARIA ELIZABETH,73,SI
ARIAS FERNANDEZ VERONICA ELIZABETH,75,SI
RODRIGUEZ DELGADO MARIA VERONICA,76,SI
MATIAS APOLINARIO RITA AZUCENA,81,SI
SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,SI
AGUALSACA GUAMAN JOSE CLEMENTE,86,SI
DAHIK ASTUDILLO REYTA GIOMAR,87,SI
TERAN SARZOSA SEGUNDO FAUSTO,94,SI
VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,SI
VALLE PINARGOTE BAIRON LEONARDO,96,SI
VASCONEZ ARTEAGA ANNY MARLLELY,97,SI
VELA CAIZAPANTA ANGEL RAMIRO,98,SI
VELA CHERONI MARIA SOLEDAD,106,SI
ARGUELLO TROYA BLANCA AZUCENA,107,SI
VELASCO ENRIQUEZ CARLOS ALBERTO,108,SI
VERDUGA CEDEÑO MARY,110,SI
VICUÑA MUÑOZ MARIA ALEJANDRA,111,SI
VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,SI
VINTIMILLA JARRIN DIEGO ARMANDO,122,SI
VITERI GUALINGA CARLOS ELOY,123,SI
ZAMBRANO CABANILLA EDUARDO ALFONSO,125,SI
OBANDO MORALES SANTA FELICITA,127,SI
SERRANO SEGURA GRACE MARISOL,128,SI
GUALAN JAPA MILTON RODRIGO,90,NO
TIBAN GUALA LOURDES LICENIA,93,NO
MONTAÑO VALENCIA MAE,115,NO
ROMERO LOAYZA FRANCO SEGUNDO,134,NO
BUSTAMANTE PONCE FERNANDO XAVIER,17,ABSTENCION
GUZMAN SEGOVIA JOSE FRANCISCO,74,ABSTENCION
BUSTOS CHILIQUINGA ARCADIO,80,ABSTENCION
LANDAZURI CORDOVA SANDRA SUSANA,82,ABSTENCION
ACACHO GONZALEZ PEPE LUIS,83,ABSTENCION
DIAZ COKA MARIA GABRIELA,88,ABSTENCION
FIERRO OVIEDO PACO,89,ABSTENCION
UMAJINGA GUAMAN CESAR,92,ABSTENCION
PACHECO ORDOÑEZ BAYRON EDUARDO,99,ABSTENCION
LUDEÑA SOTOMAYOR CECILIA DEL CISNE,101,ABSTENCION
CHICAIZA TOAPANTA WILSON ALFONSO,102,ABSTENCION
DONOSO CHIRIBOGA PATRICIO,103,ABSTENCION
MOREIRA MACIAS GRACE HOLANDA,105,ABSTENCION
POSSO SALGADO LUIS ANTONIO,113,ABSTENCION
SIVINTA TAIPE WALTHER OSWALDO,116,ABSTENCION
LLANES SUAREZ HENRY MANUEL,117,ABSTENCION
SALGADO RIVADENEIRA DIEGO,118,ABSTENCION
MEDINA TAMBACO EMILY JESUS,119,ABSTENCION
TORRES TORRES LUIS FERNANDO,120,ABSTENCION
URIBE LOPEZ FANNY ESTHER,129,ABSTENCION
TAPIA LOMBEYDA LUIS FERNANDO,130,ABSTENCION
CUCALON CAMACHO HENRY EDUARDO,131,ABSTENCION
REYES HIDALGO CRISTINA EUGENIA,132,ABSTENCION
TACLE GALARRAGA MOISES FERNANDO,133,ABSTENCION
TERAN SALCEDO RAMON FORTUNATO,135,ABSTENCION
SERRANO VALLADARES SAADIN ALFREDO,136,ABSTENCION
KRONFLE GOMEZ MARIA CRISTINA,137,ABSTENCION
