34,asambleista,curul,total ausente,voto
,TORRES CEDEÑO KERLLY ANABEL,7,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,CALDERON SALTOS RICHARD OSWALDO,18,,AUSENTE
,CARRION MARIA JOSE,21,,AUSENTE
,OLAYA LIDER,25,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29,,AUSENTE
,DELGADO CHALA AGUSTIN JAVIER,32,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,LARREA VITERI LIDICE VANESSA,37,,AUSENTE
,GRANDA NIXON ARLIG,40,,AUSENTE
,GUAMANGATE ANTE LUIS GILBERTO,42,,AUSENTE
,JARAMILLO RODRIGUEZ VICTOR HUGO,43,,AUSENTE
,MOSQUERA YANEZ ISABEL PIEDAD,47,,AUSENTE
,JUEZ JUEZ OMAR JUSEPH,50,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCIO,65,,AUSENTE
,FARFAN APONTE RICHARD WILSON,69,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,AUSENTE
,RODRIGUEZ DELGADO MARIA VERONICA,76,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,78,,AUSENTE
,VILLAO PANCHANA RAUL ELIAS,81,,AUSENTE
,SOLANO MORENO ALEX FABIAN,87,,AUSENTE
,QUEZADA CARRION ANDREA MARIBEL,90,,AUSENTE
,IÑIGUEZ APOLO LENIN MAURICIO,95,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105,,AUSENTE
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131,,AUSENTE
,MUENTES ALVARADO PABLO ANDRES,132,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,134,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,ACERO LANCHIMBA ESTHELA LILIANA,2,,SI
,ALMEIDA MANOSALVAS MARIA DEL PILAR,3,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4,,SI
,AGUIRRE HIDALGO DORA ANDELA,5,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BARRIGA ROCIO,15,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALLE ANDRADE MARIA AUGUSTA,19,,SI
,CARRILLO BETTY,20,,SI
,CAJAS LARA SUSANA VALERIA,22,,SI
,BRAVO RAMIREZ MARIA LORENA,23,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,DAVILA RAMIREZ BELGICA ELIZABETH,28,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,FALCONI LOQUI EVELYN PAMELA,34,,SI
,GAGLIARDO LOOR GASTON,35,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38,,SI
,GODOY ANDRADE GINA JAKELINE,39,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44,,SI
,GUZMAN OCHOA LILIANA MAURA,45,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,,SI
,MONGE ESPINEL LUIS HUMBERTO,48,,SI
,JEREZ PILLA BETTY MARICELA,49,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,52,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,SI
,MELO GARZON ESTEBAN ANDRES,56,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,SI
,ALVARADO CARRION ROSANA,59,,SI
,OCLES PADILLA ALEXANDRA,60,,SI
,PABON CARANQUI PAOLA VERENICE,61,,SI
,PADRON SAETEROS GLADYS PAULINA,62,,SI
,BRITO MENDOZA MONICA CRISTINA,63,,SI
,PEÑA CARRASCO DIANA LUCIA,64,,SI
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,,SI
,PONCE LEON XIMENA MERCEDES,67,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,SI
,RIVERA LOPEZ JOSE GABRIEL,70,,SI
,RIVERO DOGUER ANGEL ARMANDO,71,,SI
,REINOSO LESCANO MARIA ELIZABETH,73,,SI
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,SI
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,,SI
,MOYA DUQUE HERMAN ANIBAL,85,,SI
,SERRANO REYES NELSON ALCIDES,86,,SI
,DIAZ COKA MARIA GABRIELA,88,,SI
,UMAJINGA GUAMAN CESAR,92,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97,,SI
,INTRIAGO MACIAS CARMEN ELENA,98,,SI
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,SI
,VELA CHERONI MARIA SOLEDAD,106,,SI
,ARGUELLO TROYA BLANCA AZUCENA,107,,SI
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,SI
,VELIZ BRIONES JOSE FELIX,109,,SI
,OCHOA MORANTE MANUEL ALFREDO,110,,SI
,VICUÑA MUÑOZ MARIA ALEJANDRA,111,,SI
,VILEMA FREIRE ANGEL RAMIRO,112,,SI
,POSSO SALGADO LUIS ANTONIO,113,,SI
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,,SI
,VINTIMILLA JARRIN DIEGO ARMANDO,122,,SI
,VITERI GUALINGA CARLOS ELOY,123,,SI
