asambleista,curul,voto
MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,AUSENTE
MUÑOZ VICUÑA MARIANGEL,8,AUSENTE
ARIAS RAMIREZ ALBERTO JESUS,11,AUSENTE
QUIMBIULCO BEDON LORENA GABRIELA,18,AUSENTE
BRAVO RAMIREZ MARIA LORENA,23,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,AUSENTE
CORDOVA ENCALADA EDGAR EDUARDO,28,AUSENTE
MENDOZA DANIEL ISAAC,37,AUSENTE
GUAMAN CASTRO ALEX FRANCISCO,41,AUSENTE
GUTIERREZ MOSCOSO MARIA EUGENIA,46,AUSENTE
ORTIZ GASPAR ESTHER FLAVIA,51,AUSENTE
REYES MACHUCA EFREN RODRIGO,52,AUSENTE
JAIGUA ALVARADO CELIA MARIA,53,AUSENTE
GOMEZ IRMA,63,AUSENTE
PEÑA PACHECO XIMENA DEL ROCIO,65,AUSENTE
MEDINA MERA VICTOR CLEMENTE,72,AUSENTE
ARIAS FERNANDEZ VERONICA ELIZABETH,75,AUSENTE
MATIAS APOLINARIO RITA AZUCENA,81,AUSENTE
SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,AUSENTE
DIAZ COKA MARIA GABRIELA,88,AUSENTE
FIERRO OVIEDO PACO,89,AUSENTE
QUEZADA CARRION ANDREA MARIBEL,90,AUSENTE
TIBAN GUALA LOURDES LICENIA,93,AUSENTE
IÑIGUEZ APOLO LENIN MAURICIO,95,AUSENTE
PACHECO ORDOÑEZ BAYRON EDUARDO,99,AUSENTE
GUTIERREZ BORBUA FAUSTO GILMAR,100,AUSENTE
AUQUILLA ORTEGA RAUL VICENTE,101,AUSENTE
MONCAYO CEVALLOS JOSE RICARDO,104,AUSENTE
PAEZ BENALCAZAR ANDRES TARQUINO,117,AUSENTE
MEDINA TAMBACO EMILY JESUS,119,AUSENTE
ZAMBRANO ARTEAGA JOSE RICARDO,124,AUSENTE
SERRANO SEGURA GRACE MARISOL,128,AUSENTE
URIBE LOPEZ FANNY ESTHER,129,AUSENTE
TAPIA LOMBEYDA LUIS FERNANDO,130,AUSENTE
CUCALON CAMACHO HENRY EDUARDO,131,AUSENTE
TACLE GALARRAGA MOISES FERNANDO,133,AUSENTE
ROMERO LOAYZA FRANCO SEGUNDO,134,AUSENTE
KRONFLE GOMEZ MARIA CRISTINA,137,AUSENTE
ABAD VELEZ RAUL,1,SI
MORALES POZO LENIN ALBERTO,2,SI
AGUILAR PLACIDO ARMANDO,3,SI
HAGO CELI FRANCISCO WAIKING,4,SI
AGUIRRE HIDALGO DORA ANADELA,5,SI
ALBAN TORRES MARIANA DEL ROCIO,6,SI
ANDINO REINOSO MAURO EDMUNDO,9,SI
MONGE ESPINEL LUIS HUMBERTO,10,SI
ARREGUI RUEDA MARCIA CECILIA,12,SI
BENAVIDES ZAMBRANO ZOILA TERESA,13,SI
MORENO INTRIAGO MARIA LUISA,14,SI
BORJA PEREZ GALO,15,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,SI
CALLE ANDRADE MARIA AUGUSTA,19,SI
CARRILLO BETTY,20,SI
ANRRANGO ZAMBRANO GERARDO ELIAS,21,SI
CARVAJAL AGUIRRE MIGUEL ANGEL,22,SI
CAYAMBE TIPAN FAUSTO HERIBERTO,24,SI
CHAVEZ CANALES HOLGER EZEQUIEL,26,SI
CHICA AREVALO VINICIO VETHOWEN,27,SI
CUESTA RIOS LIUBA ELISA,29,SI
DE LA CRUZ BERNARDO HERMAN ULISES,30,SI
MACAS JOSE LUIS,31,SI
DELGADO CHALA AGUSTIN JAVIER,32,SI
PALACIOS CESAR,33,SI
FALCONI LOQUI EVELYN PAMELA,34,SI
