35,asambleista,curul,total ausente,voto
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,AUSENTE
,CEVALLOS GUEVARA LESLIE MARCELA,3,,AUSENTE
,MARQUEZ LOPEZ JOSE LENIN,8,,AUSENTE
,MORENO INTRIAGO MARIA LUISA,9,,AUSENTE
,BONILLA SALCEDO VIVIANA,10,,AUSENTE
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,AUSENTE
,DELGADO ORLANDO CÉSAR ANTONIO,14,,AUSENTE
,CALLE VERZOZI HERMUY,15,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40,,AUSENTE
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,AUSENTE
,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,AUSENTE
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,AUSENTE
,GUAMBA DÍAZ NANCY JEANNETH,69,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,AUSENTE
,JARAMILLO ZURITA PAOLA MICHAEL,88,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92,,AUSENTE
,CURICHUMBI YUPANQUI PEDRO,100,,AUSENTE
,MOLINA CELI KARLA ELIZABETH,105,,AUSENTE
,MACÍAS ORTEGA WENDY ELENA MARISOL,106,,AUSENTE
,TACLE GARCÍA SAMIA,111,,AUSENTE
,CUADRO GASTEZZI DEYSI MARIA,115,,AUSENTE
,VERA CALDERÓN SILVIA LORENA,116,,AUSENTE
,CUESTA CONCARI MARÍA MERCEDES,122,,AUSENTE
,UGARTE GUZMÁN BLANCA ROSANA,127,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,132,,AUSENTE
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,SI
,HIDALGO JARAMILLO EDITH MARLENE,12,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,19,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,SI
,CUESTA SANTANA ESTHER ADELINA,26,,SI
,ALEAGA SANTOS RONNY XAVIER,29,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32,,SI
,GARCÍA POZO DIEGO OSWALDO,33,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,SI
