34,asambleista,curul,total no,voto
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,14.0,,AUSENTE
,CARRION MARIA JOSE,21.0,,AUSENTE
,CASSINELLI CALI JUAN CARLOS,23.0,,AUSENTE
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,AUSENTE
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29.0,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,AUSENTE
,MOYA DUQUE HERMAN ANIBAL,85.0,,AUSENTE
,SOLANO MORENO ALEX FABIAN,87.0,,AUSENTE
,TIBAN GUALA LOURDES LICENIA,93.0,,AUSENTE
,TERAN SARZOSA SEGUNDO FAUSTO,94.0,,AUSENTE
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,MORALES POZO LENIN ALBERTO,2.0,,SI
,LANDAZURI OLMEDO LUDIS CLAUDINA,3.0,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4.0,,SI
,AGUIRRE HIDALGO DORA ANDELA,5.0,,SI
,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6.0,,SI
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,SI
,MUÑOZ VICUÑA MARIANGEL,8.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,SI
,ARREGUI RUEDA MARCIA CECILIA,12.0,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,CALDERON SALTOS RICHARD OSWALDO,18.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,CARRILLO BETTY,20.0,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36.0,,SI
,MENDOZA DANIEL ISAAC,37.0,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,SI
,GODOY ANDRADE GINA JAKELINE,39.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,SI
,GUDIÑO MENA ZOBEIDA GUISELA,43.0,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,SI
,RODAS MARCA CARLOS EDUARDO,45.0,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,SI
,ISSA WAGNER NICOLAS JOSE,48.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
,ARANA COELLO YIMABEL MARIA,50.0,,SI
,BAZURTO ROLDAN NANCIS CELESTE,51.0,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,52.0,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MORENO CHIRIBOGA AMPARO DIANA,56.0,,SI
,ALMEIDA MANOSALVAS MARIA DEL PILAR,57.0,,SI
,CABRERA FAJARDO SEGUNDO CESAR,59.0,,SI
,CAZA TIPANTA HUGO RENE,61.0,,SI
,PADRON SAETEROS GLADYS PAULINA,62.0,,SI
,BRITO MENDOZA MONICA CRISTINA,63.0,,SI
,TORRES LARA JOSE EDUARDO,64.0,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,SI
,QUINCHIGUANGO GISELA,66.0,,SI
,PONCE LEON XIMENA MERCEDES,67.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,,SI
,FARES GUAILLAS MARIA SEBASTIANA,69.0,,SI
,RIVERA LOPEZ JOSE GABRIEL,70.0,,SI
,RIVERO DOGUER ANGEL ARMANDO,71.0,,SI
,REINOSO LESCANO MARIA ELIZABETH,73.0,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,SI
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,SI
,SALAZAR CEDEÑO GUADALUPE DOLORES,78.0,,SI
