asambleista,curul,voto
AGUIÑAGA VALLEJO PAOLA MARCELA,1,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,AUSENTE
CUESTA SANTANA ESTHER ADELINA,26,AUSENTE
GARCÍA GAIBOR CARMEN MERCEDES,32,AUSENTE
GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,AUSENTE
MELO GARZÓN ESTEBAN ANDRÉS,41,AUSENTE
PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,AUSENTE
VITERI GUALINGA CARLOS ELOY,67,AUSENTE
CASTANIER JARAMILLO XAVIER HOMERO,89,AUSENTE
CUESTA ORELLANA MARÍA DE LOURDES,93,AUSENTE
GARCIA CANO LUIGI FRANCISCO,122,AUSENTE
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,SI
SERRANO SALGADO JOSÉ RICARDO,3,SI
ARIAS RAMÍREZ ALBERTO JESÚS,5,SI
ARREGUI RUEDA MARCIA CECILIA,6,SI
ARTEAGA MUÑOZ KARINA CECILIA,7,SI
BENAVIDES ZAMBRANO ZOILA TERESA,8,SI
BERGMANN REYNA CARLOS ALBERTO,9,SI
COLLAGUAZO RODRIGO,10,SI
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,SI
CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,SI
CADENA VÉLEZ KARLA GABRIELA,14,SI
CAMBALA MONTECE CARLOS ALBERTO,16,SI
CARRIÓN CEVALLOS MARÍA JOSÉ,18,SI
VALLEJO JARAMILLO NORMA MARLENE,19,SI
GREFA AVILEZ FLAVIO PATRICIO,21,SI
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,SI
COROZO AYOVÍ JORGE WILBER,24,SI
DOUMET CHEDRAUI MICHEL ANDRÉS,27,SI
FLOR GIL BRENDA AZUCENA,31,SI
GARZÓN RICAURTE WILLIAM ANTONIO,34,SI
GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,SI
LITARDO CAICEDO CÉSAR ERNESTO,38,SI
MARÍN AGUIRRE ANA BELÉN,40,SI
MENDOZA ARÉVALO DANIEL ISAAC,42,SI
OCHOA MORANTE MANUEL ALFREDO,45,SI
ORELLANA ROMÁN ROSA GINA,46,SI
PEÑA PACHECO XIMENA DEL ROCÍO,48,SI
PLAZA CASTILLO LENIN,49,SI
POMA HERRERA YOFRE MARTÍN,50,SI
QUIÑONEZ OCAMPO JULIO CÉSAR,53,SI
SALAZAR CEDEÑO GUADALUPE DOLORES,56,SI
SALGADO ANDRADE SILVIA BETZABETH,57,SI
SÁNCHEZ REYES MONTGOMERY,59,SI
VELIN CORTÉS JUAN PABLO,63,SI
VERA RODRÍGUEZ CARLOS ALFREDO,65,SI
BASTIDAS GUERRA BRENDA DANIELA,68,SI
YUNDA MACHADO JORGE HOMERO,69,SI
ZAMBRANO ARTEAGA JOSE RICARDO,70,SI
ANDRADE MUÑOZ WILMA PIEDAD,71,SI
ASÁN WONSANG JOSÉ FRANCISCO,72,SI
AUQUILLA ORTEGA RAÚL VICENTE,73,SI
BERNAL BERNAL ESTEBAN REMIGIO,74,SI
BURBANO MONTENEGRO FÉLIX FERNANDO,75,SI
ZAMBRANO CASTRO NORALMA ELIZABETH,76,SI
AZUERO RODAS ELISEO ALEXIS,77,SI
CUCALÓN CAMACHO HENRY EDUARDO,78,SI
FALQUEZ BATALLAS PEDRO CARLOS,79,SI
CALLEJAS BARONA FERNANDO,80,SI
CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,SI
CAMPOVERDE ROBLES EMILIO ABSALÓN,82,SI
CARRIÓN MORENO CÉSAR ATAULFO,83,SI
ZAMBRANO CHACHA ALBERTO ALEXANDER,84,SI
SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,SI
YANDÚN POZO CÁSTULO RENÉ,86,SI
HENRÍQUEZ JAIME PATRICIA IVONNE,87,SI
KRONFLE KOZHAYA HENRY FABIÁN,88,SI
CELI SANTOS GUILLERMO ALEJANDRO,90,SI
CRUZ PROAÑO LUDOVICO ISRAEL,91,SI
ZÁRATE CASTRO JORGE EDUARDO,92,SI
CADENA HUERTAS FRANCISCO JAVIER,95,SI
PEÑA ONTANEDA ELIO GERMÁN,96,SI
MONTAÑO GUISAMANO MAYRA MIGDONIA,97,SI
,98,SI
REYES HIDALGO CRISTINA EUGENIA,99,SI
CURICHUMBI YUPANQUI PEDRO,100,SI
DONOSO CHIRIBOGA PATRICIO,101,SI
FLORES VÁSQUEZ FERNANDO PATRICIO,102,SI
GALARZA AÑAZCO ANA MERCEDES,103,SI
GENDE CALAZACÓN ANGEL MESÍAS,104,SI
GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,SI
ZAMBRANO VERA MARIANO,106,SI
CANDELL SOTO JAIME ENRIQUE JIMMY,107,SI
DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,SI
OLIVO PALLO JAIME FERNANDO,109,SI
ROHON HERVAS CÉSAR EDUARDO,110,SI
