curul,asambleista,voto
9,BERGMANN REYNA CARLOS ALBERTO,AUSENTE
21,GREFA AVILEZ FLAVIO PATRICIO,AUSENTE
25,CUESTA RÍOS LIUBA ELISA,AUSENTE
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,AUSENTE
50,POMA HERRERA YOFRE MARTÍN,AUSENTE
80,SUÁREZ PROAÑO LUIS FERNANDO,AUSENTE
83,CARRIÓN MORENO CÉSAR ATAULFO,AUSENTE
84,ZAMBRANO CHACHA ALBERTO ALEXANDER,AUSENTE
90,CELI SANTOS GUILLERMO ALEJANDRO,AUSENTE
92,ZÁRATE CASTRO JORGE EDUARDO,AUSENTE
96,PEÑA ONTANEDA ELIO GERMÁN,AUSENTE
105,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,AUSENTE
122,CUESTA CONCARI MARÍA MERCEDES,AUSENTE
125,ANGULO QUIROGA MARTHA CECILIA,AUSENTE
126,SOLORZANO SARRIA CESAR FAUSTO,AUSENTE
71,ANDRADE MUÑOZ WILMA PIEDAD,SI
72,ASÁN WONSANG JOSÉ FRANCISCO,SI
73,AUQUILLA ORTEGA RAÚL VICENTE,SI
74,BERNAL BERNAL ESTEBAN REMIGIO,SI
75,BURBANO MONTENEGRO FÉLIX FERNANDO,SI
77,GUEVARA LOZADA FLERIDA YOVANA,SI
78,CUCALÓN CAMACHO HENRY EDUARDO,SI
79,SERRANO VITERI MERCEDES MARITZA,SI
81,CAMPAIN BRAMBILLA RINA ASUNCIÓN,SI
82,CAMPOVERDE ROBLES EMILIO ABSALÓN,SI
85,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,SI
86,YANDÚN POZO CÁSTULO RENÉ,SI
87,HENRÍQUEZ JAIME PATRICIA IVONNE,SI
88,KRONFLE KOZHAYA HENRY FABIÁN,SI
89,CASTANIER JARAMILLO XAVIER HOMERO,SI
91,CRUZ PROAÑO LUDOVICO ISRAEL,SI
93,CUESTA ORELLANA MARÍA DE LOURDES,SI
95,CADENA HUERTAS FRANCISCO JAVIER,SI
97,MONTAÑO GUISAMANO MAYRA MIGDONIA,SI
98,MUENTES ALVARADO PABLO ANDRES,SI
99,NARVÁEZ MENDIETA DALTON RAFAEL,SI
100,CURICHUMBI YUPANQUI PEDRO,SI
101,DONOSO CHIRIBOGA PATRICIO,SI
102,FLORES VÁSQUEZ FERNANDO PATRICIO,SI
103,GALARZA AÑAZCO ANA MERCEDES,SI
104,GENDE CALAZACÓN ANGEL MESÍAS,SI
107,CANDELL SOTO JAIME ENRIQUE JIMMY,SI
108,DUCHI GUAMÁN MARÍA ENCARNACIÓN,SI
109,OLIVO PALLO JAIME FERNANDO,SI
110,ROHON HERVAS CÉSAR EDUARDO,SI
111,TAIANO BASANTE VICENTE GIOVANNY,SI
112,TERÁN SALCEDO RAMÓN FORTUNATO,SI
113,TORRES TORRES LUIS FERNANDO,SI
114,LARREÁTEGUI FABARA MARÍA GABRIELA,SI
115,SALTOS MOREIRA DIANA GABRIELA,SI
116,MINCHALA MURILLO RÓMULO MARCELO,SI
117,MONTAÑO VALENCIA MAE,SI
118,VARGAS SÁNCHEZ GRETTY LEILA,SI
119,MUÑOZ ALARCÓN HÉCTOR PATRICIO,SI
120,PACHALA POMA LUIS ALBERTO,SI
121,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,SI
123,BUSTAMANTE BRICEÑO YONY ESPERANZA,SI
124,PUANCHIR PAYASHÑA TITO PEDRO,SI
127,UGARTE GUZMÁN BLANCA ROSANA,SI
128,VINTIMILLA MOSCOSO PAOLA,SI
129,ZAMBRANO ORTIZ MARÍA ROBERTA,SI
130,PALACIOS MUÑOZ JUAN SEBASTIÁN,SI
131,PAREDES TORRES WASHINGTON ARTURO,SI
132,ROMERO LOAYZA FRANCO SEGUNDO,SI
133,SIMBAÑA VILLARREAL ABDÓN MARCELO,SI
134,SUQUILANDA VALDIVIESO BYRON VINICIO,SI
135,VERA MENDOZA TANLLY JANELA,SI
136,VILLAMAR JÁCOME PEDRO FABRICIO,SI
137,PADILLA SIERRA MAGGIE DOLORES,SI
1,AGUIÑAGA VALLEJO PAOLA MARCELA,NO
2,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,NO
3,CEVALLOS GUEVARA LESLIE MARCELA,NO
5,ARIAS RAMÍREZ ALBERTO JESÚS,NO
6,ARREGUI RUEDA MARCIA CECILIA,NO
7,ARTEAGA MUÑOZ KARINA CECILIA,NO
8,BENAVIDES ZAMBRANO ZOILA TERESA,NO
11,BUENDÍA HERDOÍZA MARÍA SOLEDAD,NO
12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,NO
13,SERRANO VALLEJO JORGE ERNESTO,NO
14,CADENA VÉLEZ KARLA GABRIELA,NO
15,CALLE VERZOZI HERMUY,NO
16,CAMBALA MONTECE CARLOS ALBERTO,NO
17,CÁRDENAS ESPINOZA JUAN JORGE,NO
18,CARRIÓN CEVALLOS MARÍA JOSÉ,NO
23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,NO
24,COROZO AYOVÍ JORGE WILBER,NO
26,CUESTA SANTANA ESTHER ADELINA,NO
29,ALEAGA SANTOS RONNY XAVIER,NO
30,ESPINOSA ANDRADE AUGUSTO XAVIER,NO
31,GARCÍA MARTÍNEZ INGRID VANESSA,NO
32,MONGE TIPÁN OSCAR VINICIO,NO
33,GARCÍA POZO DIEGO OSWALDO,NO
34,GARZÓN RICAURTE WILLIAM ANTONIO,NO
36,GUEVARA VILLACRÉS VERÓNICA MARGARITA,NO
37,HOLGUÍN NARANJO MARCELA PRISCILA,NO
38,LITARDO CAICEDO CÉSAR ERNESTO,NO
39,LLORET VALDIVIESO JUAN CRISTÓBAL,NO
43,PAREDES BENAVIDES LIDIA VICTORIA,NO
44,NARANJO ALVARADO PRISCILA AMAPOLA,NO
45,OCHOA MORANTE MANUEL ALFREDO,NO
46,ORELLANA ROMÁN ROSA GINA,NO
48,PEÑA PACHECO XIMENA DEL ROCÍO,NO
52,QUIJIJE DELGADO LUIS RAFAEL,NO
54,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,NO
55,RIVADENEIRA BUSTOS CARMEN MERCEDES,NO
57,SALGADO ANDRADE SILVIA BETZABETH,NO
60,ALEMÁN MARMOL MÓNICA ROCÍO,NO
61,SOLIZ CARRIÓN DORIS JOSEFINA,NO
62,VALLE PINARGOTE BAIRON LEONARDO,NO
63,MALDONADO VERA MABEL MARCELA,NO
64,VERA FLORES WENDY VANESSA,NO
65,VERA RODRÍGUEZ CARLOS ALFREDO,NO
76,PALACIOS ALEJANDRO CESAR GUSTAVO,NO
4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ABSTENCION
10,BONILLA SALCEDO VIVIANA,ABSTENCION
19,VALLEJO JARAMILLO NORMA MARLENE,ABSTENCION
20,TENORIO VALENCIA CALLETANO,ABSTENCION
