104,asambleista,curul,total si,voto
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,AUSENTE
,SERRANO SALGADO JOSÉ RICARDO,3,,AUSENTE
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,AUSENTE
,ALEAGA SANTOS RONNY XAVIER,29,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40,,AUSENTE
,MENDOZA ARÉVALO DANIEL ISAAC,42,,AUSENTE
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,AUSENTE
,ORELLANA ROMÁN ROSA GINA,46,,AUSENTE
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,AUSENTE
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73,,AUSENTE
,AZUERO RODAS ELISEO ALEXIS,77,,AUSENTE
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,AUSENTE
,JARAMILLO ZURITA PAOLA MICHAEL,88,,AUSENTE
,CASTANIER JARAMILLO XAVIER HOMERO,89,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92,,AUSENTE
,CUESTA ORELLANA MARÍA DE LOURDES,93,,AUSENTE
,CURICHUMBI YUPANQUI PEDRO,100,,AUSENTE
,GALARZA AÑAZCO ANA MERCEDES,103,,AUSENTE
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,AUSENTE
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,AUSENTE
,VERA MENDOZA TANLLY JANELA,135,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,AUSENTE
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,SI
