35,asambleista,curul,total no,voto
,ORTIZ LARA LEONARDO,5,,AUSENTE
,MONGE ESPINEL LUIS HUMBERTO,10,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,CRUZ SALAZAR FRANCISCA GABRIELA,48,,AUSENTE
,BUENDIA HERDOIZA MARIA SOLEDAD,52,,AUSENTE
,QUIROZ VALLEJO HECTOR HUGO,56,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,VITERI GUALINGA CARLOS ELOY,123,,AUSENTE
,MARIN AVILA MAYTE SORAYA,125,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,MORALES POZO LENIN ALBERTO,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CASANOVA CEPEDA XAVIER IVAN,19,,SI
,CARRILLO BETTY,20,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,CASSINELLI CALI JUAN CARLOS,23,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,SI
,DELGADO GUTIERREZ ALEXANDRA ISABEL,27,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28,,SI
,CUESTA RIOS LIUBA ELISA,29,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,DELGADO CHALA AGUSTIN JAVIER,32,,SI
,FALCONI LOQUI EVELYN PAMELA,34,,SI
,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36,,SI
,LARREA VITERI LIDICE VANESSA,37,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38,,SI
,GODOY ANDRADE GINA JAKELINE,39,,SI
,GONZALEZ SERRANO MIRYAM CATARINA,40,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42,,SI
,GUDIÑO MENA ZOBEIDA GUISELA,43,,SI
,TORRES PINEDA CLINTON ELIUD,44,,SI
,RODAS MARCA CARLOS EDUARDO,45,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47,,SI
,CARRILLO CRESPO HUGO FERNANDO,49,,SI
,JUEZ JUEZ OMAR JUSEPH,50,,SI
,BAZURTO ROLDAN NANCIS CELESTE,51,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,SI
,ALVARADO CARRION ROSANA,59,,SI
,OCLES PADILLA ALEXANDRA,60,,SI
,PABON CARANQUI PAOLA VERENICE,61,,SI
,PADRON SAETEROS GLADYS PAULINA,62,,SI
,PATIÑO AROCA RAUL LEONARDO,63,,SI
,PEÑA CARRASCO DIANA LUCIA,64,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65,,SI
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,,SI
,PONCE LEON XIMENA MERCEDES,67,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,SI
,FARFAN APONTE RICHARD WILSON,69,,SI
,RIVERA LOPEZ JOSE GABRIEL,70,,SI
,RIVERO DOGUER ANGEL ARMANDO,71,,SI
,REINOSO LESCANO MARIA ELIZABETH,73,,SI
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76,,SI
,SUBIA BARREIRO BOLIVAR STALIN,78,,SI
,VACA COJITAMBO ELENA ANA DEL ROCIO,84,,SI
