asambleista,curul,voto
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,AUSENTE
ARIAS RAMÍREZ ALBERTO JESÚS,5,AUSENTE
BERGMANN REYNA CARLOS ALBERTO,9,AUSENTE
DELGADO ORLANDO CÉSAR ANTONIO,14,AUSENTE
CARRIÓN CEVALLOS MARÍA JOSÉ,18,AUSENTE
VALLEJO JARAMILLO NORMA MARLENE,19,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,AUSENTE
GREFA AVILEZ FLAVIO PATRICIO,21,AUSENTE
NÚÑEZ CRIOLLO JAIRO PATRICIO,26,AUSENTE
GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,AUSENTE
MENDOZA ARÉVALO DANIEL ISAAC,42,AUSENTE
PEÑA PACHECO XIMENA DEL ROCÍO,48,AUSENTE
VELIN CORTÉS JUAN PABLO,63,AUSENTE
VITERI GUALINGA CARLOS ELOY,67,AUSENTE
PEÑA ONTANEDA ELIO GERMÁN,96,AUSENTE
FLORES ARROYO JUAN FERNADO,102,AUSENTE
MOLINA CELI KARLA ELIZABETH,105,AUSENTE
DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,AUSENTE
MENDOZA PALMA JOFFRE PATRICIO,115,AUSENTE
BENAVIDES ZAMBRANO ZOILA TERESA,8,ABSTENCION
AGUIÑAGA VALLEJO PAOLA MARCELA,1,SI
JUCA SALAZAR MERCEDES DEL ROCÍO,2,SI
SERRANO SALGADO JOSÉ RICARDO,3,SI
YELA ACOSTA WERNER ANTONIO,6,SI
ARTEAGA MUÑOZ KARINA CECILIA,7,SI
BONILLA SALCEDO VIVIANA,10,SI
BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,SI
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,SI
SERRANO VALLEJO JORGE ERNESTO,13,SI
CALLE VERZOZI HERMUY,15,SI
CAMBALA MONTECE CARLOS ALBERTO,16,SI
CÁRDENAS ESPINOZA JUAN JORGE,17,SI
SARZOSA MONTENEGRO JOHANNA MARCELA,22,SI
TORRES TORRES EURO IGNACIO,23,SI
COROZO AYOVÍ JORGE WILBER,24,SI
CUESTA RÍOS LIUBA ELISA,25,SI
RUIZ CEDEÑO ANA BELÉN,27,SI
DURÁN AGUILAR LILIANA ELIZABETH,28,SI
ESPÍN REYES EUGENIA SOFÍA,29,SI
ESPINOSA ANDRADE AUGUSTO XAVIER,30,SI
FLOR GIL BRENDA AZUCENA,31,SI
GARCÍA GAIBOR CARMEN MERCEDES,32,SI
GARCÍA POZO DIEGO OSWALDO,33,SI
GARZÓN RICAURTE WILLIAM ANTONIO,34,SI
GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,SI
HOLGUÍN NARANJO MARCELA PRISCILA,37,SI
ASPIAZU INFANTE CARMEN MARJORIE,38,SI
DELGADO ORELLANA SUSANA DEL CARMEN,39,SI
QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,40,SI
MELO GARZÓN ESTEBAN ANDRÉS,41,SI
MUÑOZ LÓPEZ CHRISTIAN PABEL,43,SI
NARANJO ALVARADO PRISCILA AMAPOLA,44,SI
OCHOA MORANTE MANUEL ALFREDO,45,SI
ALONSO FERNÁNDEZ FÉLIX FREDY,46,SI
PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,SI
PLAZA CASTILLO LENIN,49,SI
POMA HERRERA YOFRE MARTÍN,50,SI
PROAÑO CIFUENTES ROBERTH MAURICIO,51,SI
QUIJIJE DELGADO LUIS RAFAEL,52,SI
QUIÑONEZ OCAMPO JULIO CÉSAR,53,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,SI
RIVADENEIRA BUSTOS CARMEN MERCEDES,55,SI
SALAZAR CEDEÑO GUADALUPE DOLORES,56,SI
SALGADO ANDRADE SILVIA BETZABETH,57,SI
SAMANIEGO MAIGUA FRANKLIN OMAR,58,SI
SÁNCHEZ REYES MONTGOMERY,59,SI
ALEMÁN MARMOL MÓNICA ROCÍO,60,SI
PEÑA BERNAL JOAQUÍN ANTONIO,61,SI
TENEZACA LOPEZ MABEL MICHELL,62,SI
VERA FLORES WENDY VANESSA,64,SI
VERA RODRÍGUEZ CARLOS ALFREDO,65,SI
VELASTEGUI NARANJO OLGUER FABRICIO,66,SI
YAR ARAUJO JUAN CARLOS,68,SI
YUNDA MACHADO JORGE HOMERO,69,SI
ZAMBRANO ARTEAGA JOSE RICARDO,70,SI
ANDRADE MUÑOZ WILMA PIEDAD,71,SI
ASÁN WONSANG JOSÉ FRANCISCO,72,SI
AUQUILLA ORTEGA RAÚL VICENTE,73,SI
BERNAL BERNAL ESTEBAN REMIGIO,74,SI
CERDA ROSERO THALIA GENOVEVA,75,SI
ZAMBRANO CASTRO NORALMA ELIZABETH,76,SI
AZUERO RODAS ELISEO ALEXIS,77,SI
ORDOÑEZ ZAMBRANO SANDRA DEL ROCÍO,78,SI
AÑAZCO ROMERO DOLORES LETICIA,79,SI
CALLEJAS BARONA FERNANDO,80,SI
CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,SI
CAMPOVERDE ROBLES EMILIO ABSALÓN,82,SI
CARRIÓN MORENO CÉSAR ATAULFO,83,SI
ZAMBRANO CHACHA ALBERTO ALEXANDER,84,SI
GONZÁLEZ VÁSCONEZ TERESITA XIMENA,85,SI
YANDÚN POZO CÁSTULO RENÉ,86,SI
HENRÍQUEZ JAIME PATRICIA IVONNE,87,SI
KRONFLE KOZHAYA HENRY FABIÁN,88,SI
CASTANIER JARAMILLO XAVIER HOMERO,89,SI
LÓPEZ GÓMEZ DE LA TORRE MARÍA CRISTINA,90,SI
CRUZ PROAÑO LUDOVICO ISRAEL,91,SI
CRUZ VACA JEANNINE DEL CISNE,92,SI
CUESTA ORELLANA MARÍA DE LOURDES,93,SI
