34,asambleista,curul,total ausente,voto
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,CALLE ANDRADE MARIA AUGUSTA,19.0,,AUSENTE
,CARRILLO BETTY,20.0,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,AUSENTE
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,MENDOZA DANIEL ISAAC,37.0,,AUSENTE
,JARAMILLO RODRIGUEZ VICTOR HUGO,43.0,,AUSENTE
,GUZMAN OCHOA LILIANA MAURA,45.0,,AUSENTE
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,AUSENTE
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,AUSENTE
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,AUSENTE
,QUINCHIGUANGO GISELA,66.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,AUSENTE
,VILLAO PANCHANA RAUL ELIAS,81.0,,AUSENTE
,ACACHO GONZALEZ PEPE LUIS,83.0,,AUSENTE
,DIAZ COKA MARIA GABRIELA,88.0,,AUSENTE
,GUALAN JAPA MILTON RODRIGO,90.0,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,AUSENTE
,UMAGINGA GUAMAN CESAR,92.0,,AUSENTE
,TIBAN GUALA LOURDES LICENIA,93.0,,AUSENTE
,MOREIRA MACIAS GRACE HOLANDA,105.0,,AUSENTE
,POSSO SALGADO LUIS ANTONIO,113.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,AUSENTE
,SALGADO RIVADENEIRA DIEGO,118.0,,AUSENTE
,CHICA PAVEL,119.0,,AUSENTE
,VITERI GUALINGA CARLOS ELOY,123.0,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136.0,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,ACERO LANCHIMBA ESTHELA LILIANA,2.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4.0,,SI
,AGUIRRE HIDALGO DORA ANDELA,5.0,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,SI
,TORRES CEDEÑO KERLLY ANABEL,7.0,,SI
,MUÑOZ VICUÑA MARIANGEL,8.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,SI
,ARREGUI RUEDA MARCIA CECILIA,12.0,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,14.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,SI
,QUIMBIULCO BEDON LORENA GABRIELA,18.0,,SI
,CARRION MARIA JOSE,21.0,,SI
,CAJAS LARA SUSANA VALERIA,22.0,,SI
,CASSINELLI CALI JUAN CARLOS,23.0,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,DELGADO GUTIERREZ ALEXANDRA ISABEL,27.0,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,SI
,CUESTA RIOS LIUBA ELISA,29.0,,SI
,MACAS JOSE LUIS,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36.0,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,SI
,GODOY ANDRADE GINA JAKELINE,39.0,,SI
,GONZALEZ SERRANO MIRYAM CATARINA,40.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,SI
,TORRES PINEDA CLINTON ELIUD,44.0,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
,SILVA MALDONADO SOFIA IRENE,50.0,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,52.0,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MELO GARZON ESTEBAN ANDRES,56.0,,SI
,ALVARADO CARRION ROSANA,59.0,,SI
,OCLES PADILLA ALEXANDRA,60.0,,SI
,PABON CARANQUI PAOLA VERENICE,61.0,,SI
,PADRON SAETEROS GLADYS PAULINA,62.0,,SI
,PATIÑO AROCA RAUL LEONARDO,63.0,,SI
,PEÑA CARRASCO DIANA LUCIA,64.0,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,SI
,PONCE LEON XIMENA MERCEDES,67.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,,SI
,FARFAN APONTE RICHARD WILSON,69.0,,SI
,RIVERA LOPEZ JOSE GABRIEL,70.0,,SI
,RIVERO DOGUER ANGEL ARMANDO,71.0,,SI
,REINOSO LESCANO MARIA ELIZABETH,73.0,,SI
,AGUILAR TORRES MANUEL RAMIRO,74.0,,SI
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,SI
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,SI
,SUBIA BARREIRO BOLIVAR STALIN,78.0,,SI
,ANDRADE SOLORZANO LUIS ALBERTO,79.0,,SI
,LANDAZURI CORDOVA SANDRA SUSANA,82.0,,SI
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,SI
,MOYA DUQUE HERMAN ANIBAL,85.0,,SI
,SERRANO REYES NELSON ALCIDES,86.0,,SI
,SOLANO MORENO ALEX FABIAN,87.0,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94.0,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96.0,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97,,SI
,INTRIAGO MACIAS CARMEN ELENA,98,,SI
,VELA CHERONI MARIA SOLEDAD,106,,SI
,ARGUELLO TROYA BLANCA AZUCENA,107,,SI
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,SI
,VELIZ BRIONES JOSE FELIX,109,,SI
,VERDUGA CEDEÑO MARY,110,,SI
,VICUÑA MUÑOZ MARIA ALEJANDRA,111,,SI
,VILEMA FREIRE ANGEL RAMIRO,112,,SI
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,,SI
,VINTIMILLA JARRIN DIEGO ARMANDO,122,,SI
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,126,,SI
,SERRANO SEGURA GRACE MARISOL,128,,SI
,CASTRO AJILA GLADYS LUCIA,80,,NO
,FIERRO OVIEDO PACO,89,,NO
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,NO
,GUTIERREZ BORBUA FAUSTO GILMAR,100,,NO
,AUQUILLA ORTEGA RAUL VICENTE,101,,NO
,CHICAIZA TOAPANTA WILSON ALFONSO,102,,NO
,DONOSO CHIRIBOGA PATRICIO,103,,NO
,MONCAYO CEVALLOS JOSE RICARDO,104,,NO
,MONTAÑO VALENCIA MAE,115,,NO
,MORETA PANCHEZ MIGUEL ANGEL,116,,NO
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,NO
,TORRES TORRES LUIS FERNANDO,120,,NO
,URIBE LOPEZ FANNY ESTHER,129,,NO
,TAPIA LOMBEYDA LUIS FERNANDO,130,,NO
,CUCALON CAMACHO HENRY EDUARDO,131,,NO
,REYES HIDALGO CRISTINA EUGENIA,132,,NO
,TACLE GALARRAGA MOISES FERNANDO,133,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,134,,NO
,YELA BURGOS DAYSE INES,135,,NO
