curul,asambleista,voto
18,CARRIÓN CEVALLOS MARÍA JOSÉ,AUSENTE
22,SARZOSA MONTENEGRO JOHANNA MARCELA,AUSENTE
26,CUESTA SANTANA ESTHER ADELINA,AUSENTE
41,MELO GARZÓN ESTEBAN ANDRÉS,AUSENTE
91,CRUZ PROAÑO LUDOVICO ISRAEL,AUSENTE
100,CURICHUMBI YUPANQUI PEDRO,AUSENTE
107,CANDELL SOTO JAIME ENRIQUE JIMMY,AUSENTE
122,CUESTA CONCARI MARÍA MERCEDES,AUSENTE
7,ARTEAGA MUÑOZ KARINA CECILIA,SI
12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI
13,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI
19,TERÁN SARZOSA SEGUNDO FAUSTO,SI
20,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI
21,GREFA AVILEZ FLAVIO PATRICIO,SI
24,COROZO AYOVÍ JORGE WILBER,SI
25,CUESTA RÍOS LIUBA ELISA,SI
27,DOUMET CHEDRAUI MICHEL ANDRÉS,SI
31,GARCÍA MARTÍNEZ INGRID VANESSA,SI
34,GARZÓN RICAURTE WILLIAM ANTONIO,SI
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI
38,LITARDO CAICEDO CÉSAR ERNESTO,SI
40,MARÍN AGUIRRE ANA BELÉN,SI
42,COLAMARCO VERA PINUCCIA MAGALY,SI
45,OCHOA MORANTE MANUEL ALFREDO,SI
46,ORELLANA ROMÁN ROSA GINA,SI
48,PEÑA PACHECO XIMENA DEL ROCÍO,SI
49,PLAZA CASTILLO LENIN,SI
52,QUIJIJE DELGADO LUIS RAFAEL,SI
53,QUIÑONEZ OCAMPO JULIO CÉSAR,SI
56,SALAZAR CEDEÑO GUADALUPE DOLORES,SI
59,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,SI
65,VERA RODRÍGUEZ CARLOS ALFREDO,SI
74,ASTUDILLO LOOR LINA GLORIA,SI
75,BURBANO MONTENEGRO FÉLIX FERNANDO,SI
76,ZAMBRANO CASTRO NORALMA ELIZABETH,SI
80,CALLEJAS BARONA FERNANDO,SI
