35,asambleista,curul,total no,voto
,SERRANO SALGADO JOSÉ RICARDO,3.0,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14.0,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,AUSENTE
,ESPÍN REYES EUGENIA SOFÍA,29.0,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,YUNDA MACHADO JORGE HOMERO,69.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,AUSENTE
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,AUSENTE
,CORONEL PÁEZ OSWALDO MARCELO,83.0,,AUSENTE
,VEGAY JIPA LUZ AIDA,84.0,,AUSENTE
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,AUSENTE
,CADENA HUERTAS FRANCISCO JAVIER,95.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,AUSENTE
,TERÁN SALCEDO RAMÓN FORTUNATO,112.0,,AUSENTE
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,AUSENTE
,SALTOS MOREIRA DIANA GABRIELA,115.0,,AUSENTE
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,AUSENTE
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,AUSENTE
,PAREDES TORRES WASHINGTON ARTURO,131.0,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,SI
,BONILLA SALCEDO VIVIANA,10.0,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,SI
,CALLE VERZOZI HERMUY,15.0,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,SI
,CUESTA SANTANA ESTHER ADELINA,26.0,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,SI
,GARCÍA POZO DIEGO OSWALDO,33.0,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,SI
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,SI
,RODRÍGUEZ ZAMBRANO DIANE MARIE,65.0,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,SI
,VITERI GUALINGA CARLOS ELOY,67.0,,SI
,ASTUDILLO LOOR LINA GLORIA,74.0,,SI
,CALLEJAS BARONA FERNANDO,80.0,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,SI
