curul,asambleista,voto
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,AUSENTE
37,MENDOZA DANIEL ISAAC,AUSENTE
71,RIVERO DOGUER ANGEL ARMANDO,AUSENTE
81,MATIAS APOLINARIO RITA AZUCENA,AUSENTE
84,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,AUSENTE
91,ORELLANA MARQUINEZ MAGALI MARGOT,AUSENTE
93,TIBAN GUALA LOURDES LICENIA,AUSENTE
100,GUTIERREZ BORBUA FAUSTO GILMAR,AUSENTE
109,VELEZ MARLENE MARGARITA,AUSENTE
117,PAEZ BENALCAZAR ANDRES TARQUINO,AUSENTE
120,TORRES TORRES LUIS FERNANDO,AUSENTE
128,ZAPATA MANTILLA JOSE LEONIDAS,AUSENTE
1,ABAD VELEZ RAUL,SI
2,ACERO LANCHIMBA ESTHELA LILIANA,SI
3,AGUILAR PLACIDO ARMANDO,SI
4,HAGO CELI FRANCISCO WAIKING,SI
5,AGUIRRE HIDALGO DORA ANDELA,SI
6,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,SI
8,MUÑOZ VICUÑA MARIANGEL,SI
9,ANDINO REINOSO MAURO EDMUNDO,SI
10,VITERI LOPEZ CHRISTIAN HUMBERTO,SI
11,ARIAS RAMIREZ ALBERTO JESUS,SI
12,ARREGUI RUEDA MARCIA CECILIA,SI
13,BENAVIDES ZAMBRANO ZOILA TERESA,SI
14,BERGMANN REYNA CARLOS ALBERTO,SI
15,BORJA PEREZ GALO,SI
16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI
18,CALDERON SALTOS RICHARD OSWALDO,SI
19,CALLE ANDRADE MARIA AUGUSTA,SI
20,CARRILLO BETTY,SI
21,ANRRANGO ZAMBRANO GERARDO ELIAS,SI
22,CARVAJAL AGUIRRE MIGUEL ANGEL,SI
23,CASSINELLI CALI JUAN CARLOS,SI
24,CAYAMBE TIPAN FAUSTO HERIBERTO,SI
25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI
26,CHAVEZ CANALES HOLGER EZEQUIEL,SI
27,CHICA AREVALO VINICIO VETHOWEN,SI
28,CORDOVA ENCALADA EDGAR EDUARDO,SI
29,CUESTA RIOS LIUBA ELISA,SI
30,DE LA CRUZ BERNARDO HERMAN ULISES,SI
31,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI
32,DELGADO CHALA AGUSTIN JAVIER,SI
33,FAJARDO MOSQUERA LETTY VANESSA,SI
34,FALCONI LOQUI EVELYN PAMELA,SI
35,GAGLIARDO LOOR GASTON,SI
36,DE LA TORRE RAMIREZ PABLO ANTONIO,SI
38,GARZON RICAURTE WILLIAM ANTONIO,SI
39,GODOY ANDRADE GINA JAKELINE,SI
40,GONZALEZ SERRANO MIRYAM CATARINA,SI
41,GUAMAN CASTRO ALEX FRANCISCO,SI
42,GUAMANGATE ANTE LUIS GILBERTO,SI
43,GUDIÑO MENA ZOBEIDA GUISELA,SI
44,GUEVARA VILLACRES VERONICA MARGARITA,SI
45,GUZMAN OCHOA LILIANA MAURA,SI
46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI
47,MOSQUERA YANEZ ISABEL PIEDAD,SI
48,ISSA WAGNER NICOLAS JOSE,SI
49,JEREZ PILLA BETTY MARICELA,SI
50,SILVA MALDONADO SOFIA IRENE,SI
51,BAZURTO ROLDAN NANCIS CELESTE,SI
52,BUENDIA HERDOIZA MARIA SOLEDAD,SI
54,LEDESMA ZAMORA OSCAR ALFONSO,SI
55,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
56,MELO GARZON ESTEBAN ANDRES,SI
57,TOBAR NUÑEZ RAUL IGNACIO,SI
58,MUÑOZ AVENDAÑO ROSA ELVIRA,SI
59,ALVARADO CARRION ROSANA,SI
60,OCLES PADILLA ALEXANDRA,SI
61,CAZA TIPANTA HUGO RENE,SI
62,PADRON SAETEROS GLADYS PAULINA,SI
63,BRITO MENDOZA MONICA CRISTINA,SI
64,PEÑA CARRASCO DIANA LUCIA,SI
65,ASTUDILLO BANEGAS HERNAN VINICIO,SI
66,PEÑAFIEL MONTESDEOCA JUANA MARISOL,SI
67,CAMPOVERDE CALVA SEGUNDO MODESTO,SI
68,PROAÑO CIFUENTES ROBERTH MAURICIO,SI
69,FARFAN APONTE RICHARD WILSON,SI
70,RIVERA LOPEZ JOSE GABRIEL,SI
72,GOMEZ IRMA,SI
73,REINOSO LESCANO MARIA ELIZABETH,SI
75,ARIAS FERNANDEZ VERONICA ELIZABETH,SI
76,MORAN AMALIA,SI
77,SAENZ DE VITERI LAUTARO ENRIQUE,SI
78,SALAZAR CEDEÑO GUADALUPE DOLORES,SI
79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,SI
85,MOYA DUQUE HERMAN ANIBAL,SI
86,ALEMAN MARMOL MONICA ROCIO,SI
87,DAHIK ASTUDILLO REYTA GIOMAR,SI
94,TERAN SARZOSA SEGUNDO FAUSTO,SI
95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,SI
96,VALLE PINARGOTE BAIRON LEONARDO,SI
97,COLLAGUAZO RODRIGO,SI
98,VELA CAIZAPANTA ANGEL RAMIRO,SI
106,SOLORZANO MANUEL ANTONIO,SI
107,ARGUELLO TROYA BLANCA AZUCENA,SI
108,VELASCO ENRIQUEZ CARLOS ALBERTO,SI
110,OCHOA MORANTE MANUEL ALFREDO,SI
111,VICUÑA MUÑOZ MARIA ALEJANDRA,SI
121,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,SI
122,VINTIMILLA JARRIN DIEGO ARMANDO,SI
123,VITERI GUALINGA CARLOS ELOY,SI
124,ZAMBRANO ARTEAGA JOSE RICARDO,SI
125,ZAMBRANO CABANILLA EDUARDO ALFONSO,SI
126,ZAMBRANO CASTRO NORALMA ELIZABETH,SI
127,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI
17,BUSTAMANTE PONCE FERNANDO XAVIER,NO
53,LARRIVA ALVARADO OSCAR OSWALDO,NO
74,AGUILAR TORRES MANUEL RAMIRO,NO
80,BUSTOS CHILIQUINGA ARCADIO,NO
82,YANDUN POZO CASTULO RENE,NO
83,ACACHO GONZALEZ PEPE LUIS,NO
88,DIAZ COKA MARIA GABRIELA,NO
89,FIERRO OVIEDO PACO,NO
90,GUALAN JAPA MILTON RODRIGO,NO
92,UMAJINGA GUAMAN CESAR,NO
99,PACHECO ORDOÑEZ BAYRON EDUARDO,NO
101,AUQUILLA ORTEGA RAUL VICENTE,NO
102,CHICAIZA TOAPANTA WILSON ALFONSO,NO
103,DONOSO CHIRIBOGA PATRICIO,NO
104,MONCAYO CEVALLOS JOSE RICARDO,NO
112,VILEMA FREIRE ANGEL RAMIRO,NO
113,POSSO SALGADO LUIS ANTONIO,NO
114,SOLORZANO SARRIA CESAR FAUSTO,NO
115,MONTAÑO VALENCIA MAE,NO
116,MORETA PANCHEZ MIGUEL ANGEL,NO
118,SALGADO RIVADENEIRA DIEGO,NO
129,URIBE LOPEZ FANNY ESTHER,NO
130,TAPIA LOMBEYDA LUIS FERNANDO,NO
131,CUCALON CAMACHO HENRY EDUARDO,NO
132,REYES HIDALGO CRISTINA EUGENIA,NO
133,TACLE GALARRAGA MOISES FERNANDO,NO
134,ROMERO LOAYZA FRANCO SEGUNDO,NO
135,TERAN SALCEDO RAMON FORTUNATO,NO
136,VITERI JIMENEZ CYNTHIA,NO
105,MOREIRA MACIAS GRACE HOLANDA,ABSTENCION
