35,asambleista,curul,total no,voto
,CUESTA SANTANA ESTHER ADELINA,26,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,AUSENTE
,MALDONADO VERA MABEL MARCELA,63,,AUSENTE
,VERA FLORES WENDY VANESSA,64,,AUSENTE
,CELI SANTOS GUILLERMO ALEJANDRO,90,,AUSENTE
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,AUSENTE
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,AUSENTE
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9,,ABSTENCION
,BONILLA SALCEDO VIVIANA,10,,ABSTENCION
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,ABSTENCION
,AUQUILLA ORTEGA RAÚL VICENTE,73,,ABSTENCION
,CUCALÓN CAMACHO HENRY EDUARDO,78,,ABSTENCION
,INTRIAGO ZAMBRANO FAUSTO PATRICIO,79,,ABSTENCION
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,ABSTENCION
,OLLAGUE VALAREZO ZOILA PIEDAD,88,,ABSTENCION
,CADENA HUERTAS FRANCISCO JAVIER,95,,ABSTENCION
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,,ABSTENCION
,CALDERÓN CHANCAY DORIS DAISY,98,,ABSTENCION
,REYES HIDALGO CRISTINA EUGENIA,99,,ABSTENCION
,ZAMBRANO VERA MARIANO,106,,ABSTENCION
,ROHON HERVAS CÉSAR EDUARDO,110,,ABSTENCION
,LOOR ZAMBRANO QUINCHE CONSUELO,111,,ABSTENCION
,TERÁN SALCEDO RAMÓN FORTUNATO,112,,ABSTENCION
,TORRES COBO LUIS ESTEBAN,113,,ABSTENCION
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,ABSTENCION
,SALTOS MOREIRA DIANA GABRIELA,115,,ABSTENCION
,MONTAÑO VALENCIA MAE,117,,ABSTENCION
,MORENO GUERRERO HENRY FREDY,118,,ABSTENCION
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,ABSTENCION
,PUANCHIR PAYASHÑA TITO PEDRO,124,,ABSTENCION
,ALARCÓN GUILLÍN FREDY OSCAR,125,,ABSTENCION
,ALMEYDA JALIL VICENTE FERNANDO,127,,ABSTENCION
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,ABSTENCION
,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,ABSTENCION
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,ABSTENCION
,ROMERO LOAYZA FRANCO SEGUNDO,132,,ABSTENCION
,VERA MENDOZA TANLLY JANELA,135,,ABSTENCION
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,ABSTENCION
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,NO
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,NO
,SERRANO SALGADO JOSÉ RICARDO,3,,NO
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,NO
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,NO
,CADENA VÉLEZ KARLA GABRIELA,14,,NO
,CALLE VERZOZI HERMUY,15,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,NO
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,NO
,DURÁN AGUILAR LILIANA ELIZABETH,28,,NO
,ALEAGA SANTOS RONNY XAVIER,29,,NO
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,NO
,GARCÍA GAIBOR CARMEN MERCEDES,32,,NO
,GARCÍA POZO DIEGO OSWALDO,33,,NO
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,NO
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,NO
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,NO
,MELO GARZÓN ESTEBAN ANDRÉS,41,,NO
,PAREDES BENAVIDES LIDIA VICTORIA,43,,NO
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,NO
,POMA HERRERA YOFRE MARTÍN,50,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,NO
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,NO
,SALGADO ANDRADE SILVIA BETZABETH,57,,NO
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,NO
,ALEMÁN MARMOL MÓNICA ROCÍO,60,,NO
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,NO
