voto,curul,asambleista
AUSENTE,1,ABAD VELEZ RAUL
AUSENTE,8,MUÑOZ VICUÑA MARIANGEL
AUSENTE,12,ARREGUI RUEDA MARCIA CECILIA
AUSENTE,13,BENAVIDES ZAMBRANO ZOILA TERESA
AUSENTE,14,BERGMANN REYNA CARLOS ALBERTO
AUSENTE,16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
AUSENTE,22,CARVAJAL AGUIRRE MIGUEL ANGEL
AUSENTE,30,DE LA CRUZ BERNARDO HERMAN ULISES
AUSENTE,45,RODAS MARCA CARLOS EDUARDO
AUSENTE,48,ISSA WAGNER NICOLAS JOSE
AUSENTE,54,LEDESMA ZAMORA OSCAR ALFONSO
AUSENTE,58,MUÑOZ AVENDAÑO ROSA ELVIRA
AUSENTE,59,CABRERA FAJARDO SEGUNDO CESAR
AUSENTE,66,PEÑAFIEL MONTESDEOCA JUANA MARISOL
AUSENTE,67,CAMPOVERDE CALVA SEGUNDO MODESTO
AUSENTE,74,AGUILAR TORRES MANUEL RAMIRO
AUSENTE,75,ARIAS FERNANDEZ VERONICA ELIZABETH
AUSENTE,83,ACACHO GONZALEZ PEPE LUIS
AUSENTE,90,QUEZADA CARRION ANDREA MARIBEL
AUSENTE,92,UMAJINGA GUAMAN CESAR
AUSENTE,97,VASCONEZ ARTEAGA ANNY MARLLELY
AUSENTE,108,CHAMORRO HIDALGO YOLANDA JOSEFINA
AUSENTE,110,VERDUGA CEDEÑO MARY
AUSENTE,113,POSSO SALGADO LUIS ANTONIO
AUSENTE,119,CHICA ARTEAGA GUNTARD PAVEL
AUSENTE,124,ZAMBRANO ARTEAGA JOSE RICARDO
AUSENTE,131,CUCALON CAMACHO HENRY EDUARDO
AUSENTE,136,SERRANO VALLADARES SAADIN ALFREDO
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
SI,2,ACERO LANCHIMBA ESTHELA LILIANA
SI,3,AGUILAR PLACIDO ARMANDO
SI,4,MACHUCA MOSCOSO LINDA MARICELA
SI,5,ORTIZ LARA LEONARDO
SI,6,ALBAN TORRES MARIANA DEL ROCIO
SI,7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO
SI,9,ANDINO REINOSO MAURO EDMUNDO
SI,10,VITERI LOPEZ CHRISTIAN HUMBERTO
SI,11,RIVAS ALAVA ELIANA LISSET
SI,15,BORJA PEREZ GALO
SI,17,PAREDES BENAVIDES LIDIA VICTORIA
SI,18,CALDERON SALTOS RICHARD OSWALDO
SI,19,CALLE ANDRADE MARIA AUGUSTA
SI,20,CARRILLO BETTY
SI,21,CARRION MARIA JOSE
SI,23,CASSINELLI CALI JUAN CARLOS
SI,24,CONSTANTE NIETO MARIANA DE LAS MERCEDES
SI,25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH
SI,26,CHAVEZ CANALES HOLGER EZEQUIEL
