34,asambleista,curul,total abstencion,voto
,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,AUSENTE
,BONILLA SALCEDO VIVIANA,10.0,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14.0,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31.0,,AUSENTE
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,AUSENTE
,MENDOZA ARÉVALO DANIEL ISAAC,42.0,,AUSENTE
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47.0,,AUSENTE
,PLAZA CASTILLO LENIN,49.0,,AUSENTE
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,ANDRADE MUÑOZ WILMA PIEDAD,71.0,,AUSENTE
,ASTUDILLO LOOR LINA GLORIA,74.0,,AUSENTE
,CALLEJAS BARONA FERNANDO,80.0,,AUSENTE
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97.0,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,99.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,AUSENTE
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110.0,,AUSENTE
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,AUSENTE
,MARÍN LAVAYEN DENNIS GUSTAVO,128.0,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,9.0,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,SI
,CALLE VERZOZI HERMUY,15.0,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,SI
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,SI
,CUESTA SANTANA ESTHER ADELINA,26.0,,SI
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,SI
,ALEAGA SANTOS RONNY XAVIER,29.0,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,SI
,GARCÍA POZO DIEGO OSWALDO,33.0,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,SI
,DELGADO ORELLANA SUSANA DEL CARMEN,39.0,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,SI
,POMA HERRERA YOFRE MARTÍN,50.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,SI
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59.0,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,SI
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,SI
,VELIN CORTÉS JUAN PABLO,63.0,,SI
,VERA FLORES WENDY VANESSA,64.0,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,SI
,VITERI GUALINGA CARLOS ELOY,67.0,,SI
,GUAMBA DÍAZ NANCY JEANNETH,69.0,,SI
,LOOR ALCÍVAR LEXI LIDUVINA,70.0,,SI
,ALMEIDA ALARCÓN KAREM MICHELLE,72.0,,SI
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,SI
,AZUERO RODAS ELISEO ALEXIS,77.0,,SI
,CUCALÓN CAMACHO HENRY EDUARDO,78.0,,SI
,INTRIAGO ZAMBRANO FAUSTO PATRICIO,79.0,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83.0,,SI
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85.0,,SI
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,SI
,OLLAGUE VALAREZO ZOILA PIEDAD,88.0,,SI
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,SI
,CELI SANTOS GUILLERMO ALEJANDRO,90.0,,SI
,CRUZ PROAÑO LUDOVICO ISRAEL,91.0,,SI
,CUESTA ORELLANA MARÍA DE LOURDES,93.0,,SI
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,SI
,CADENA HUERTAS FRANCISCO JAVIER,95.0,,SI
,PEÑA ONTANEDA ELIO GERMÁN,96.0,,SI
,CALDERÓN CHANCAY DORIS DAISY,98.0,,SI
,CURICHUMBI YUPANQUI PEDRO,100.0,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,SI
,CEDEÑO ZAMBRANO FELISITA MONCERRATE,106.0,,SI
,CANDELL SOTO JAIME ENRIQUE JIMMY,107.0,,SI
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108.0,,SI
,OLIVO PALLO JAIME FERNANDO,109.0,,SI
,POVEDA ALVARADO ERIKA SOPHIA,111.0,,SI
,NUÑEZ MANSSUR LUIS ANTONIO,112.0,,SI
,TORRES COBO LUIS ESTEBAN,113.0,,SI
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,SI
,SALTOS MOREIRA DIANA GABRIELA,115.0,,SI
,VERA CALDERÓN SILVIA LORENA,116.0,,SI
,MORENO GUERRERO HENRY FREDY,118.0,,SI
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119.0,,SI
,PACHALA POMA LUIS ALBERTO,120.0,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,SI
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,SI
,CALDERÓN JARAMILLO ALDRIN YUBER,127.0,,SI
