104,asambleista,curul,total si,voto
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,MOROCHO VELAÑA NANCY BEATRIZ,57,,AUSENTE
,SANANGO AUCACAMA LUIS LORENZO,62,,AUSENTE
,PEÑA CARRASCO DIANA LUCIA,64,,AUSENTE
,SANCHEZ MIÑO ALEXIS REYNALDO,73,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80,,AUSENTE
,CANALES PROAÑO ELVIRA MARCHIE,81,,AUSENTE
,SANMIGUEL PALACIOS GINA ZITA,85,,AUSENTE
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132,,AUSENTE
,OÑATE LOMBEIBA WIMPER BOLIVAR,136,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,ACERO LANCHIMBA ESTHELA LILIANA,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,HAGO CELI FRANCISCO WAIKING,4,,SI
,AGUIRRE HIDALGO DORA ANDELA,5,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,ALCIVAR MERA FELIX ANDRES,7,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,SI
,RIVAS ALAVA ELIANA LISSET,11,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,16,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CALLE ANDRADE MARIA AUGUSTA,19,,SI
,CARRILLO BETTY,20,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,CASSINELLI CALI JUAN CARLOS,23,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28,,SI
,CUESTA RIOS LIUBA ELISA,29,,SI
,POZO CASTILLO RITA DEL CARMEN,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,PIÑAN CAJAS MARIA ALEGRIA,32,,SI
,FALCONI LOQUI EVELYN PAMELA,34,,SI
,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36,,SI
,LARREA VITERI LIDICE VANESSA,37,,SI
,CALAZACON AGUAVIL MARIA ALBERTINA,38,,SI
,MACAS JOSE LUIS,39,,SI
,GONZALEZ SERRANO MIRYAM CATARINA,40,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42,,SI
,GUDIÑO MENA ZOBEIDA GUISELA,43,,SI
,TORRES PINEDA CLINTON ELIUD,44,,SI
,GUZMAN OCHOA LILIANA MAURA,45,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47,,SI
,ALMAN COROZO MARIA DEL CARMEN,48,,SI
,CARRILLO CRESPO HUGO FERNANDO,49,,SI
,SILVA MALDONADO SOFIA IRENE,50,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,52,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,SI
,MORENO CHIRIBOGA AMPARO DIANA,56,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,SI
,ALVARADO CARRION ROSANA,59,,SI
,OCLES PADILLA ALEXANDRA,60,,SI
,CAZA TIPANTA HUGO RENE,61,,SI
,BRITO MENDOZA MONICA CRISTINA,63,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65,,SI
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,,SI
,PONCE LEON XIMENA MERCEDES,67,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,SI
,FARFAN APONTE RICHARD WILSON,69,,SI
,RIVERA LOPEZ JOSE GABRIEL,70,,SI
,RIVERO DOGUER ANGEL ARMANDO,71,,SI
,MEDINA MERA VICTOR CLEMENTE,72,,SI
,CASTILLO VIVANCO JOSE BOLIVAR,75,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76,,SI
,SALAZAR CEDEÑO GUADALUPE DOLORES,78,,SI
,YANDUN POZO CASTULO RENE,82,,SI
,ACACHO GONZALEZ PEPE LUIS,83,,SI
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,,SI
,SERRRANO REYES NELSON ALCIDES,86,,SI
,SOLANO MORENO ALEX FABIAN,87,,SI
,LEDESMA ZAMORA DARWIN GERMAN,88,,SI
,FIERRO OVIEDO PACO,89,,SI
,YANZA MANUEL,91,,SI
,UMAGINGA GUAMAN CESAR,92,,SI
,TIBAN GUALA LOURDES LICENIA,93,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94,,SI
,MEJIA PLUAS NILDA CECIBEL,96,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97,,SI
,VELA CAIZAPANTA ANGEL RAMIRO,98,,SI
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,SI
,GUTIERREZ BORBUA FAUSTO GILMAR,100,,SI
,VELA CHERONI MARIA SOLEDAD,106,,SI
,ARGUELLO TROYA BLANCA AZUCENA,107,,SI
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,SI
,VELEZ MARLENE MARGARITA,109,,SI
,VERDUGA CEDEÑO MARY,110,,SI
,JONIAUX BLUM ENRIQUE ALEJANDRO,111,,SI
,VILEMA FREIRE ANGEL RAMIRO,112,,SI
,POSSO SALGADO LUIS ANTONIO,113,,SI
,SOLORZANO SARRIA CESAR FAUSTO,114,,SI
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,,SI
,PONCE RUBIO ELVIA AZUCENA,122,,SI
,COELLO JARAMILLO DIANA ANGELINA,123,,SI
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,SI
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,126,,SI
,OBANDO MORALES SANTA FELICITA,127,,SI
,SERRANO SEGURA GRACE MARISOL,128,,SI
,URIBE LOPEZ FANNY ESTHER,129,,SI
,TAPIA LOMBEYDA LUIS FERNANDO,130,,SI
,AGUILAR TORRES MANUEL RAMIRO,74,,NO
,CHICAIZA TOAPANTA WILSON ALFONSO,102,,NO
,DONOSO CHIRIBOGA PATRICIO,103,,NO
,MONCAYO CEVALLOS JOSE RICARDO,104,,NO
,MONTAÑO VALENCIA MAE,115,,NO
,MORETA PANCHEZ MIGUEL ANGEL,116,,NO
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,NO
,SALGADO RIVADENEIRA DIEGO,118,,NO
,CUCALON CAMACHO HENRY EDUARDO,131,,NO
,TACLE GALARRAGA MOISES FERNANDO,133,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,134,,NO
,TERAN SALCEDO JONNY ENRIQUE,135,,NO
,KRONFLE GOMEZ MARIA CRISTINA,137,,NO
,JIMENEZ CABRERA JOSE CLEVER,90,,ABSTENCION
,AUQUILLA ORTEGA RAUL VICENTE,101,,ABSTENCION
,TENELEMA ROMERO EDMUNDO RAMIRO,119,,ABSTENCION
,TORRES TORRES LUIS FERNANDO,120,,ABSTENCION
