voto,curul,asambleista
AUSENTE,11,RIVAS ALAVA ELIANA LISSET
AUSENTE,29,CUESTA RIOS LIUBA ELISA
AUSENTE,32,DELGADO CHALA AGUSTIN JAVIER
AUSENTE,33,FAJARDO MOSQUERA LETTY VANESSA
AUSENTE,37,MENDOZA DANIEL ISAAC
AUSENTE,47,MOSQUERA YANEZ ISABEL PIEDAD
AUSENTE,48,ISSA WAGNER NICOLAS JOSE
AUSENTE,60,AGUALSACA GUAMAN JOSE CLEMENTE
AUSENTE,63,MACAS JOSE LUIS
AUSENTE,72,MEDINA MERA VICTOR CLEMENTE
AUSENTE,77,SAENZ DE VITERI LAUTARO ENRIQUE
AUSENTE,84,VACA COJITAMBO ELENA ANA DEL ROCIO
AUSENTE,87,DAHIK ASTUDILLO REYTA GIOMAR
AUSENTE,89,FIERRO OVIEDO PACO
AUSENTE,93,TIBAN GUALA LOURDES LICENIA
AUSENTE,100,ALBAN GALLO MARINA ELIZABETH
AUSENTE,104,MONCAYO CEVALLOS JOSE RICARDO
AUSENTE,105,MOREIRA MACIAS GRACE HOLANDA
AUSENTE,109,VELIZ BRIONES JOSE FELIX
AUSENTE,112,VILEMA FREIRE ANGEL RAMIRO
AUSENTE,119,MEDINA TAMBACO EMILY JESUS
AUSENTE,122,PONCE RUBIO ELVIA AZUCENA
AUSENTE,126,ZAMBRANO CASTRO NORALMA ELIZABETH
AUSENTE,129,URIBE LOPEZ FANNY ESTHER
AUSENTE,132,MUENTES ALVARADO PABLO ANDRES
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
ABSTENCION,78,SUBIA BARREIRO BOLIVAR STALIN
ABSTENCION,79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ
ABSTENCION,88,DIAZ COKA MARIA GABRIELA
ABSTENCION,99,PACHECO ORDOÑEZ BAYRON EDUARDO
ABSTENCION,113,POSSO SALGADO LUIS ANTONIO
ABSTENCION,114,SOLORZANO SARRIA CESAR FAUSTO
ABSTENCION,115,MONTAÑO VALENCIA MAE
ABSTENCION,116,MORETA PANCHEZ MIGUEL ANGEL
ABSTENCION,118,SALGADO RIVADENEIRA DIEGO
ABSTENCION,130,TAPIA LOMBEYDA LUIS FERNANDO
ABSTENCION,131,POVEDA SALTOS YENNY MARIA
ABSTENCION,133,TACLE GALARRAGA MOISES FERNANDO
ABSTENCION,134,ROMERO LOAYZA FRANCO SEGUNDO
SI,1,ABAD VELEZ RAUL
SI,2,ACERO LANCHIMBA ESTHELA LILIANA
SI,3,AGUILAR PLACIDO ARMANDO
SI,4,HAGO CELI FRANCISCO WAIKING
SI,5,AGUIRRE HIDALGO DORA ANADELA
SI,6,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO
SI,7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO
SI,8,MUÑOZ VICUÑA MARIANGEL
SI,9,ANDINO REINOSO MAURO EDMUNDO
SI,10,VITERI LOPEZ CHRISTIAN HUMBERTO
