asambleista,curul,voto
ARIAS RAMIREZ ALBERTO JESUS,11,AUSENTE
BERGMANN REYNA CARLOS ALBERTO,14,AUSENTE
PABON CARANQUI PAOLA VERENICE,61,AUSENTE
PONCE LEON XIMENA MERCEDES,67,AUSENTE
SANCHEZ MIÑO ALEXIS REYNALDO,73,AUSENTE
CASTILLO VIVANCO JOSE BOLIVAR,75,AUSENTE
MOYA DUQUE HERMAN ANIBAL,85,AUSENTE
VILEMA FREIRE ANGEL RAMIRO,112,AUSENTE
REYES HIDALGO CRISTINA EUGENIA,132,AUSENTE
KRONFLE GOMEZ MARIA CRISTINA,137,AUSENTE
ABAD VELEZ RAUL,1,SI
ACERO LANCHIMBA ESTHELA LILIANA,2,SI
AGUILAR PLACIDO ARMANDO,3,SI
MACHUCA MOSCOSO LINDA MARICELA,4,SI
ORTIZ LARA LEONARDO,5,SI
QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6,SI
ALCIVAR MERA FELIX ANDRES,7,SI
MUÑOZ VICUÑA MARIANGEL,8,SI
ANDINO REINOSO MAURO EDMUNDO,9,SI
ARCE PLUAS ALEXANDRA MANUELA,10,SI
ARREGUI RUEDA MARCIA CECILIA,12,SI
BENAVIDES ZAMBRANO ZOILA TERESA,13,SI
BORJA PEREZ GALO,15,SI
BUENDIA HERDOIZA MARIA SOLEDAD,16,SI
BUSTAMANTE PONCE FERNANDO XAVIER,17,SI
CALDERON SALTOS RICHARD OSWALDO,18,SI
CALLE ANDRADE MARIA AUGUSTA,19,SI
CARRILLO BETTY,20,SI
CARRION MARIA JOSE,21,SI
CARVAJAL AGUIRRE MIGUEL ANGEL,22,SI
CASSINELLI CALI JUAN CARLOS,23,SI
CONSTANTE NIETO MARIANA DE LAS MERCEDES,24,SI
CHAVEZ CANALES HOLGER EZEQUIEL,26,SI
CHICA AREVALO VINICIO VETHOWEN,27,SI
CORDOVA ENCALADA EDGAR EDUARDO,28,SI
CUESTA RIOS LIUBA ELISA,29,SI
DE LA CRUZ BERNARDO HERMAN ULISES,30,SI
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,SI
DELGADO CHALA AGUSTIN JAVIER,32,SI
FAJARDO MOSQUERA LETTY VANESSA,33,SI
FALCONI LOQUI EVELYN PAMELA,34,SI
GAGLIARDO LOOR GASTON,35,SI
GALVAN GRACIA MARIA ESPERANZA,36,SI
LARREA VITERI LIDICE VANESSA,37,SI
GARZON RECAURTE WILLIAM ANTONIO,38,SI
GODOY ANDRADE GINA JAKELINE,39,SI
GONZALEZ SERRANO MIRYAM CATARINA,40,SI
GUAMAN CASTRO ALEX FRANCISCO,41,SI
BOMBON LOPEZ BLANCA CECILIA,42,SI
GUDIÑO MENA ZOBEIDA GUISELA,43,SI
