35,asambleista,curul,total no,voto
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14.0,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18.0,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40.0,,AUSENTE
,COLAMARCO VERA PINUCCIA MAGALY,42.0,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,AUSENTE
,SÁNCHEZ REYES MONTGOMERY,59.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,YUNDA MACHADO JORGE HOMERO,69.0,,AUSENTE
,LOOR ALCÍVAR LEXI LIDUVINA,70.0,,AUSENTE
,AZUERO RODAS ELISEO ALEXIS,77.0,,AUSENTE
,VEGAY JIPA LUZ AIDA,84.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,AUSENTE
,SALTOS MOREIRA DIANA GABRIELA,115.0,,AUSENTE
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,AUSENTE
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137.0,,AUSENTE
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,SI
,CALLE VERZOZI HERMUY,15.0,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,SI
,CUESTA SANTANA ESTHER ADELINA,26.0,,SI
,ESPÍN REYES EUGENIA SOFÍA,29.0,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,SI
,GARCÍA POZO DIEGO OSWALDO,33.0,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,SI
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,SI
,VERA FLORES WENDY VANESSA,64.0,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,SI
,VITERI GUALINGA CARLOS ELOY,67.0,,SI
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,SI
,CURICHUMBI YUPANQUI PEDRO,100.0,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,SI
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,NO
,CEVALLOS GUEVARA LESLIE MARCELA,3.0,,NO
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,NO
,ARREGUI RUEDA MARCIA CECILIA,6.0,,NO
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,NO
,MORENO INTRIAGO MARIA LUISA,9.0,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,NO
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,NO
,VALLEJO JARAMILLO NORMA MARLENE,19.0,,NO
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,NO
,COROZO AYOVÍ JORGE WILBER,24.0,,NO
,DOUMET CHEDRAUI MICHEL ANDRÉS,27.0,,NO
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,NO
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,NO
,OCHOA MORANTE MANUEL ALFREDO,45.0,,NO
,ORELLANA ROMÁN ROSA GINA,46.0,,NO
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47.0,,NO
,PEÑA PACHECO XIMENA DEL ROCÍO,48.0,,NO
,PLAZA CASTILLO LENIN,49.0,,NO
,POMA HERRERA YOFRE MARTÍN,50.0,,NO
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,NO
,QUIÑONEZ OCAMPO JULIO CÉSAR,53.0,,NO
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,NO
,VERA RODRÍGUEZ CARLOS ALFREDO,65.0,,NO
,ASTUDILLO LOOR LINA GLORIA,74.0,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,NO
,YANDÚN POZO CÁSTULO RENÉ,86.0,,NO
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,NO
,TAIANO BASANTE VICENTE GIOVANNY,111.0,,NO
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,NO
,CUESTA CONCARI MARÍA MERCEDES,122.0,,NO
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,NO
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,NO
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,NO
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,ABSTENCION
,BONILLA SALCEDO VIVIANA,10.0,,ABSTENCION
,TENORIO VALENCIA CALLETANO,20.0,,ABSTENCION
,CERDA MIRANDA GABRIELA PAMELA,21.0,,ABSTENCION
,CUESTA RÍOS LIUBA ELISA,25.0,,ABSTENCION
,FLOR GIL BRENDA AZUCENA,31.0,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,ABSTENCION
,VELIN CORTÉS JUAN PABLO,63.0,,ABSTENCION
,ANDRADE MUÑOZ WILMA PIEDAD,71.0,,ABSTENCION
,ASÁN WONSANG JOSÉ FRANCISCO,72.0,,ABSTENCION
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,ABSTENCION
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,ABSTENCION
,CUCALÓN CAMACHO HENRY EDUARDO,78.0,,ABSTENCION
,SERRANO VITERI MERCEDES MARITZA,79.0,,ABSTENCION
,CALLEJAS BARONA FERNANDO,80.0,,ABSTENCION
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,ABSTENCION
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,ABSTENCION
,CORONEL PÁEZ OSWALDO MARCELO,83.0,,ABSTENCION
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85.0,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,ABSTENCION
,KRONFLE KOZHAYA HENRY FABIÁN,88.0,,ABSTENCION
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,ABSTENCION
,CELI SANTOS GUILLERMO ALEJANDRO,90.0,,ABSTENCION
,YUNGA NAULA SEGUNDO JULIÁN,91.0,,ABSTENCION
,CRUZ VACA JEANNINE DEL CISNE,92.0,,ABSTENCION
