34,asambleista,curul,total ausente,voto
,ANDINO REINOSO MAURO EDMUNDO,9,,AUSENTE
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,GAGLIARDO LOOR GASTON,35,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43,,AUSENTE
,MOSQUERA YANEZ ISABEL PIEDAD,47,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48,,AUSENTE
,LOOR CEVALLOS JORGE SEBASTIAN,55,,AUSENTE
,FARFAN APONTE RICHARD WILSON,69,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72,,AUSENTE
,REINOSO LESCANO MARIA ELIZABETH,73,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,SUBIA BARREIRO BOLIVAR STALIN,78,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,AUSENTE
,VILLAO PANCHANA RAUL ELIAS,81,,AUSENTE
,ACACHO GONZALEZ PEPE LUIS,83,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,AUSENTE
,AUQUILLA ORTEGA RAUL VICENTE,101,,AUSENTE
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,AUSENTE
,VELIZ BRIONES JOSE FELIX,109,,AUSENTE
,ANDINO ROBALINO ANGELICA MARIA,112,,AUSENTE
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,AUSENTE
,TENELEMA ROMERO EDMUNDO RAMIRO,119,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,ZAPATA MANTILLA JOSE LEONIDAS,128,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132,,AUSENTE
,TACLE GALARRAGA MOISES FERNANDO,133,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,MORALES POZO LENIN ALBERTO,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4,,SI
,AGUIRRE HIDALGO DORA ANDELA,5,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,TORRES CEDEÑO KERLLY ANABEL,7,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,VILLAMAR CASAL JOSE LEONIDAS,12,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CALLE ANDRADE MARIA AUGUSTA,19,,SI
,CARRILLO BETTY,20,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,CASSINELLI CALI JUAN CARLOS,23,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,DAVILA RAMIREZ BELGICA ELIZABETH,28,,SI
,CUESTA RIOS LIUBA ELISA,29,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,DELGADO CHALA AGUSTIN JAVIER,32,,SI
,FALCONI LOQUI EVELYN PAMELA,34,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36,,SI
,MENDOZA DANIEL ISAAC,37,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38,,SI
,GODOY ANDRADE GINA JAKELINE,39,,SI
,GRANDA NIXON ARLIG,40,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44,,SI
,GUZMAN OCHOA LILIANA MAURA,45,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,,SI
,CARRILLO CRESPO HUGO FERNANDO,49,,SI
,SILVA MALDONADO SOFIA IRENE,50,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51,,SI
,REYES MACHUCA EFREN RODRIGO,52,,SI
,JAIGUA ALVARADO CELIA MARIA,53,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54,,SI
,MELO GARZON ESTEBAN ANDRES,56,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58,,SI
,ALVARADO CARRION ROSANA,59,,SI
,OCLES PADILLA ALEXANDRA,60,,SI
,PABON CARANQUI PAOLA VERENICE,61,,SI
,PADRON SAETEROS GLADYS PAULINA,62,,SI
,PATIÑO AROCA RAUL LEONARDO,63,,SI
,TORRES LARA JOSE EDUARDO,64,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65,,SI
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66,,SI
,PONCE LEON XIMENA MERCEDES,67,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,SI
,RIVERA LOPEZ JOSE GABRIEL,70,,SI
,RIVERO DOGUER ANGEL ARMANDO,71,,SI
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76,,SI
,VACA COJITAMBO ELENA ANA DEL ROCIO,84,,SI
,MOYA DUQUE HERMAN ANIBAL,85,,SI
,SERRANO REYES NELSON ALCIDES,86,,SI
,SOLANO MORENO ALEX FABIAN,87,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96,,SI
,COLLAGUAZO RODRIGO,97,,SI
