34,asambleista,curul,total ausente,voto
,MACHUCA MOSCOSO LINDA MARICELA,4,,AUSENTE
,AGUIRRE HIDALGO DORA ANDELA,5,,AUSENTE
,TORRES CEDEÑO KERLLY ANABEL,7,,AUSENTE
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,BORJA PEREZ GALO,15,,AUSENTE
,CARRILLO BETTY,20,,AUSENTE
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,GAGLIARDO LOOR GASTON,35,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48,,AUSENTE
,JUEZ JUEZ OMAR JUSEPH,50,,AUSENTE
,BUENDIA HERDOIZA MARIA SOLEDAD,52,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCIO,65,,AUSENTE
,FARFAN APONTE RICHARD WILSON,69,,AUSENTE
,QUIROZ VALLEJO HECTOR HUGO,71,,AUSENTE
,REINOSO LESCANO MARIA ELIZABETH,73,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,SUBIA BARREIRO BOLIVAR STALIN,78,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80,,AUSENTE
,VILLAO PANCHANA RAUL ELIAS,81,,AUSENTE
,SERRANO REYES NELSON ALCIDES,86,,AUSENTE
,SOLANO MORENO ALEX FABIAN,87,,AUSENTE
,DIAZ COKA MARIA GABRIELA,88,,AUSENTE
,GUTIERREZ BORBUA FAUSTO GILMAR,100,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105,,AUSENTE
,VELIZ BRIONES JOSE FELIX,109,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,134,,AUSENTE
,YELA BURGOS DAYSE INES,135,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,ACERO LANCHIMBA ESTHELA LILIANA,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,MARQUEZ LOPEZ JOSE LENIN,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CASANOVA CEPEDA XAVIER IVAN,19,,SI
,CARRION MARIA JOSE,21,,SI
,CAJAS LARA SUSANA VALERIA,22,,SI
,BRAVO RAMIREZ MARIA LORENA,23,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,SI
,OLAYA LIDER,25,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28,,SI
