34,asambleista,curul,total no,voto
,SERRANO SALGADO JOSÉ RICARDO,3.0,,AUSENTE
,ALEAGA SANTOS RONNY XAVIER,29.0,,AUSENTE
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,AUSENTE
,POMA HERRERA YOFRE MARTÍN,50.0,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,AUSENTE
,SÁNCHEZ REYES MONTGOMERY,59.0,,AUSENTE
,VELIN CORTÉS JUAN PABLO,63.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,AUSENTE
,AZUERO RODAS ELISEO ALEXIS,77.0,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,MONTAÑO GUISAMANO MAYRA MIGDONIA,97.0,,AUSENTE
,"PASSAILAIGUE MANOSALVAS DALLYANAMARIANELA",98.0,,AUSENTE
,CANDELL SOTO JAIME ENRIQUE JIMMY,107.0,,AUSENTE
,TERÁN SALCEDO RAMÓN FORTUNATO,112.0,,AUSENTE
,CARBO AGUIRRE JONATHAN ALEXI,115.0,,AUSENTE
,PACHALA POMA LUIS ALBERTO,120.0,,AUSENTE
,PESANTEZ SALTO DIANA ELIZABETH,71.0,,SI
,ASÁN WONSANG JOSÉ FRANCISCO,72.0,,SI
,MALDONADO JARAMILLO MARÍA ISABEL,73.0,,SI
,BERNAL BERNAL ESTEBAN REMIGIO,74.0,,SI
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,SI
,CUCALÓN CAMACHO HENRY EDUARDO,78.0,,SI
,SERRANO VITERI MERCEDES MARITZA,79.0,,SI
,CALLEJAS BARONA FERNANDO,80.0,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83.0,,SI
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84.0,,SI
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85.0,,SI
,YANDÚN POZO CÁSTULO RENÉ,86.0,,SI
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,SI
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,SI
,CELI SANTOS GUILLERMO ALEJANDRO,90.0,,SI
,CRUZ PROAÑO LUDOVICO ISRAEL,91.0,,SI
,CUESTA ORELLANA MARÍA DE LOURDES,93.0,,SI
,CADENA HUERTAS FRANCISCO JAVIER,95.0,,SI
,PEÑA ONTANEDA ELIO GERMÁN,96.0,,SI
,REYES HIDALGO CRISTINA EUGENIA,99.0,,SI
,CURICHUMBI YUPANQUI PEDRO,100.0,,SI
,DONOSO CHIRIBOGA PATRICIO,101.0,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,SI
,GALARZA AÑAZCO ANA MERCEDES,103.0,,SI
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,SI
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108.0,,SI
,OLIVO PALLO JAIME FERNANDO,109.0,,SI
,ROHON HERVAS CÉSAR EDUARDO,110.0,,SI
,TAIANO BASANTE VICENTE GIOVANNY,111.0,,SI
,TORRES TORRES LUIS FERNANDO,113.0,,SI
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,SI
,MINCHALA MURILLO RÓMULO MARCELO,116.0,,SI
,MONTAÑO VALENCIA MAE,117.0,,SI
,VARGAS SÁNCHEZ GRETTY LEILA,118.0,,SI
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119.0,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,SI
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,SI
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,SI
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,SI
,UGARTE GUZMÁN BLANCA ROSANA,127.0,,SI
,VINTIMILLA MOSCOSO PAOLA,128.0,,SI
,ZAMBRANO ORTIZ MARÍA ROBERTA,129.0,,SI
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,SI
,PAREDES TORRES WASHINGTON ARTURO,131.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,SI
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,SI
,VERA MENDOZA TANLLY JANELA,135.0,,SI
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137.0,,SI
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,NO
,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,NO
,MORENO INTRIAGO MARIA LUISA,9.0,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,NO
,SERRANO VALLEJO JORGE ERNESTO,13.0,,NO
,CALLE VERZOZI HERMUY,15.0,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,NO
,EGAS LEDESMA JOSÉ ANTONIO,18.0,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,NO
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,NO
,SUAREZ HUAYAMAVE CARLOS ALBERTO,25.0,,NO
,DOUMET CHEDRAUI MICHEL ANDRÉS,27.0,,NO
,FLOR GIL BRENDA AZUCENA,31.0,,NO
,GARCÍA POZO DIEGO OSWALDO,33.0,,NO
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,NO
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,NO
,MARÍN AGUIRRE ANA BELÉN,40.0,,NO
,COLAMARCO VERA PINUCCIA MAGALY,42.0,,NO
,PAREDES BENAVIDES LIDIA VICTORIA,43.0,,NO
,ALONSO FERNÁNDEZ FÉLIX FREDY,46.0,,NO
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47.0,,NO
,PEÑA PACHECO XIMENA DEL ROCÍO,48.0,,NO
,PLAZA CASTILLO LENIN,49.0,,NO
,TORRES CEDEÑO ELENA ANYELINE,52.0,,NO
,QUIÑONEZ OCAMPO JULIO CÉSAR,53.0,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,NO
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,NO
,PEÑA BERNAL JOAQUÍN ANTONIO,61.0,,NO
,VERA RODRÍGUEZ CARLOS ALFREDO,65.0,,NO
,VITERI GUALINGA CARLOS ELOY,67.0,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,NO
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,NO
,ZAMBRANO VERA MARIANO,106.0,,NO
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,ABSTENCION
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,ABSTENCION
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,ABSTENCION
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,ABSTENCION
,ARREGUI RUEDA MARCIA CECILIA,6.0,,ABSTENCION
