asambleista,curul,voto
MORALES POZO LENIN ALBERTO,2,AUSENTE
HAGO CELI FRANCISCO WAIKING,4,AUSENTE
VITERI LOPEZ CHRISTIAN HUMBERTO,10,AUSENTE
ARREGUI RUEDA MARCIA CECILIA,12,AUSENTE
BUSTAMANTE PONCE FERNANDO XAVIER,17,AUSENTE
BRAVO RAMIREZ MARIA LORENA,23,AUSENTE
OLAYA LIDER,25,AUSENTE
SALAZAR PAUCAR MARGOD ELISAVED,26,AUSENTE
CORDOVA ENCALADA EDGAR EDUARDO,28,AUSENTE
DE LA CRUZ BERNARDO HERMAN ULISES,30,AUSENTE
PIÑAN CAJAS MARIA ALEGRIA,32,AUSENTE
PALACIOS CESAR,33,AUSENTE
MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35,AUSENTE
GUAMAN CASTRO ALEX FRANCISCO,41,AUSENTE
MOSQUERA YANEZ ISABEL PIEDAD,47,AUSENTE
ISSA WAGNER NICOLAS JOSE,48,AUSENTE
BUENDIA HERDOIZA MARIA SOLEDAD,52,AUSENTE
LARRIVA ALVARADO OSCAR OSWALDO,53,AUSENTE
AGUIÑAGA VALLEJO PAOLA MARCELA,55,AUSENTE
MUÑOZ AVENDAÑO ROSA ELVIRA,58,AUSENTE
QUIROZ VALLEJO HECTOR HUGO,60,AUSENTE
BRITO MENDOZA MONICA CRISTINA,63,AUSENTE
PEÑA PACHECO XIMENA DEL ROCIO,65,AUSENTE
MEDINA MERA VICTOR CLEMENTE,72,AUSENTE
REINOSO LESCANO MARIA ELIZABETH,73,AUSENTE
AGUILAR TORRES MANUEL RAMIRO,74,AUSENTE
ARIAS FERNANDEZ VERONICA ELIZABETH,75,AUSENTE
RODRIGUEZ DELGADO MARIA VERONICA,76,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,AUSENTE
YANDUN POZO CASTULO RENE,82,AUSENTE
SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,AUSENTE
SOLANO MORENO ALEX FABIAN,87,AUSENTE
DIAZ COKA MARIA GABRIELA,88,AUSENTE
FIERRO OVIEDO PACO,89,AUSENTE
ORELLANA MARQUINEZ MAGALI MARGOT,91,AUSENTE
TIBAN GUALA LOURDES LICENIA,93,AUSENTE
IÑIGUEZ APOLO LENIN MAURICIO,95,AUSENTE
PACHECO ORDOÑEZ BAYRON EDUARDO,99,AUSENTE
AUQUILLA ORTEGA RAUL VICENTE,101,AUSENTE
CHICAIZA TOAPANTA WILSON ALFONSO,102,AUSENTE
DONOSO CHIRIBOGA PATRICIO,103,AUSENTE
MONCAYO CEVALLOS JOSE RICARDO,104,AUSENTE
VILEMA FREIRE ANGEL RAMIRO,112,AUSENTE
POSSO SALGADO LUIS ANTONIO,113,AUSENTE
SOLORZANO SARRIA CESAR FAUSTO,114,AUSENTE
PAEZ BENALCAZAR ANDRES TARQUINO,117,AUSENTE
SALGADO RIVADENEIRA DIEGO,118,AUSENTE
CHICA ARTEAGA GUNTARD PAVEL,119,AUSENTE
SERRANO SEGURA GRACE MARISOL,128,AUSENTE
URIBE LOPEZ FANNY ESTHER,129,AUSENTE
