asambleista,curul,voto
SERRANO SALGADO JOSÉ RICARDO,3,AUSENTE
OVIEDO ENDERICA DANIELA NATHALY,5,AUSENTE
NÚÑEZ CRIOLLO JAIRO PATRICIO,26,AUSENTE
ESPINOSA ANDRADE AUGUSTO XAVIER,30,AUSENTE
GARCÍA GAIBOR CARMEN MERCEDES,32,AUSENTE
MELO GARZÓN ESTEBAN ANDRÉS,41,AUSENTE
MENDOZA ARÉVALO DANIEL ISAAC,42,AUSENTE
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,AUSENTE
YAR ARAUJO JUAN CARLOS,68,AUSENTE
MENDOZA PALMA JOFFRE PATRICIO,115,AUSENTE
MORENO GUERRERO HENRY FREDY,118,AUSENTE
SIMBAÑA VILLARREAL ABDÓN MARCELO,133,AUSENTE
ARREGUI RUEDA MARCIA CECILIA,6,SI
ARTEAGA MUÑOZ KARINA CECILIA,7,SI
BERGMANN REYNA CARLOS ALBERTO,9,SI
BONILLA SALCEDO VIVIANA,10,SI
CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,SI
CADENA VÉLEZ KARLA GABRIELA,14,SI
VALLEJO JARAMILLO NORMA MARLENE,19,SI
CERDA MIRANDA GABRIELA PAMELA,21,SI
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,SI
COROZO AYOVÍ JORGE WILBER,24,SI
SUAREZ HUAYAMAVE CARLOS ALBERTO,25,SI
DOUMET CHEDRAUI MICHEL ANDRÉS,27,SI
FLOR GIL BRENDA AZUCENA,31,SI
GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,SI
LITARDO CAICEDO CÉSAR ERNESTO,38,SI
MARÍN AGUIRRE ANA BELÉN,40,SI
PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,SI
PEÑA PACHECO XIMENA DEL ROCÍO,48,SI
PLAZA CASTILLO LENIN,49,SI
POMA HERRERA YOFRE MARTÍN,50,SI
RODRÍGUEZ CEDEÑO ROSA ELENA,53,SI
SALAZAR CEDEÑO GUADALUPE DOLORES,56,SI
VELIN CORTÉS JUAN PABLO,63,SI
VERA RODRÍGUEZ CARLOS ALFREDO,65,SI
YUNDA MACHADO JORGE HOMERO,69,SI
PESANTEZ SALTO DIANA ELIZABETH,71,SI
ASÁN WONSANG JOSÉ FRANCISCO,72,SI
AUQUILLA ORTEGA RAÚL VICENTE,73,SI
BERNAL BERNAL ESTEBAN REMIGIO,74,SI
BURBANO MONTENEGRO FÉLIX FERNANDO,75,SI
ZAMBRANO CASTRO NORALMA ELIZABETH,76,SI
AZUERO RODAS ELISEO ALEXIS,77,SI
CUCALÓN CAMACHO HENRY EDUARDO,78,SI
FALQUEZ BATALLAS PEDRO CARLOS,79,SI
CALLEJAS BARONA FERNANDO,80,SI
CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,SI
CAMPOVERDE ROBLES EMILIO ABSALÓN,82,SI
CARRIÓN MORENO CÉSAR ATAULFO,83,SI
ZAMBRANO CHACHA ALBERTO ALEXANDER,84,SI
SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,SI
YANDÚN POZO CÁSTULO RENÉ,86,SI
HENRÍQUEZ JAIME PATRICIA IVONNE,87,SI
