33,asambleista,curul,total no,voto
,ABAD VELEZ RAUL,1,,AUSENTE
,AGUILAR PLACIDO ARMANDO,3,,AUSENTE
,MORAN AMALIA,7,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,CARRILLO BETTY,20,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29,,AUSENTE
,MENDOZA DANIEL ISAAC,37,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43,,AUSENTE
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,,AUSENTE
,ARANA COELLO YIMABEL MARIA,50,,AUSENTE
,BRITO MENDOZA MONICA CRISTINA,63,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72,,AUSENTE
,ACACHO GONZALEZ PEPE LUIS,83,,AUSENTE
,MOYA DUQUE HERMAN ANIBAL,85,,AUSENTE
,GOMEZ IRMA,86,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91,,AUSENTE
,UMAJINGA GUAMAN CESAR,92,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,AUSENTE
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,AUSENTE
,PONCE RUBIO ELVIA AZUCENA,122,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,ZAMBRANO CASTRO NORALMA ELIZABETH,126,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132,,AUSENTE
,MORALES POZO LENIN ALBERTO,2,,SI
,HAGO CELI FRANCISCO WAIKING,4,,SI
,AGUIRRE HIDALGO DORA ANADELA,5,,SI
,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6,,SI
,MUÑOZ VICUÑA MARIANGEL,8,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,MARQUEZ LOPEZ JOSE LENIN,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CALLE ANDRADE MARIA AUGUSTA,19,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,MONGE ESPINEL LUIS HUMBERTO,23,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,FAJARDO MOSQUERA LETTY VANESSA,33,,SI
,FALCONI LOQUI EVELYN PAMELA,34,,SI
,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35,,SI
