curul,asambleista,voto
10,VITERI LOPEZ CHRISTIAN HUMBERTO,AUSENTE
11,ARIAS RAMIREZ ALBERTO JESUS,AUSENTE
14,BERGMANN REYNA CARLOS ALBERTO,AUSENTE
21,CARRION MARIA JOSE,AUSENTE
24,CAYAMBE TIPAN FAUSTO HERIBERTO,AUSENTE
26,CHAVEZ CANALES HOLGER EZEQUIEL,AUSENTE
30,DE LA CRUZ BERNARDO HERMAN ULISES,AUSENTE
36,GALVAN GRACIA MARIA ESPERANZA,AUSENTE
38,GARZON RICAURTE WILLIAM ANTONIO,AUSENTE
41,GUAMAN CASTRO ALEX FRANCISCO,AUSENTE
43,GUDIÑO MENA ZOBEIDA GUISELA,AUSENTE
53,LARRIVA ALVARADO OSCAR OSWALDO,AUSENTE
61,CAZA TIPANTA HUGO RENE,AUSENTE
67,PONCE LEON XIMENA MERCEDES,AUSENTE
80,BUSTOS CHILIQUINGA ARCADIO,AUSENTE
85,MOYA DUQUE HERMAN ANIBAL,AUSENTE
87,DAHIK ASTUDILLO REYTA GIOMAR,AUSENTE
88,DIAZ COKA MARIA GABRIELA,AUSENTE
91,ORELLANA MARQUINEZ MAGALI MARGOT,AUSENTE
101,AUQUILLA ORTEGA RAUL VICENTE,AUSENTE
109,VELEZ MARLENE MARGARITA,AUSENTE
114,SOLORZANO SARRIA CESAR FAUSTO,AUSENTE
119,CHICA ARTEAGA GUNTARD PAVEL,AUSENTE
125,ZAMBRANO CABANILLA EDUARDO ALFONSO,AUSENTE
126,ZAMBRANO CASTRO NORALMA ELIZABETH,AUSENTE
133,TACLE GALARRAGA MOISES FERNANDO,AUSENTE
137,KRONFLE GOMEZ MARIA CRISTINA,AUSENTE
1,ABAD VELEZ RAUL,SI
2,ACERO LANCHIMBA ESTHELA LILIANA,SI
3,ALMEIDA MANOSALVAS MARIA DEL PILAR,SI
4,HAGO CELI FRANCISCO WAIKING,SI
5,AGUIRRE HIDALGO DORA ANADELA,SI
6,ALBAN TORRES MARIANA DEL ROCIO,SI
7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,SI
8,MUÑOZ VICUÑA MARIANGEL,SI
9,ANDINO REINOSO MAURO EDMUNDO,SI
12,ARREGUI RUEDA MARCIA CECILIA,SI
13,MARQUEZ LOPEZ JOSE LENIN,SI
15,BORJA PEREZ GALO,SI
16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI
17,BUSTAMANTE PONCE FERNANDO XAVIER,SI
18,CALDERON SALTOS RICHARD OSWALDO,SI
19,CALLE ANDRADE MARIA AUGUSTA,SI
20,CARRILLO BETTY,SI
22,CAJAS LARA SUSANA VALERIA,SI
23,BRAVO RAMIREZ MARIA LORENA,SI
25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI
27,CHICA AREVALO VINICIO VETHOWEN,SI
28,CORDOVA ENCALADA EDGAR EDUARDO,SI
29,CUESTA RIOS LIUBA ELISA,SI
31,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI
32,DELGADO CHALA AGUSTIN JAVIER,SI
33,FAJARDO MOSQUERA LETTY VANESSA,SI
34,FALCONI LOQUI EVELYN PAMELA,SI
35,GAGLIARDO LOOR GASTON,SI
37,MENDOZA DANIEL ISAAC,SI
39,GODOY ANDRADE GINA JAKELINE,SI
40,GONZALEZ SERRANO MIRYAM CATARINA,SI
42,BOMBON LOPEZ BLANCA CECILIA,SI
44,GUEVARA VILLACRES VERONICA MARGARITA,SI
45,GUZMAN OCHOA LILIANA MAURA,SI
46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI
47,MOSQUERA YANEZ ISABEL PIEDAD,SI
48,ISSA WAGNER NICOLAS JOSE,SI
49,CARRILLO CRESPO HUGO FERNANDO,SI
50,SILVA MALDONADO SOFIA IRENE,SI
51,ORTIZ GASPAR ESTHER FLAVIA,SI
52,REYES MACHUCA EFREN RODRIGO,SI
54,LEDESMA ZAMORA OSCAR ALFONSO,SI
55,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
56,MORENO CHIRIBOGA AMPARO DIANA,SI
57,TOBAR NUÑEZ RAUL IGNACIO,SI
58,MUÑOZ AVENDAÑO ROSA ELVIRA,SI
59,ALVARADO CARRION ROSANA,SI
60,OCLES PADILLA ALEXANDRA,SI
62,PADRON SAETEROS GLADYS PAULINA,SI
63,MACAS JOSE LUIS,SI
64,PEÑA CARRASCO DIANA LUCIA,SI
65,PEÑA PACHECO XIMENA DEL ROCIO,SI
66,PEÑAFIEL MONTESDEOCA JUANA MARISOL,SI
68,PROAÑO CIFUENTES ROBERTH MAURICIO,SI
69,FARFAN APONTE RICHARD WILSON,SI
70,RIVERA LOPEZ JOSE GABRIEL,SI
71,RIVERO DOGUER ANGEL ARMANDO,SI
72,MEDINA MERA VICTOR CLEMENTE,SI
73,REINOSO LESCANO MARIA ELIZABETH,SI
74,AGUILAR TORRES MANUEL RAMIRO,SI
75,ARIAS FERNANDEZ VERONICA ELIZABETH,SI
76,RODRIGUEZ DELGADO MARIA VERONICA,SI
77,GARCIA PLUAS BEATRIZ CANDELARIA,SI
78,SUBIA BARREIRO BOLIVAR STALIN,SI
79,HURTADO BRAVO WASHINGTON OMAR,SI
81,MATIAS APOLINARIO RITA AZUCENA,SI
84,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,SI
86,ALEMAN MARMOL MONICA ROCIO,SI
94,TERAN SARZOSA SEGUNDO FAUSTO,SI
95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,SI
96,MEJIA PLUAS NILDA CECIBEL,SI
97,VASCONEZ ARTEAGA ANNY MARLLELY,SI
98,VELA CAIZAPANTA ANGEL RAMIRO,SI
106,VELA CHERONI MARIA SOLEDAD,SI
107,ARGUELLO TROYA BLANCA AZUCENA,SI
108,VELASCO ENRIQUEZ CARLOS ALBERTO,SI
110,VERDUGA CEDEÑO MARY,SI
111,VICUÑA MUÑOZ MARIA ALEJANDRA,SI
112,VILEMA FREIRE ANGEL RAMIRO,SI
121,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,SI
123,VITERI GUALINGA CARLOS ELOY,SI
124,ZAMBRANO ARTEAGA JOSE RICARDO,SI
127,OBANDO MORALES SANTA FELICITA,SI
128,SERRANO SEGURA GRACE MARISOL,SI
130,TAPIA LOMBEYDA LUIS FERNANDO,SI
131,CUCALON CAMACHO HENRY EDUARDO,SI
132,REYES HIDALGO CRISTINA EUGENIA,SI
136,OÑATE LOMBEIDA WIMPER BOLIVAR,SI
90,GUALAN JAPA MILTON RODRIGO,NO
92,UMAJINGA GUAMAN CESAR,NO
93,TIBAN GUALA LOURDES LICENIA,NO
102,CHICAIZA TOAPANTA WILSON ALFONSO,NO
103,DONOSO CHIRIBOGA PATRICIO,NO
104,CORRAL DAVALOS PATRICIO,NO
105,AGUIRRE RODRIGUEZ FRANCISCO XAVIER,NO
115,MONTAÑO VALENCIA MAE,NO
116,MORETA PANCHEZ MIGUEL ANGEL,NO
117,PAEZ BENALCAZAR ANDRES TARQUINO,NO
118,SALGADO RIVADENEIRA DIEGO,NO
134,ROMERO LOAYZA FRANCO SEGUNDO,NO
135,YELA BURGOS DAYSE INES,NO
82,YANDUN POZO CASTULO RENE,ABSTENCION
83,ACACHO GONZALEZ PEPE LUIS,ABSTENCION
89,FIERRO OVIEDO PACO,ABSTENCION
99,PACHECO ORDOÑEZ BAYRON EDUARDO,ABSTENCION
100,ALBAN GALLO MARINA ELIZABETH,ABSTENCION
113,POSSO SALGADO LUIS ANTONIO,ABSTENCION
120,TORRES TORRES LUIS FERNANDO,ABSTENCION
122,PONCE RUBIO ELVIA AZUCENA,ABSTENCION
129,URIBE LOPEZ FANNY ESTHER,ABSTENCION
