voto,curul,asambleista
AUSENTE,7,TORRES CEDEÑO KERLLY ANABEL
AUSENTE,8,MUÑOZ VICUÑA MARIANGEL
AUSENTE,11,ARIAS RAMIREZ ALBERTO JESUS
AUSENTE,12,ARREGUI RUEDA MARCIA CECILIA
AUSENTE,13,BENAVIDES ZAMBRANO ZOILA TERESA
AUSENTE,14,BERGMANN REYNA CARLOS ALBERTO
AUSENTE,23,CASSINELLI CALI JUAN CARLOS
AUSENTE,25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH
AUSENTE,32,DELGADO CHALA AGUSTIN JAVIER
AUSENTE,34,FALCONI LOQUI EVELYN PAMELA
AUSENTE,37,MENDOZA DANIEL ISAAC
AUSENTE,40,GONZALEZ SERRANO MIRYAM CATARINA
AUSENTE,42,GUAMANGATE ANTE LUIS GILBERTO
AUSENTE,43,GUDIÑO MENA ZOBEIDA GUISELA
AUSENTE,44,TORRES PINEDA CLINTON ELIUD
AUSENTE,48,ISSA WAGNER NICOLAS JOSE
AUSENTE,50,ARANA COELLO YIMABEL MARIA
AUSENTE,53,LARRIVA ALVARADO OSCAR OSWALDO
AUSENTE,64,PEÑA CARRASCO DIANA LUCIA
AUSENTE,66,PEÑAFIEL MONTESDEOCA JUANA MARISOL
AUSENTE,72,MEDINA MERA VICTOR CLEMENTE
AUSENTE,76,RODRIGUEZ DELGADO MARIA VERONICA
AUSENTE,77,SAENZ DE VITERI LAUTARO ENRIQUE
AUSENTE,78,SUBIA BARREIRO BOLIVAR STALIN
AUSENTE,79,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ
AUSENTE,81,VILLAO PANCHANA RAUL ELIAS
AUSENTE,87,SOLANO MORENO ALEX FABIAN
AUSENTE,91,ORELLANA MARQUINEZ MAGALI MARGOT
AUSENTE,92,UMAGINGA GUAMAN CESAR
AUSENTE,93,TIBAN GUALA LOURDES LICENIA
AUSENTE,95,VALAREZO ORDOÑEZ ROCIO DEL CARMEN
AUSENTE,104,MONCAYO CEVALLOS JOSE RICARDO
AUSENTE,105,BUCARAM PULLEY ABDALA JAIME
AUSENTE,107,ARGUELLO TROYA BLANCA AZUCENA
AUSENTE,109,VELEZ MARLENE MARGARITA
AUSENTE,112,VILEMA FREIRE ANGEL RAMIRO
AUSENTE,113,POSSO SALGADO LUIS ANTONIO
AUSENTE,117,PAEZ BENALCAZAR ANDRES TARQUINO
AUSENTE,118,SALGADO RIVADENEIRA DIEGO
AUSENTE,119,PUYOL CORTEZ JORGE LUIS
AUSENTE,124,ZAMBRANO ARTEAGA JOSE RICARDO
AUSENTE,129,URIBE LOPEZ FANNY ESTHER
AUSENTE,131,CUCALON CAMACHO HENRY EDUARDO
AUSENTE,132,REYES HIDALGO CRISTINA EUGENIA
AUSENTE,133,TACLE GALARRAGA MOISES FERNANDO
AUSENTE,136,VITERI JIMENEZ CYNTHIA
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
SI,1,ABAD VELEZ RAUL
SI,2,ACERO LANCHIMBA ESTHELA LILIANA
SI,3,AGUILAR PLACIDO ARMANDO
SI,4,MACHUCA MOSCOSO LINDA MARICELA
SI,5,AGUIRRE HIDALGO DORA ANDELA
SI,6,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO
SI,9,ANDINO REINOSO MAURO EDMUNDO
SI,10,VITERI LOPEZ CHRISTIAN HUMBERTO
SI,15,BORJA PEREZ GALO
SI,16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
SI,17,BUSTAMANTE PONCE FERNANDO XAVIER
SI,18,CALDERON SALTOS RICHARD OSWALDO
SI,19,CALLE ANDRADE MARIA AUGUSTA
SI,20,CARRILLO BETTY
SI,21,CARRION MARIA JOSE
SI,22,CARVAJAL AGUIRRE MIGUEL ANGEL
SI,24,CAYAMBE TIPAN FAUSTO HERIBERTO
SI,26,SALAZAR PAUCAR MARGOD ELISAVED
SI,27,CHICA AREVALO VINICIO VETHOWEN
SI,28,CORDOVA ENCALADA EDGAR EDUARDO
SI,29,CUESTA RIOS LIUBA ELISA
