asambleista,curul,voto
MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,AUSENTE
MUÑOZ VICUÑA MARIANGEL,8,AUSENTE
ANDINO REINOSO MAURO EDMUNDO,9,AUSENTE
BERGMANN REYNA CARLOS ALBERTO,14,AUSENTE
CALLE ANDRADE MARIA AUGUSTA,19,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,AUSENTE
MACIAS GARCIA PEDRO ROBERTO GEOVANNY,29,AUSENTE
DELGADO CHALA AGUSTIN JAVIER,32,AUSENTE
DE LA TORRE RAMIREZ PABLO ANTONIO,36,AUSENTE
BUENDIA HERDOIZA MARIA SOLEDAD,52,AUSENTE
MUÑOZ AVENDAÑO ROSA ELVIRA,58,AUSENTE
ALVARADO CARRION ROSANA,59,AUSENTE
PEÑA CARRASCO DIANA LUCIA,64,AUSENTE
FARFAN APONTE RICHARD WILSON,69,AUSENTE
RODRIGUEZ DELGADO MARIA VERONICA,76,AUSENTE
FIERRO OVIEDO PACO,89,AUSENTE
UMAJINGA GUAMAN CESAR,92,AUSENTE
VELEZ MARLENE MARGARITA,109,AUSENTE
SOLORZANO SARRIA CESAR FAUSTO,114,AUSENTE
CUCALON CAMACHO HENRY EDUARDO,131,AUSENTE
ABAD VELEZ RAUL,1,SI
MORALES POZO LENIN ALBERTO,2,SI
AGUILAR PLACIDO ARMANDO,3,SI
HAGO CELI FRANCISCO WAIKING,4,SI
AGUIRRE HIDALGO DORA ANDELA,5,SI
ALBAN TORRES MARIANA DEL ROCIO,6,SI
VITERI LOPEZ CHRISTIAN HUMBERTO,10,SI
ARIAS RAMIREZ ALBERTO JESUS,11,SI
ARREGUI RUEDA MARCIA CECILIA,12,SI
BENAVIDES ZAMBRANO ZOILA TERESA,13,SI
BORJA PEREZ GALO,15,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,SI
BUSTAMANTE PONCE FERNANDO XAVIER,17,SI
CALDERON SALTOS RICHARD OSWALDO,18,SI
ANRRANGO ZAMBRANO GERARDO ELIAS,21,SI
CARVAJAL AGUIRRE MIGUEL ANGEL,22,SI
BRAVO RAMIREZ MARIA LORENA,23,SI
CAYAMBE TIPAN FAUSTO HERIBERTO,24,SI
CHAVEZ CANALES HOLGER EZEQUIEL,26,SI
CHICA AREVALO VINICIO VETHOWEN,27,SI
CORDOVA ENCALADA EDGAR EDUARDO,28,SI
DE LA CRUZ BERNARDO HERMAN ULISES,30,SI
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,SI
FAJARDO MOSQUERA LETTY VANESSA,33,SI
FALCONI LOQUI EVELYN PAMELA,34,SI
GAGLIARDO LOOR GASTON,35,SI
MENDOZA DANIEL ISAAC,37,SI
GARZON RICAURTE WILLIAM ANTONIO,38,SI
GODOY ANDRADE GINA JAKELINE,39,SI
GONZALEZ SERRANO MIRYAM CATARINA,40,SI
GUAMAN CASTRO ALEX FRANCISCO,41,SI
GUAMANGATE ANTE LUIS GILBERTO,42,SI
GUDIÑO MENA ZOBEIDA GUISELA,43,SI
GUEVARA VILLACRES VERONICA MARGARITA,44,SI
GUZMAN OCHOA LILIANA MAURA,45,SI
HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,SI
MOSQUERA YANEZ ISABEL PIEDAD,47,SI
MONGE ESPINEL LUIS HUMBERTO,48,SI
JEREZ PILLA BETTY MARICELA,49,SI
JUEZ JUEZ OMAR JUSEPH,50,SI
ORTIZ GASPAR ESTHER FLAVIA,51,SI
LARRIVA ALVARADO OSCAR OSWALDO,53,SI
LEDESMA ZAMORA OSCAR ALFONSO,54,SI
AGUIÑAGA VALLEJO PAOLA MARCELA,55,SI
MELO GARZON ESTEBAN ANDRES,56,SI
TOBAR NUÑEZ RAUL IGNACIO,57,SI
