curul,asambleista,voto
5,ARIAS RAMÍREZ ALBERTO JESÚS,AUSENTE
6,ARREGUI RUEDA MARCIA CECILIA,AUSENTE
7,ARTEAGA MUÑOZ KARINA CECILIA,AUSENTE
8,BENAVIDES ZAMBRANO ZOILA TERESA,AUSENTE
13,CABEZAS GUERRERO ELIZABETH ENRIQUETA,AUSENTE
21,CERDA MIRANDA GABRIELA PAMELA,AUSENTE
26,CUESTA SANTANA ESTHER ADELINA,AUSENTE
27,DOUMET CHEDRAUI MICHEL ANDRÉS,AUSENTE
31,GARCÍA MARTÍNEZ INGRID VANESSA,AUSENTE
34,GARZÓN RICAURTE WILLIAM ANTONIO,AUSENTE
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,AUSENTE
40,MARÍN AGUIRRE ANA BELÉN,AUSENTE
42,MENDOZA ARÉVALO DANIEL ISAAC,AUSENTE
44,NARANJO ALVARADO PRISCILA AMAPOLA,AUSENTE
46,ORELLANA ROMÁN ROSA GINA,AUSENTE
50,POMA HERRERA YOFRE MARTÍN,AUSENTE
54,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,AUSENTE
58,SAMANIEGO MAIGUA FRANKLIN OMAR,AUSENTE
59,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,AUSENTE
61,SOLIZ CARRIÓN DORIS JOSEFINA,AUSENTE
64,VERA FLORES WENDY VANESSA,AUSENTE
70,LOOR ALCÍVAR LEXI LIDUVINA,AUSENTE
71,ANDRADE MUÑOZ WILMA PIEDAD,AUSENTE
77,AZUERO RODAS ELISEO ALEXIS,AUSENTE
93,CUESTA ORELLANA MARÍA DE LOURDES,AUSENTE
101,DONOSO CHIRIBOGA PATRICIO,AUSENTE
104,GENDE CALAZACÓN ANGEL MESÍAS,AUSENTE
107,CANDELL SOTO JAIME ENRIQUE JIMMY,AUSENTE
117,LOPEZ ANDRADE JOSE PATRICIO,AUSENTE
122,CUESTA CONCARI MARÍA MERCEDES,AUSENTE
123,PEÑAFIEL IZQUIERDO EDDY COLÓN,AUSENTE
124,PUANCHIR PAYASHÑA TITO PEDRO,AUSENTE
126,SOLORZANO SARRIA CESAR FAUSTO,AUSENTE
1,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
3,SERRANO SALGADO JOSÉ RICARDO,SI
4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI
9,BERGMANN REYNA CARLOS ALBERTO,SI
10,BONILLA SALCEDO VIVIANA,SI
11,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI
14,DELGADO ORLANDO CÉSAR ANTONIO,SI
15,CALLE VERZOZI HERMUY,SI
17,CÁRDENAS ESPINOZA JUAN JORGE,SI
22,CHALÁ CRUZ JOSÉ FRANKLIN,SI
23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI
24,COROZO AYOVÍ JORGE WILBER,SI
28,DURÁN AGUILAR LILIANA ELIZABETH,SI
29,ALEAGA SANTOS RONNY XAVIER,SI
30,ESPINOSA ANDRADE AUGUSTO XAVIER,SI
32,GARCÍA GAIBOR CARMEN MERCEDES,SI
33,GARCÍA POZO DIEGO OSWALDO,SI
36,GUEVARA VILLACRÉS VERÓNICA MARGARITA,SI
37,HOLGUÍN NARANJO MARCELA PRISCILA,SI
39,LLORET VALDIVIESO JUAN CRISTÓBAL,SI
41,MELO GARZÓN ESTEBAN ANDRÉS,SI
43,MUÑOZ LÓPEZ CHRISTIAN PABEL,SI
49,PLAZA CASTILLO LENIN,SI
51,PROAÑO CIFUENTES ROBERTH MAURICIO,SI
55,RIVADENEIRA BUSTOS CARMEN MERCEDES,SI
57,SALGADO ANDRADE SILVIA BETZABETH,SI
60,ALEMÁN MARMOL MÓNICA ROCÍO,SI
62,VALLE PINARGOTE BAIRON LEONARDO,SI
63,VELIN CORTÉS JUAN PABLO,SI
66,VILLALVA MIRANDA LIRA DE LA PAZ,SI
67,VITERI GUALINGA CARLOS ELOY,SI
69,GUAMBA DÍAZ NANCY JEANNETH,SI
81,CAMPAIN BRAMBILLA RINA ASUNCIÓN,SI
94,ZAMBRANO VALLE EDUARDO MAURICIO,SI
100,CURICHUMBI YUPANQUI PEDRO,SI
105,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,SI
106,ZAMBRANO VERA MARIANO,SI
108,DUCHI GUAMÁN MARÍA ENCARNACIÓN,SI
109,OLIVO PALLO JAIME FERNANDO,SI
115,SALTOS MOREIRA DIANA GABRIELA,SI
116,VERA CALDERÓN SILVIA LORENA,SI
120,PACHALA POMA LUIS ALBERTO,SI
121,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,SI
125,ALARCÓN GUILLÍN FREDY OSCAR,SI
133,SIMBAÑA VILLARREAL ABDÓN MARCELO,SI
134,SUQUILANDA VALDIVIESO BYRON VINICIO,SI
136,VILLAMAR JÁCOME PEDRO FABRICIO,SI
137,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,SI
