curul,asambleista,voto
6,ARREGUI RUEDA MARCIA CECILIA,AUSENTE
8,BENAVIDES ZAMBRANO ZOILA TERESA,AUSENTE
10,BONILLA SALCEDO VIVIANA,AUSENTE
14,CADENA VÉLEZ KARLA GABRIELA,AUSENTE
18,CARRIÓN CEVALLOS MARÍA JOSÉ,AUSENTE
23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,AUSENTE
25,CUESTA RÍOS LIUBA ELISA,AUSENTE
30,CABEZAS CASTILLO JANETH PAOLA,AUSENTE
34,GARZÓN RICAURTE WILLIAM ANTONIO,AUSENTE
40,MARÍN AGUIRRE ANA BELÉN,AUSENTE
41,MELO GARZÓN ESTEBAN ANDRÉS,AUSENTE
42,MENDOZA ARÉVALO DANIEL ISAAC,AUSENTE
46,ORELLANA ROMÁN ROSA GINA,AUSENTE
47,BUSTAMANTE GARCÍA JUAN FRANCISCO,AUSENTE
50,POMA HERRERA YOFRE MARTÍN,AUSENTE
51,PROAÑO CIFUENTES ROBERTH MAURICIO,AUSENTE
55,RIVADENEIRA BUSTOS CARMEN MERCEDES,AUSENTE
56,SALAZAR CEDEÑO GUADALUPE DOLORES,AUSENTE
57,SALGADO ANDRADE SILVIA BETZABETH,AUSENTE
59,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,AUSENTE
64,VERA FLORES WENDY VANESSA,AUSENTE
76,ZAMBRANO CASTRO NORALMA ELIZABETH,AUSENTE
78,CUCALÓN CAMACHO HENRY EDUARDO,AUSENTE
81,CAMPAIN BRAMBILLA RINA ASUNCIÓN,AUSENTE
83,CARRIÓN MORENO CÉSAR ATAULFO,AUSENTE
91,CRUZ PROAÑO LUDOVICO ISRAEL,AUSENTE
93,CUESTA ORELLANA MARÍA DE LOURDES,AUSENTE
98,"PASSAILAIGUE MANOSALVAS DALLYANAMARIANELA",AUSENTE
102,FLORES VÁSQUEZ FERNANDO PATRICIO,AUSENTE
106,ZAMBRANO VERA MARIANO,AUSENTE
115,SALTOS MOREIRA DIANA GABRIELA,AUSENTE
120,PACHALA POMA LUIS ALBERTO,AUSENTE
122,CUESTA CONCARI MARÍA MERCEDES,AUSENTE
124,PUANCHIR PAYASHÑA TITO PEDRO,AUSENTE
131,PAREDES TORRES WASHINGTON ARTURO,AUSENTE
133,SIMBAÑA VILLARREAL ABDÓN MARCELO,AUSENTE
135,CEDEÑO LOOR LENIN PAÚL,AUSENTE
136,VILLAMAR JÁCOME PEDRO FABRICIO,AUSENTE
2,JUCA SALAZAR MERCEDES DEL ROCÍO,SI
9,BERGMANN REYNA CARLOS ALBERTO,SI
12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI
16,CAMBALA MONTECE CARLOS ALBERTO,SI
20,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI
21,CERDA MIRANDA GABRIELA PAMELA,SI
24,COROZO AYOVÍ JORGE WILBER,SI
27,DOUMET CHEDRAUI MICHEL ANDRÉS,SI
31,FLOR GIL BRENDA AZUCENA,SI
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI
38,LITARDO CAICEDO CÉSAR ERNESTO,SI
45,OCHOA MORANTE MANUEL ALFREDO,SI
49,PLAZA CASTILLO LENIN,SI
63,VELIN CORTÉS JUAN PABLO,SI
68,YAR ARAUJO JUAN CARLOS,SI
72,ZAMBRANO ALCÍVAR MAGDA XIOMARA,SI
73,AUQUILLA ORTEGA RAÚL VICENTE,SI
75,BURBANO MONTENEGRO FÉLIX FERNANDO,SI
77,AZUERO RODAS ELISEO ALEXIS,SI
79,SERRANO VITERI MERCEDES MARITZA,SI
82,CAMPOVERDE ROBLES EMILIO ABSALÓN,SI
