34,asambleista,curul,total ausente,voto
,SERRANO SALGADO JOSÉ RICARDO,3,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,6,,AUSENTE
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,AUSENTE
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,AUSENTE
,ORELLANA ROMÁN ROSA GINA,46,,AUSENTE
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,AUSENTE
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,AUSENTE
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,AUSENTE
,SERRANO VITERI MERCEDES MARITZA,79,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88,,AUSENTE
,CASTANIER JARAMILLO XAVIER HOMERO,89,,AUSENTE
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101,,AUSENTE
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,AUSENTE
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110,,AUSENTE
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,AUSENTE
,VERA CALDERÓN SILVIA LORENA,116,,AUSENTE
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,AUSENTE
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,126,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,132,,AUSENTE
,VERA MENDOZA TANLLY JANELA,135,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,SI
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,SI
,BERGMANN REYNA CARLOS ALBERTO,9,,SI
,BONILLA SALCEDO VIVIANA,10,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,SI
,CALLE VERZOZI HERMUY,15,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,SI
,CUESTA SANTANA ESTHER ADELINA,26,,SI
,ALEAGA SANTOS RONNY XAVIER,29,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32,,SI
,GARCÍA POZO DIEGO OSWALDO,33,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,SI
,POMA HERRERA YOFRE MARTÍN,50,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,SI
,SALGADO ANDRADE SILVIA BETZABETH,57,,SI
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60,,SI
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62,,SI
,VELIN CORTÉS JUAN PABLO,63,,SI
,VERA FLORES WENDY VANESSA,64,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,SI
,VITERI GUALINGA CARLOS ELOY,67,,SI
,GUAMBA DÍAZ NANCY JEANNETH,69,,SI
,LOOR ALCÍVAR LEXI LIDUVINA,70,,SI
,ANDRADE MUÑOZ WILMA PIEDAD,71,,SI
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,SI
,ZAMBRANO VALLE EDUARDO MAURICIO,94,,SI
,VERDEZOTO REINOSO ROSA ISABEL,103,,SI
,LÓPEZ LAPO CARLOS VÍCTOR,104,,SI
,CEDEÑO ZAMBRANO FELISITA MONCERRATE,106,,SI
,PUANCHIR PAYASHÑA TITO PEDRO,124,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,SI
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,SI
,MONTESDEOCA PALACIOS JOSÉ DANIEL,7,,NO
,MARQUEZ LOPEZ JOSE LENIN,8,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16,,NO
,TERÁN SARZOSA SEGUNDO FAUSTO,19,,NO
,CUESTA RÍOS LIUBA ELISA,25,,NO
,LITARDO CAICEDO CÉSAR ERNESTO,38,,NO
,MARÍN AGUIRRE ANA BELÉN,40,,NO
,MENDOZA ARÉVALO DANIEL ISAAC,42,,NO
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,NO
,AZUERO RODAS ELISEO ALEXIS,77,,NO
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,ABSTENCION
,CERDA MIRANDA GABRIELA PAMELA,21,,ABSTENCION
,COROZO AYOVÍ JORGE WILBER,24,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45,,ABSTENCION
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,ABSTENCION
,PLAZA CASTILLO LENIN,49,,ABSTENCION
,QUIJIJE DELGADO LUIS RAFAEL,52,,ABSTENCION
,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,ABSTENCION
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,ABSTENCION
,AUQUILLA ORTEGA RAÚL VICENTE,73,,ABSTENCION
,ASTUDILLO LOOR LINA GLORIA,74,,ABSTENCION
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,ABSTENCION
,CUCALÓN CAMACHO HENRY EDUARDO,78,,ABSTENCION
,CALLEJAS BARONA FERNANDO,80,,ABSTENCION
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,ABSTENCION
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,ABSTENCION
,CARRIÓN MORENO CÉSAR ATAULFO,83,,ABSTENCION
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,ABSTENCION
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,ABSTENCION
,YANDÚN POZO CÁSTULO RENÉ,86,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,ABSTENCION
,CELI SANTOS GUILLERMO ALEJANDRO,90,,ABSTENCION
,CUESTA ORELLANA MARÍA DE LOURDES,93,,ABSTENCION
,CADENA HUERTAS FRANCISCO JAVIER,95,,ABSTENCION
,PEÑA ONTANEDA ELIO GERMÁN,96,,ABSTENCION
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,,ABSTENCION
,CALDERÓN CHANCAY DORIS DAISY,98,,ABSTENCION
,REYES HIDALGO CRISTINA EUGENIA,99,,ABSTENCION
,CURICHUMBI YUPANQUI PEDRO,100,,ABSTENCION
,SALAS SALAS MARÍA CECILIA,102,,ABSTENCION
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,ABSTENCION
,OLIVO PALLO JAIME FERNANDO,109,,ABSTENCION
,TACLE GARCÍA SAMIA,111,,ABSTENCION
,MENDOZA MACÍAS MANUEL VIRGILIO,112,,ABSTENCION
,TORRES COBO LUIS ESTEBAN,113,,ABSTENCION
,CARBO AGUIRRE JONATHAN ALEXI,115,,ABSTENCION
,MONTAÑO VALENCIA MAE,117,,ABSTENCION
,VARGAS SÁNCHEZ GRETTY LEILA,118,,ABSTENCION
,PACHALA POMA LUIS ALBERTO,120,,ABSTENCION
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,ABSTENCION
,CUESTA CONCARI MARÍA MERCEDES,122,,ABSTENCION
,ALMEYDA JALIL VICENTE FERNANDO,127,,ABSTENCION
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,ABSTENCION
,LEÓN ZAVALA MARCO ANTONIO,129,,ABSTENCION
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,ABSTENCION
,PAREDES TORRES WASHINGTON ARTURO,131,,ABSTENCION
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,ABSTENCION
