33,asambleista,curul,total ausente,voto
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,,AUSENTE
,MUÑOZ VICUÑA MARIANGEL,8,,AUSENTE
,SOLORZANO AVILES FRANCISCO MARCELO,16,,AUSENTE
,CRUZ SALAZAR FRANCISCA GABRIELA,23,,AUSENTE
,AGUALSACA GUAMAN JOSE CLEMENTE,29,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,FALCONI LOQUI EVELYN PAMELA,34,,AUSENTE
,JARAMILLO RODRIGUEZ VICTOR HUGO,43,,AUSENTE
,MOSQUERA YANEZ ISABEL PIEDAD,47,,AUSENTE
,ORTIZ GASPAR ESTHER FLAVIA,51,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,55,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCIO,65,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,68,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,AUSENTE
,ACACHO GONZALEZ PEPE LUIS,83,,AUSENTE
,MORAN AMALIA,85,,AUSENTE
,GUALAN JAPA MILTON RODRIGO,90,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91,,AUSENTE
,UMAJINGA GUAMAN CESAR,92,,AUSENTE
,TIBAN GUALA LOURDES LICENIA,93,,AUSENTE
,MONCAYO CEVALLOS JOSE RICARDO,104,,AUSENTE
,VELIZ BRIONES JOSE FELIX,109,,AUSENTE
,VILEMA FREIRE ANGEL RAMIRO,112,,AUSENTE
,MEDINA TAMBACO EMILY JESUS,119,,AUSENTE
,VINTIMILLA JARRIN DIEGO ARMANDO,122,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,AUSENTE
,VILLON POZO LUIS MARIANO,126,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131,,AUSENTE
,ABAD VELEZ RAUL,1,,SI
,MORALES POZO LENIN ALBERTO,2,,SI
,AGUILAR PLACIDO ARMANDO,3,,SI
,HAGO CELI FRANCISCO WAIKING,4,,SI
,AGUIRRE HIDALGO DORA ANADELA,5,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6,,SI
,ANDINO REINOSO MAURO EDMUNDO,9,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10,,SI
,ARIAS RAMIREZ ALBERTO JESUS,11,,SI
,ARREGUI RUEDA MARCIA CECILIA,12,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,SI
,BERGMANN REYNA CARLOS ALBERTO,14,,SI
,BORJA PEREZ GALO,15,,SI
,CALDERON SALTOS RICHARD OSWALDO,18,,SI
,CASANOVA CEPEDA XAVIER IVAN,19,,SI
,CARRILLO BETTY,20,,SI
,CARRION MARIA JOSE,21,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,SI
,CONSTANTE NIETO MARIANA DE LAS MERCEDES,24,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26,,SI
,CHICA AREVALO VINICIO VETHOWEN,27,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,SI
,DELGADO CHALA AGUSTIN JAVIER,32,,SI
,GAGLIARDO LOOR GASTON,35,,SI
