asambleista,curul,voto
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,AUSENTE
SERRANO SALGADO JOSÉ RICARDO,3,AUSENTE
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,AUSENTE
ARIAS RAMÍREZ ALBERTO JESÚS,5,AUSENTE
ARREGUI RUEDA MARCIA CECILIA,6,AUSENTE
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,AUSENTE
CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,AUSENTE
CARRIÓN CEVALLOS MARÍA JOSÉ,18,AUSENTE
TERÁN SARZOSA SEGUNDO FAUSTO,19,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,AUSENTE
CERDA MIRANDA GABRIELA PAMELA,21,AUSENTE
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,AUSENTE
CUESTA SANTANA ESTHER ADELINA,26,AUSENTE
DOUMET CHEDRAUI MICHEL ANDRÉS,27,AUSENTE
FLOR GIL BRENDA AZUCENA,31,AUSENTE
GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,AUSENTE
GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,AUSENTE
LITARDO CAICEDO CÉSAR ERNESTO,38,AUSENTE
MARÍN AGUIRRE ANA BELÉN,40,AUSENTE
MENDOZA ARÉVALO DANIEL ISAAC,42,AUSENTE
OCHOA MORANTE MANUEL ALFREDO,45,AUSENTE
ORELLANA ROMÁN ROSA GINA,46,AUSENTE
PEÑA PACHECO XIMENA DEL ROCÍO,48,AUSENTE
SAMANIEGO MAIGUA FRANKLIN OMAR,58,AUSENTE
YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,AUSENTE
ALEMÁN MARMOL MÓNICA ROCÍO,60,AUSENTE
VERA FLORES WENDY VANESSA,64,AUSENTE
VERA RODRÍGUEZ CARLOS ALFREDO,65,AUSENTE
VILLALVA MIRANDA LIRA DE LA PAZ,66,AUSENTE
AZUERO RODAS ELISEO ALEXIS,77,AUSENTE
REYES HIDALGO CRISTINA EUGENIA,99,AUSENTE
FLORES VÁSQUEZ FERNANDO PATRICIO,102,AUSENTE
GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,AUSENTE
ROHON HERVAS CÉSAR EDUARDO,110,AUSENTE
TAIANO BASANTE VICENTE GIOVANNY,111,AUSENTE
TORRES COBO LUIS ESTEBAN,113,AUSENTE
PACHALA POMA LUIS ALBERTO,120,AUSENTE
PEÑAFIEL IZQUIERDO EDDY COLÓN,123,AUSENTE
SOLÓRZANO SARRIA CÉSAR FAUSTO,126,AUSENTE
ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,AUSENTE
AGUIÑAGA VALLEJO PAOLA MARCELA,1,SI
ARTEAGA MUÑOZ KARINA CECILIA,7,SI
BENAVIDES ZAMBRANO ZOILA TERESA,8,SI
BERGMANN REYNA CARLOS ALBERTO,9,SI
COLLAGUAZO RODRIGO,10,SI
CADENA VÉLEZ KARLA GABRIELA,14,SI
CALLE VERZOZI HERMUY,15,SI
CAMBALA MONTECE CARLOS ALBERTO,16,SI
CÁRDENAS ESPINOZA JUAN JORGE,17,SI
CHALÁ CRUZ JOSÉ FRANKLIN,22,SI
COROZO AYOVÍ JORGE WILBER,24,SI
DURÁN AGUILAR LILIANA ELIZABETH,28,SI
ALEAGA SANTOS RONNY XAVIER,29,SI
ESPINOSA ANDRADE AUGUSTO XAVIER,30,SI
GARCÍA GAIBOR CARMEN MERCEDES,32,SI
GARCÍA POZO DIEGO OSWALDO,33,SI
GARZÓN RICAURTE WILLIAM ANTONIO,34,SI
HOLGUÍN NARANJO MARCELA PRISCILA,37,SI
LLORET VALDIVIESO JUAN CRISTÓBAL,39,SI
MELO GARZÓN ESTEBAN ANDRÉS,41,SI
MUÑOZ LÓPEZ CHRISTIAN PABEL,43,SI
NARANJO ALVARADO PRISCILA AMAPOLA,44,SI
BUSTAMANTE GARCÍA JUAN FRANCISCO,47,SI
PLAZA CASTILLO LENIN,49,SI
PROAÑO CIFUENTES ROBERTH MAURICIO,51,SI
QUIJIJE DELGADO LUIS RAFAEL,52,SI
AGUALSACA GUAMAN JOSE CLEMENTE,54,SI
RIVADENEIRA BUSTOS CARMEN MERCEDES,55,SI
SALGADO ANDRADE SILVIA BETZABETH,57,SI
SOLIZ CARRIÓN DORIS JOSEFINA,61,SI
MACAS JOSE LUIS,62,SI
VELIN CORTÉS JUAN PABLO,63,SI
GUAMBA DÍAZ NANCY JEANNETH,69,SI
LOOR ALCÍVAR LEXI LIDUVINA,70,SI
ANDRADE MUÑOZ WILMA PIEDAD,71,SI
ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,SI
AUQUILLA ORTEGA RAÚL VICENTE,73,SI
ASTUDILLO LOOR LINA GLORIA,74,SI
BURBANO MONTENEGRO FÉLIX FERNANDO,75,SI
CUCALÓN CAMACHO HENRY EDUARDO,78,SI
SERRANO VITERI MERCEDES MARITZA,79,SI
CALLEJAS BARONA FERNANDO,80,SI
GALLARDO CHEME CARLOS DAVID,81,SI
ORDOÑEZ QUEZADA ANDREINA SILVANA,82,SI
CARRIÓN MORENO CÉSAR ATAULFO,83,SI
ZAMBRANO CHACHA ALBERTO ALEXANDER,84,SI
SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,SI
YANDÚN POZO CÁSTULO RENÉ,86,SI
HENRÍQUEZ JAIME PATRICIA IVONNE,87,SI
LLANES SUAREZ HENRY MANUEL,88,SI
CASTANIER JARAMILLO XAVIER HOMERO,89,SI
LÓPEZ GÓMEZ DE LA TORRE MARÍA CRISTINA,90,SI
CRUZ PROAÑO LUDOVICO ISRAEL,91,SI
SARZOSA BENAVIDES JUAN CARLOS,92,SI
CUESTA ORELLANA MARÍA DE LOURDES,93,SI
ZAMBRANO VALLE EDUARDO MAURICIO,94,SI
CADENA HUERTAS FRANCISCO JAVIER,95,SI
SUQUILANDA LIMA CARMEN MARGARITA,96,SI
CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,SI
CALDERÓN CHANCAY DORIS DAISY,98,SI
CURICHUMBI YUPANQUI PEDRO,100,SI
DONOSO CHIRIBOGA PATRICIO,101,SI
VERDEZOTO REINOSO ROSA ISABEL,103,SI
ZAMBRANO VERA MARIANO,106,SI
CANDELL SOTO JAIME ENRIQUE JIMMY,107,SI
DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,SI
OLIVO PALLO JAIME FERNANDO,109,SI
TERÁN SALCEDO RAMÓN FORTUNATO,112,SI
SALTOS MOREIRA DIANA GABRIELA,115,SI
BURI ADRIÁN MARÍA IVONNE,116,SI
MONTAÑO VALENCIA MAE,117,SI
MORENO GUERRERO HENRY FREDY,118,SI
TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,SI
PUANCHIR PAYASHÑA TITO PEDRO,124,SI
ALARCÓN GUILLÍN FREDY OSCAR,125,SI
LOOR ZAMBRANO QUINCHE CONSUELO,127,SI
MARÍN LAVAYEN DENNIS GUSTAVO,128,SI
PAREDES TORRES WASHINGTON ARTURO,131,SI
ROMERO LOAYZA FRANCO SEGUNDO,132,SI
SIMBAÑA VILLARREAL ABDÓN MARCELO,133,SI
SUQUILANDA VALDIVIESO BYRON VINICIO,134,SI
VERA MENDOZA TANLLY JANELA,135,SI
YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,SI
CASANOVA CEPEDA XAVIER IVAN,11,ABSTENCION
CUESTA RÍOS LIUBA ELISA,25,ABSTENCION
ANDRADE VILLAPRADO NELLY LISSETH,50,ABSTENCION
QUIÑONEZ OCAMPO JULIO CÉSAR,53,ABSTENCION
SALAZAR CEDEÑO GUADALUPE DOLORES,56,ABSTENCION
CHACTONG VELASCO MARTHA XIMENA,67,ABSTENCION
YAR ARAUJO JUAN CARLOS,68,ABSTENCION
ZAMBRANO CASTRO NORALMA ELIZABETH,76,ABSTENCION
LÓPEZ LAPO CARLOS VÍCTOR,104,ABSTENCION
LARREÁTEGUI FABARA MARÍA GABRIELA,114,ABSTENCION
MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,ABSTENCION
CUESTA CONCARI MARÍA MERCEDES,122,ABSTENCION
PALACIOS MUÑOZ JUAN SEBASTIÁN,130,ABSTENCION
VILLAMAR JÁCOME PEDRO FABRICIO,136,ABSTENCION
