voto,curul,asambleista
AUSENTE,4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH
AUSENTE,5,OVIEDO ENDERICA DANIELA NATHALY
AUSENTE,15,CALLE VERZOZI HERMUY
AUSENTE,28,DURÁN AGUILAR LILIANA ELIZABETH
AUSENTE,40,MARÍN AGUIRRE ANA BELÉN
AUSENTE,41,MELO GARZÓN ESTEBAN ANDRÉS
AUSENTE,69,YUNDA MACHADO JORGE HOMERO
AUSENTE,124,GALLARDO ARÉVALO KATTY JUDITH
AUSENTE,133,SIMBAÑA VILLARREAL ABDÓN MARCELO
AUSENTE,134,SUQUILANDA VALDIVIESO BYRON VINICIO
SI,2,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN
SI,3,SERRANO SALGADO JOSÉ RICARDO
SI,6,ARREGUI RUEDA MARCIA CECILIA
SI,7,ARTEAGA MUÑOZ KARINA CECILIA
SI,8,BENAVIDES ZAMBRANO ZOILA TERESA
SI,9,BERGMANN REYNA CARLOS ALBERTO
SI,12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO
SI,13,CABEZAS GUERRERO ELIZABETH ENRIQUETA
SI,14,CADENA VÉLEZ KARLA GABRIELA
SI,16,CAMBALA MONTECE CARLOS ALBERTO
SI,18,CARRIÓN CEVALLOS MARÍA JOSÉ
SI,19,VALLEJO JARAMILLO NORMA MARLENE
SI,20,CEDEÑO ZAMBRANO JOHANNA ELIZABETH
SI,21,CERDA MIRANDA GABRIELA PAMELA
SI,23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO
SI,24,COROZO AYOVÍ JORGE WILBER
SI,25,CUESTA RÍOS LIUBA ELISA
SI,27,DOUMET CHEDRAUI MICHEL ANDRÉS
SI,31,FLOR GIL BRENDA AZUCENA
SI,34,GARZÓN RICAURTE WILLIAM ANTONIO
SI,35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN
SI,38,LITARDO CAICEDO CÉSAR ERNESTO
SI,42,MENDOZA ARÉVALO DANIEL ISAAC
SI,45,OCHOA MORANTE MANUEL ALFREDO
SI,46,ALONSO FERNÁNDEZ FÉLIX FREDY
SI,47,PALACIOS VELÁSQUEZ SONIA LUCRECIA
SI,48,PEÑA PACHECO XIMENA DEL ROCÍO
SI,49,PLAZA CASTILLO LENIN
SI,50,POMA HERRERA YOFRE MARTÍN
SI,52,QUIJIJE DELGADO LUIS RAFAEL
SI,53,QUIÑONEZ OCAMPO JULIO CÉSAR
SI,56,SALAZAR CEDEÑO GUADALUPE DOLORES
SI,57,MONCAYO ESPINOSA JOSÉ FRANCISCO
SI,59,SÁNCHEZ REYES MONTGOMERY
SI,63,VELIN CORTÉS JUAN PABLO
SI,65,VERA RODRÍGUEZ CARLOS ALFREDO
SI,68,YAR ARAUJO JUAN CARLOS
SI,70,ZAMBRANO ARTEAGA JOSE RICARDO
SI,71,ANDRADE MUÑOZ WILMA PIEDAD
SI,72,ASÁN WONSANG JOSÉ FRANCISCO
SI,73,AUQUILLA ORTEGA RAÚL VICENTE
SI,75,BURBANO MONTENEGRO FÉLIX FERNANDO
SI,76,ZAMBRANO CASTRO NORALMA ELIZABETH
SI,77,AZUERO RODAS ELISEO ALEXIS
SI,78,CUCALÓN CAMACHO HENRY EDUARDO
SI,79,SERRANO VITERI MERCEDES MARITZA
SI,84,VEGAY JIPA LUZ AIDA
SI,85,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO
SI,86,YANDÚN POZO CÁSTULO RENÉ
SI,87,HENRÍQUEZ JAIME PATRICIA IVONNE
SI,88,KRONFLE KOZHAYA HENRY FABIÁN
SI,90,CELI SANTOS GUILLERMO ALEJANDRO
SI,91,CRUZ PROAÑO LUDOVICO ISRAEL
SI,95,CADENA HUERTAS FRANCISCO JAVIER
SI,96,PEÑA ONTANEDA ELIO GERMÁN
SI,97,MONTAÑO GUISAMANO MAYRA MIGDONIA
SI,98,RODRÍGUEZ CUESTA JORGE IGNACIO
SI,99,REYES HIDALGO CRISTINA EUGENIA
SI,104,GENDE CALAZACÓN ANGEL MESÍAS
SI,106,ZAMBRANO VERA MARIANO
SI,107,CANDELL SOTO JAIME ENRIQUE JIMMY
SI,110,ROHON HERVAS CÉSAR EDUARDO
SI,111,TAIANO BASANTE VICENTE GIOVANNY
SI,112,TERÁN SALCEDO RAMÓN FORTUNATO
SI,113,TORRES TORRES LUIS FERNANDO
SI,114,LARREÁTEGUI FABARA MARÍA GABRIELA
SI,115,MENDOZA PALMA JOFFRE PATRICIO
SI,119,MUÑOZ ALARCÓN HÉCTOR PATRICIO
SI,123,PEÑAFIEL IZQUIERDO EDDY COLÓN
SI,125,ALARCÓN GUILLÍN FREDY OSCAR
SI,126,SOLORZANO SARRIA CESAR FAUSTO
SI,127,CALDERÓN JARAMILLO ALDRIN YUBER
SI,128,MARÍN LAVAYEN DENNIS GUSTAVO
SI,129,LEÓN ZAVALA MARCO ANTONIO
SI,130,PALACIOS MUÑOZ JUAN SEBASTIÁN
SI,132,ROMERO LOAYZA FRANCO SEGUNDO
NO,1,AGUIÑAGA VALLEJO PAOLA MARCELA
NO,10,BONILLA SALCEDO VIVIANA
NO,11,BUENDÍA HERDOÍZA MARÍA SOLEDAD
NO,17,CÁRDENAS ESPINOZA JUAN JORGE
NO,22,CHALÁ CRUZ JOSÉ FRANKLIN
NO,26,CUESTA SANTANA ESTHER ADELINA
NO,29,ESPÍN REYES EUGENIA SOFÍA
NO,30,ESPINOSA ANDRADE AUGUSTO XAVIER
NO,32,GARCÍA GAIBOR CARMEN MERCEDES
NO,33,GARCÍA POZO DIEGO OSWALDO
NO,36,GUEVARA VILLACRÉS VERÓNICA MARGARITA
NO,37,HOLGUÍN NARANJO MARCELA PRISCILA
NO,39,LLORET VALDIVIESO JUAN CRISTÓBAL
NO,43,PAREDES BENAVIDES LIDIA VICTORIA
NO,44,NARANJO ALVARADO PRISCILA AMAPOLA
NO,51,PROAÑO CIFUENTES ROBERTH MAURICIO
NO,54,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
NO,55,RIVADENEIRA BUSTOS CARMEN MERCEDES
NO,58,SAMANIEGO MAIGUA FRANKLIN OMAR
NO,60,ALEMÁN MARMOL MÓNICA ROCÍO
NO,61,SOLIZ CARRIÓN DORIS JOSEFINA
NO,62,VALLE PINARGOTE BAIRON LEONARDO
NO,64,VERA FLORES WENDY VANESSA
NO,67,VITERI GUALINGA CARLOS ELOY
NO,94,ZAMBRANO VALLE EDUARDO MAURICIO
NO,122,CUESTA CONCARI MARÍA MERCEDES
ABSTENCION,66,VILLALVA MIRANDA LIRA DE LA PAZ
ABSTENCION,74,BERNAL BERNAL ESTEBAN REMIGIO
ABSTENCION,80,CALLEJAS BARONA FERNANDO
ABSTENCION,81,CAMPAIN BRAMBILLA RINA ASUNCIÓN
ABSTENCION,82,CAMPOVERDE ROBLES EMILIO ABSALÓN
ABSTENCION,83,CARRIÓN MORENO CÉSAR ATAULFO
ABSTENCION,89,CASTANIER JARAMILLO XAVIER HOMERO
ABSTENCION,92,CRUZ VACA JEANNINE DEL CISNE
ABSTENCION,93,CUESTA ORELLANA MARÍA DE LOURDES
ABSTENCION,100,CURICHUMBI YUPANQUI PEDRO
ABSTENCION,101,DONOSO CHIRIBOGA PATRICIO
ABSTENCION,102,FLORES VÁSQUEZ FERNANDO PATRICIO
ABSTENCION,103,GALARZA AÑAZCO ANA MERCEDES
ABSTENCION,105,GÓMEZ ALCÍVAR ROBERTO ANDRÉS
ABSTENCION,108,DUCHI GUAMÁN MARÍA ENCARNACIÓN
ABSTENCION,109,OLIVO PALLO JAIME FERNANDO
ABSTENCION,116,MINCHALA MURILLO RÓMULO MARCELO
ABSTENCION,117,MONTAÑO VALENCIA MAE
ABSTENCION,118,MORENO GUERRERO HENRY FREDY
ABSTENCION,120,PACHALA POMA LUIS ALBERTO
ABSTENCION,121,TELLO BENALCÁZAR RAÚL ESTUPIÑAN
ABSTENCION,131,PAREDES TORRES WASHINGTON ARTURO
ABSTENCION,135,VERA MENDOZA TANLLY JANELA
ABSTENCION,136,VILLAMAR JÁCOME PEDRO FABRICIO
ABSTENCION,137,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ
