103,asambleista,curul,total no,voto
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,AUSENTE
,SERRANO SALGADO JOSÉ RICARDO,3,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7,,AUSENTE
,COLLAGUAZO RODRIGO,10,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,AUSENTE
,DELGADO ORLANDO CÉSAR ANTONIO,14,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,AUSENTE
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,AUSENTE
,LITARDO CAICEDO CÉSAR ERNESTO,38,,AUSENTE
,MARÍN AGUIRRE ANA BELÉN,40,,AUSENTE
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,,AUSENTE
,POMA HERRERA YOFRE MARTÍN,50,,AUSENTE
,MONCAYO ESPINOSA JOSÉ FRANCISCO,57,,AUSENTE
,SÁNCHEZ REYES MONTGOMERY,59,,AUSENTE
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70,,AUSENTE
,CUESTA ORELLANA MARÍA DE LOURDES,93,,AUSENTE
,ZAMBRANO VERA MARIANO,106,,AUSENTE
,CUESTA CONCARI MARÍA MERCEDES,122,,AUSENTE
,ALARCÓN GUILLÍN FREDY OSCAR,125,,AUSENTE
,VALLEJO JARAMILLO NORMA MARLENE,19,,SI
,CERDA MIRANDA GABRIELA PAMELA,21,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,NO
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,NO
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,NO
,ARREGUI RUEDA MARCIA CECILIA,6,,NO
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,NO
,CALLE VERZOZI HERMUY,15,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,NO
,TORRES TORRES EURO IGNACIO,23,,NO
,COROZO AYOVÍ JORGE WILBER,24,,NO
,SUAREZ HUAYAMAVE CARLOS ALBERTO,25,,NO
,CUESTA SANTANA ESTHER ADELINA,26,,NO
,RUIZ CEDEÑO ANA BELÉN,27,,NO
,DURÁN AGUILAR LILIANA ELIZABETH,28,,NO
,ESPÍN REYES EUGENIA SOFÍA,29,,NO
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,NO
,GARCÍA GAIBOR CARMEN MERCEDES,32,,NO
,GARCÍA POZO DIEGO OSWALDO,33,,NO
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,NO
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,NO
,MELO GARZÓN ESTEBAN ANDRÉS,41,,NO
,MENDOZA ARÉVALO DANIEL ISAAC,42,,NO
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,NO
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,NO
,ALONSO FERNÁNDEZ FÉLIX FREDY,46,,NO
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,NO
,PLAZA CASTILLO LENIN,49,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,NO
,QUIJIJE DELGADO LUIS RAFAEL,52,,NO
,QUIÑONEZ OCAMPO JULIO CÉSAR,53,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,NO
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,NO
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,NO
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,NO
,MOLINA ONOFA LUIS FERNANDO,60,,NO
,TENEZACA LOPEZ MABEL MICHELL,62,,NO
,VELIN CORTÉS JUAN PABLO,63,,NO
,VERA FLORES WENDY VANESSA,64,,NO
,VITERI GUALINGA CARLOS ELOY,67,,NO
,YAR ARAUJO JUAN CARLOS,68,,NO
,YUNDA MACHADO JORGE HOMERO,69,,NO
,ANDRADE MUÑOZ WILMA PIEDAD,71,,NO
,ASÁN WONSANG JOSÉ FRANCISCO,72,,NO
,AUQUILLA ORTEGA RAÚL VICENTE,73,,NO
,BERNAL BERNAL ESTEBAN REMIGIO,74,,NO
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,NO
,AZUERO RODAS ELISEO ALEXIS,77,,NO
,CUCALÓN CAMACHO HENRY EDUARDO,78,,NO
,CALLEJAS BARONA FERNANDO,80,,NO
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,NO
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,NO
,CARRIÓN MORENO CÉSAR ATAULFO,83,,NO
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,NO
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,NO
,YANDÚN POZO CÁSTULO RENÉ,86,,NO
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,NO
,KRONFLE KOZHAYA HENRY FABIÁN,88,,NO
,CASTANIER JARAMILLO XAVIER HOMERO,89,,NO
,CELI SANTOS GUILLERMO ALEJANDRO,90,,NO
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,NO
,ZÁRATE CASTRO JORGE EDUARDO,92,,NO
,ZAMBRANO VALLE EDUARDO MAURICIO,94,,NO
,CADENA HUERTAS FRANCISCO JAVIER,95,,NO
,PEÑA ONTANEDA ELIO GERMÁN,96,,NO
,MONTAÑO GUISAMANO MAYRA MIGDONIA,97,,NO
,,98,,NO
,REYES HIDALGO CRISTINA EUGENIA,99,,NO
,CURICHUMBI YUPANQUI PEDRO,100,,NO
,DONOSO CHIRIBOGA PATRICIO,101,,NO
,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,NO
,GALARZA AÑAZCO ANA MERCEDES,103,,NO
,GENDE CALAZACÓN ANGEL MESÍAS,104,,NO
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,NO
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,NO
,OLIVO PALLO JAIME FERNANDO,109,,NO
,ROHON HERVAS CÉSAR EDUARDO,110,,NO
,TAIANO BASANTE VICENTE GIOVANNY,111,,NO
,TERÁN SALCEDO RAMÓN FORTUNATO,112,,NO
,TORRES TORRES LUIS FERNANDO,113,,NO
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,NO
,MENDOZA PALMA JOFFRE PATRICIO,115,,NO
,MINCHALA MURILLO RÓMULO MARCELO,116,,NO
,MONTAÑO VALENCIA MAE,117,,NO
,MORENO GUERRERO HENRY FREDY,118,,NO
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,NO
,PACHALA POMA LUIS ALBERTO,120,,NO
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,NO
,PUANCHIR PAYASHÑA TITO PEDRO,124,,NO
,SOLORZANO SARRIA CESAR FAUSTO,126,,NO
,POVEDA ALVARADO ERIKA SOPHIA,127,,NO
,VINTIMILLA MOSCOSO PAOLA,128,,NO
,ZAMBRANO ORTIZ MARÍA ROBERTA,129,,NO
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,NO
,PAREDES TORRES WASHINGTON ARTURO,131,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,132,,NO
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,NO
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,NO
,VERA MENDOZA TANLLY JANELA,135,,NO
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,NO
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,NO
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,ABSTENCION
,BERGMANN REYNA CARLOS ALBERTO,9,,ABSTENCION
,FLOR GIL BRENDA AZUCENA,31,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45,,ABSTENCION
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,ABSTENCION
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,ABSTENCION
,FALQUEZ BATALLAS PEDRO CARLOS,79,,ABSTENCION
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,ABSTENCION
