voto,curul,asambleista
AUSENTE,1,ABAD VELEZ RAUL
AUSENTE,7,ALCIVAR MERA FELIX ANDRES
AUSENTE,8,MUÑOZ VICUÑA MARIANGEL
AUSENTE,9,ANDINO REINOSO MAURO EDMUNDO
AUSENTE,10,ARCE PLUAS ALEXANDRA MANUELA
AUSENTE,14,BERGMANN REYNA CARLOS ALBERTO
AUSENTE,16,BUENDIA HERDOIZA MARIA SOLEDAD
AUSENTE,21,CARRION MARIA JOSE
AUSENTE,23,CASSINELLI CALI JUAN CARLOS
AUSENTE,28,CORDOVA ENCALADA EDGAR EDUARDO
AUSENTE,31,DE LA CRUZ GASPAR ADRIANA MIOSOTI
AUSENTE,37,LARREA VITERI LIDICE VANESSA
AUSENTE,38,GARZON RICAURTE WILLIAM ANTONIO
AUSENTE,56,MELO GARZON ESTEBAN ANDRES
AUSENTE,69,FARFAN APONTE RICHARD WILSON
AUSENTE,77,SAENZ DE VITERI LAUTARO ENRIQUE
AUSENTE,78,SALAZAR CEDEÑO GUADALUPE DOLORES
AUSENTE,88,LEDESMA ZAMORA DARWIN GERMAN
AUSENTE,92,UMAGINGA GUAMAN CESAR
AUSENTE,93,TIBAN GUALA LOURDES LICENIA
AUSENTE,97,VASCONEZ ARTEAGA ANNY MARLLELY
AUSENTE,105,BUCARAM PULLEY ABDALA JAIME
AUSENTE,112,VILEMA FREIRE ANGEL RAMIRO
AUSENTE,117,PAEZ BENALCAZAR ANDRES TARQUINO
AUSENTE,127,ZAMBRANO CHACHA ALBERTO ALEXANDER
AUSENTE,133,TACLE GALARRAGA MOISES FERNANDO
AUSENTE,136,VITERI JIMENEZ CYNTHIA
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
ABSTENCION,91,YANZA MANUEL
ABSTENCION,134,ROMERO LOAYZA FRANCO SEGUNDO
ABSTENCION,135,TERAN SALCEDO JONNY ENRIQUE
NO,74,AGUILAR TORRES MANUEL RAMIRO
NO,80,BUSTOS CHILIQUINGA ARCADIO
NO,82,YANDUN POZO CASTULO RENE
NO,83,ACACHO GONZALEZ PEPE LUIS
NO,89,FIERRO OVIEDO PACO
NO,90,GUALAN JAPA MILTON RODRIGO
NO,100,GUTIERREZ BORBUA FAUSTO GILMAR
NO,101,AUQUILLA ORTEGA RAUL VICENTE
NO,102,CHICAIZA TOAPANTA WILSON ALFONSO
NO,103,DONOSO CHIRIBOGA PATRICIO
NO,104,MONCAYO CEVALLOS JOSE RICARDO
NO,114,SOLORZANO SARRIA CESAR FAUSTO
NO,115,MONTAÑO VALENCIA MAE
NO,116,MORETA PANCHEZ MIGUEL ANGEL
NO,118,SALGADO RIVADENEIRA DIEGO
NO,119,TORRES PUAS GINA MANIRA
NO,120,TORRES TORRES LUIS FERNANDO
NO,130,MERA RODRIGUEZ MARIA PAULINA
SI,2,ACERO LANCHIMBA ESTHELA LILIANA
SI,3,LANDAZURI OLMEDO LUDIS CLAUDINA
SI,4,MACHUCA MOSCOSO LINDA MARICELA
SI,5,AGUIRRE HIDALGO DORA ANDELA
SI,6,ALBAN TORRES MARIANA DEL ROCIO
SI,11,RIVAS ALAVA ELIANA LISSET
SI,12,VILLAMAR CASAL JOSE LEONIDAS
SI,13,BENAVIDES ZAMBRANO ZOILA TERESA
SI,15,BORJA PEREZ GALO
SI,17,BUSTAMANTE PONCE FERNANDO XAVIER
SI,18,CALDERON SALTOS RICHARD OSWALDO
