asambleista,curul,voto
VITERI LOPEZ CHRISTIAN HUMBERTO,10,AUSENTE
ARIAS RAMIREZ ALBERTO JESUS,11,AUSENTE
CRUZ SALAZAR FRANCISCA GABRIELA,23,AUSENTE
CUESTA RIOS LIUBA ELISA,29,AUSENTE
FAJARDO MOSQUERA LETTY VANESSA,33,AUSENTE
LARREA VITERI LIDICE VANESSA,37,AUSENTE
GUAMAN CASTRO ALEX FRANCISCO,41,AUSENTE
GUZMAN OCHOA LILIANA MAURA,45,AUSENTE
ISSA WAGNER NICOLAS JOSE,48,AUSENTE
ARANA COELLO YIMABEL MARIA,50,AUSENTE
ARIAS FERNANDEZ VERONICA ELIZABETH,75,AUSENTE
RODRIGUEZ DELGADO MARIA VERONICA,76,AUSENTE
ANDRADE SOLORZANO LUIS ALBERTO,79,AUSENTE
JIMENEZ CABRERA JOSE CLEVER,90,AUSENTE
VELIZ BRIONES JOSE FELIX,109,AUSENTE
ZAPATA MANTILLA JOSE LEONIDAS,128,AUSENTE
URIBE LOPEZ FANNY ESTHER,129,AUSENTE
VITERI JIMENEZ CYNTHIA,136,AUSENTE
ABAD VELEZ RAUL,1,SI
ACERO LANCHIMBA ESTHELA LILIANA,2,SI
AGUILAR PLACIDO ARMANDO,3,SI
MACHUCA MOSCOSO LINDA MARICELA,4,SI
AGUIRRE HIDALGO DORA ANDELA,5,SI
ALBAN TORRES MARIANA DEL ROCIO,6,SI
TORRES CEDEÑO KERLLY ANABEL,7,SI
MUÑOZ VICUÑA MARIANGEL,8,SI
ANDINO REINOSO MAURO EDMUNDO,9,SI
ARREGUI RUEDA MARCIA CECILIA,12,SI
MARQUEZ LOPEZ JOSE LENIN,13,SI
BERGMANN REYNA CARLOS ALBERTO,14,SI
BORJA PEREZ GALO,15,SI
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,SI
BUSTAMANTE PONCE FERNANDO XAVIER,17,SI
CALDERON SALTOS RICHARD OSWALDO,18,SI
CALLE ANDRADE MARIA AUGUSTA,19,SI
CARRILLO BETTY,20,SI
